rejected_page_count	Count
107 s.	208
189 s.	208
123 s.	208
167 s.	207
239 s.	206
248 s.	205
4 vol.	205
187 s.	205
69 s.	204
18s	204
147 s.	202
109 s.	202
238 s.	202
173 s.	201
166 s.	200
141 s.	199
49 s.	199
236 s.	197
163 s.	196
99 s.	196
215 s.	196
149 s.	195
171 s.	195
264 s.	195
85 s.	195
146 s.	191
179 s.	191
220 s.	190
228 s.	190
56s	189
[28] s.	188
101 s.	187
27s	187
131 s.	185
89 s.	183
252 s.	182
320 s.	181
182 s.	181
29s	181
04 s.	180
271 s.	176
214 s.	176
165 s.	175
10s	175
186 s.	173
178 s.	172
202 s.	172
117 s.	172
130 s.	171
221 s.	171
244 s.	170
(16) bl. + B4.	170
181 s.	169
211 s.	168
230 s.	168
162 s.	167
[40] s.	167
21s	167
287 s.	165
170 s.	165
(4)s	165
7 st.	165
253 s.	164
198 s.	163
133 s.	163
137 s.	163
280 s.	163
63s	163
15, [1] s.	163
5 s.	163
219 s.	162
260 s.	162
237 s.	161
23,(1)s	161
235 s.	160
194 s.	160
231 s.	159
205 s.	159
39s	159
13s	159
26s	159
[8] s. (s. 7/8 blank)	158
65 s.	157
246 s.	157
243 s.	156
203 s.	156
195 s.	155
105 s.	155
276 s.	155
35s	155
197 s.	153
312 s.	153
9 s.	152
160s	152
227 s.	151
72s	150
210 s.	149
218 s.	149
121 s.	149
6 s.	149
251 s.	148
185 s.	148
284 s.	144
296 s.	143
19,(1)s	143
73 s.	142
81 s.	142
46s	141
38s	141
31, [1] s.	141
44s	140
250 s.	139
242 s.	139
247 s.	138
352 s.	138
234 s.	137
268 s.	137
319 s.	137
16 s. =(s. 15/16 blank)=.	137
153 s.	136
292 s.	136
336 s.	135
270 s.	134
52s	133
263 s.	133
7,(1)s	133
279 s.	131
285 s.	129
129 s.	129
62s	127
34s	127
A4-B4.	127
169 s.	126
300 s.	126
(8)s	125
[10] s.	125
275 s.	124
(4) bl.	124
303 s.	123
258 s.	123
283 s.	122
278 s.	122
259 s.	122
286 s.	122
63, [1] s.	122
262 s.	121
11,(1)s	121
8 st.	121
213 s.	120
226 s.	120
47,(1)s	120
229 s.	117
269 s.	117
261 s.	116
245 s.	116
360 s.	115
384 s.	115
266 s.	115
97 s.	115
311 s.	115
61s	115
267 s.	115
298 s.	114
217 s.	113
192s	113
112s	113
16 s. =(s. 15/16 blank).=	112
294 s.	111
4s	111
328 s.	111
201 s.	110
316 s.	110
113 s.	108
233 s.	108
A8.	108
193 s.	107
25s	107
282 s.	107
6s	106
177 s.	106
37s	106
17s	105
43s	105
[04] s. =(s. 3/4 blank)=	105
249 s.	103
256s	103
301 s.	102
6 st.	102
318 s.	101
95s	101
302 s.	101
291 s.	101
A4-C4.	101
(16)s	100
14,(1)s	99
145 s.	98
327 s.	98
63,(1)s	98
[36] s.	97
314 s.	96
277 s.	96
344 s.	96
[06] s.	96
39,(1)s	96
60s	96
32 s. =(s. 31/32 blank)=.	96
324 s.	95
334 s.	95
265 s.	95
310 s.	95
209 s.	95
51s	95
24 s. =(s. 23/24 blank)=.	95
161 s.	94
317 s.	94
308 s.	94
274 s.	94
6 vol.	93
35,(1)s	93
368 s.	92
45s	92
(32)s	92
88s	92
241 s.	91
55s	91
[26] s.	90
68s	90
335 s.	90
(16) bl. + B8.	90
42s	89
71s	88
295 s.	87
290 s.	87
127s	87
5 vol.	86
323 s.	86
400 s.	86
95, [1] s.	86
79s	86
299 s.	86
315 s.	85
332 s.	85
307 s.	85
306 s.	84
225 s.	84
58s	84
281 s.	83
47, [1] s.	83
[18] s.	82
[14] s.	80
293 s.	79
331 s.	79
A4-B4C2.	79
50s	78
120s	78
224s	77
330 s.	76
144s	76
54s	76
326 s.	76
[6] s.	76
104s	75
23, [1] s.	75
329 s.	74
95,(1)s	74
(4) s.	74
10 st.	74
342 s.	74
127, [1] s.	73
32 s. =(s. 31/32 blank).=	73
366 s.	72
27,(1)s	72
322 s.	71
5 st.	71
356 s.	70
30,(1)s	70
7, [1] s.	70
358 s.	69
351 s.	69
350 s.	69
383 s.	68
79, [1] s.	68
273 s.	68
257 s.	67
348 s.	67
309 s.	67
9 st.	67
376 s.	65
79,(1)s	65
159s	65
94s	64
78s	64
343 s.	64
33s	64
176s	64
240s	64
67s	64
448 s.	63
191s	63
A4.	63
[08] s. =(s. 7/8 blank)=.	63
53s	63
340 s.	62
375 s.	62
87s	62
416 s.	62
190s	62
354 s.	61
84s	61
158s	61
9s	61
111s	61
[4] s., (s. 3/4 blank)	61
347 s.	60
321 s.	59
371 s.	59
297 s.	59
255s	59
359 s.	59
76s	59
355 s.	59
24 s. =(s. 23/24 blank).=	59
341 s.	58
22,(1)s	58
159, [1] s.	58
59s	58
365 s.	58
325 s.	58
367 s.	58
432 s.	58
156, [1] s.	58
399 s.	58
239, [1] s.	58
346 s.	57
71, [1] s.	57
382 s.	57
364 s.	57
378 s.	57
[04] s. =(s. 3/4 blank)=.	57
92s	57
408 s.	56
[44] s.	56
208s	56
70s	56
[08] s. =(s. 7/8 blank).=	56
(12)s	55
349 s.	55
100s	55
191, [1] s.	55
55,(1)s	55
41s	55
77s	55
62,(1)s	55
75s	55
339 s.	54
390 s.	54
333 s.	54
403 s.	53
313 s.	53
39, [1] s.	53
19, [1] s.	53
136s	53
158, [1] s.	52
(24)s	52
[96] s.	51
289 s.	51
372 s.	51
143, [1] s.	51
380 s.	50
374 s.	50
[16] s. (s. 15/16 blank)	50
357 s.	50
338 s.	49
93s	49
[02] , 22 s.	49
[04] s. =(s. 3/4 blank).=	49
48 s. =(s. 47/48 blank)=.	49
379 s.	48
74s	48
(28)s	48
223, [1] s.	48
11, [1] s.	48
[2], 8 s.	48
305 s.	48
126, [1] s.	48
69s	48
412 s.	47
398 s.	47
10,(1)s	47
392 s.	46
406 s.	46
370 s.	46
66s	46
157, [1] s.	46
396 s.	46
29,(1)s	46
337 s.	45
377 s.	45
424 s.	45
125, [1] s.	45
[2], 10 s.	45
30, [2] s.	44
407 s.	44
111, [1] s.	44
30, [1] s.	44
255, [1] s.	44
62, [1] s.	44
94, [1] s.	43
57s	43
1 vol.	42
345 s.	42
415 s.	42
83s	42
108s	42
103s	42
363 s.	42
18,(1)s	42
175s	42
35, [1] s.	42
[64] s.	41
30,(2)s	41
135, [1] s.	41
55, [1] s.	41
174, [1] s.	41
125s	41
[1] s.	41
132s	41
45,(1)s	41
(8) s.	41
254s	41
126s	41
51,(1)s	40
77, [1] s.	40
166, [1] s.	40
362 s.	40
46, [1] s.	40
119, [1] s.	40
[2], 16 s.	40
157s	40
420 s.	39
373 s.	39
361 s.	39
116s	39
94, [2] s.	39
78, [2] s.	39
40 s. =(s. 39/40 blank)=.	39
91s	39
102s	39
272s	39
254, [1] s.	38
7 vol.	38
447 s.	38
387 s.	38
175, [1] s.	38
134, [1] s.	38
14, [2] s.	38
207, [1] s.	38
94,(1)s	38
138, [1] s.	38
253, [1] s.	38
200s	38
103, [1] s.	38
[128] s.	38
A4B2.	38
67,(1)s	38
127,(1)s	38
[30] s.	37
404 s.	37
78, [1] s.	37
109s	37
87, [1] s.	37
61, [1] s.	37
199, [1] s.	37
(2) bl.	37
[02] , 30 s.	37
222s	37
156s	37
167s	37
78,(1)s	37
464 s.	36
411 s.	36
13,(1)s	36
394 s.	36
86s	36
391 s.	36
183, [1] s.	36
46,(1)s	36
61,(1)s	36
167, [1] s.	36
190, [1] s.	36
151, [1] s.	36
179, [1] s.	36
[22] s.	36
[02] , 16 s.	36
[16] s. =(s. 15/16 blank)=.	36
118s	36
456 s.	35
101s	35
43,(1)s	35
93,(1)s	35
222, [1] s.	35
184s	35
142, [1] s.	35
232s	35
155, [1] s.	35
440 s.	35
110, [1] s.	35
[16] s. =(s. 15/16 blank).=	35
5s	35
123s	35
353 s.	34
512 s.	34
189s	34
152s	34
480 s.	34
419 s.	34
154, [1] s.	34
[15] s.	34
21,(1)s	34
238, [1] s.	34
[2], 12 s.	34
40 s. =(s. 39/40 blank).=	34
119s	34
143s	34
83, [1] s.	33
92, [1] s.	33
148s	33
137, [1] s.	33
188, [1] s.	33
93, [1] s.	33
106s	33
A4-C4D2.	33
115s	33
8 vol.	32
86, [1] s.	32
388 s.	32
71,(1)s	32
[23] s.	32
413 s.	32
223s	32
151s	32
[2] bl.	32
6,(1)s	32
109, [1] s.	32
29, [1] s.	32
34,(1)s	32
A8-B8.	32
[02] , 18 s.	32
174s	32
[34] s.	31
99, [1] s.	31
471 s.	31
288s	31
50,(1)s	31
410 s.	31
418 s.	31
216s	31
397 s.	31
14, [1] s.	31
62, [2] s.	31
98s	31
111,(1)s	31
2 bl.	31
106, [1] s.	31
[2], 18 s.	31
[56] s.	31
