rejected_page_count	Count
xix, 37 s.	1
xxvii, 61 s.	1
xiv, 201 s.	1
x, 187 s.	1
xiv, 414 s.	1
109 s., 1 pl.-s.	1
[4], 155 s., [1] pl.-bl.	1
[6], 307, [1] s.	1
x, 18, 11 s.	1
S. 130-347	1
xvi, 187 s. +;(4 s.)	1
xxv, 432 s. +;(16 s.)	1
xv, 103 s.	1
107, l s.	1
[3], viii, 452 s.	1
S. 177-193	1
6, 108 s.	1
[4], 36 s., 37-44 sp.	1
[1] s., s. 2-16	1
S. [43]-143	1
xx, 166 s., 3 pl.bl.	1
xxviii, 133 s.	1
124 s., [8] vikta pl.-bl.	1
[2], 82, [1], 32 pl.-bl.	1
43 s., [1] vikt kartbl.	1
[120] s. (sista s. blank)	1
[118] s.	1
284, xi s.	1
67 s., 1 pl.	1
2 vol.;([6], 312 ; 503 s.)	1
viii, 53 s.	1
53, 45, 48, 54 s.	1
54 s., vikt karta	1
47 s., 16 pl.-s.	1
3 vol. (32 ; 48 ; 45 s.)	1
327 s., [6] pl.-bl., 1 bil.	1
S. [59]-76	1
S. 139-154	1
84-98 s.	1
52 s. ; 53 s.	1
101 s., viii pl.-bl.	1
xxiii, 110 s., 20 pl.-bl.	1
xiii, [2], 370 s.	1
[6], 324 s.	1
[4], 204 s., 1 portr.	1
[8], 44-77, [2] s.	1
27 s., vi vikta pl.-bl.	1
47 s., 1 pl.-bl.	1
S. 131-248, 2 pl.	1
[44], 1-511, [1]	1
[8], [8], 192 bl.	1
[30], 246 s.	1
176 s., [2 s.]	1
[4], iv, 98 s.	1
156, [4] s., [1] tab.	1
xxviii, 584, [12] s.	1
[60], dcxxiij [1] s.	1
iv, 251 s.	1
200 s., 62 pl.-s.	1
2 vol. (xx, 354 ; vi, 334 s.)	1
253 s., [10] pl.bl.	1
[3], 66 s.	1
[6], 565, 1bl. s.	1
102 s., [2] vikta pl.-bl.	1
ii, 100, iv s.	1
iii, 213 s.	1
517 s., 20 pl-.bl.	1
xii, 539 s.	1
xxiii, 337 s.	1
lxxiii, 260 s.	1
xxx, 512 p.	1
50 s., xli pl.-bl.	1
xix, 441 s., 21 portr.-bl.	1
liii, 384 s., 1 portr.	1
2 vol. (625 s., [27] pl.-bl.)	1
S. 21-31	1
S. 59-104, 1 pl.-bl.	1
46 s., [43] pl.-bl.	1
s. 225-231	1
1 bl. i rulle	1
S. 231-258	1
[2], 155, [1] s., 1 pl.-bl.	1
viii, 328, [1] s., 4 vikta kartor	1
xix, 197 s., 1 pl.-bl.	1
xiv, 192 s.	1
315 s., 11 pl.-s.	1
83,(1)s.	1
1 vol. (141, [2] s.)	1
742 s., [14] pl.-bl.	1
[2], 65, [1] s.	1
111 p.	1
xlv, 255 s.	1
316 s., 2 pl.-bl., 4 kartbl.	1
192 s., 1 pl.bl.	1
368 s. ; 154, [6] s.	1
58 s	1
325, V s.	1
xx, 426 s., iii vikta pl.-bl.	1
30-43 s.	1
69,[3] s.,5 pl.-s.	1
129 s., 5 pl.-bl.	1
viii, 302 s.	1
s. [77]-91	1
[8], 648 s., frontespis, [2] vikta pl.-bl.	1
39 s., 50, 12 pl.-s.	1
[10], 130, [7] s.	1
xii, 238, [1] s.	1
16, [16], 406, [2] s., 2 pl.-bl.	1
69 s., 1 pl.-bl.	1
[6], 208 s., 15 pl.bl.	1
39 s., [24] pl.-bl.	1
[4], 728, [2] s., [21] pl.	1
vii, 1251 s.	1
S. [603]-616	1
19 s., s. 146-180, 231-320	1
[2], [1] 4-35 [1] s. ;c 4:o	1
[4], 29 s.	1
54 s., 1 kartbl.	1
64 s., lxxxi s.	1
vii, 112 s.	1
3 vol. (xxvi, 442; 432; 201 s.)	1
viii, 220 s., [4] bl.	1
xxii, 112 s.	1
29 s., 51 pl.-bl.	1
385 s., 32 färgpl.	1
S. 302-330	1
440 s., [4 pl.-bl.] (vikta)	1
2 vol. (202, 246 s.)	1
S. 299-440	1
xi, 128, 2 bl.	1
S. 91-142	1
226 s., 1 pl.-bl. (vikt)	1
2 vol.;(847 s.)	1
908 s.	1
[5], 239, [1] s.	1
s. 58-101	1
[4], 391 s.	1
540p.,ill.,22cm	1
24p.,ill.,22cm	1
[3] bl., [10] pl.-bl.	1
xi, 437 s.	1
116, 13, 126 s.	1
xlii s.	1
lxxxix, 118 s.	1
255 s., 231 pl.-s.	1
2 häften	1
2 vol. i 3 band (528, 688, ix, 690-1125 s.)	1
S. [121]-134	1
244, [28] s.	1
[2], 170 s., [1] pl.-bl.	1
370 s., [31 pl.-bl.]	1
287 s., x pl.-bl.	1
[422] s.	1
4 vol. (254 ; 257 ; 157 ; 328 s.)	1
385 s., 1 pl.-bl.	1
211, [1] s., 28 pl.-bl., 2 kartbl.	1
2 vol. i 1;(674 s.)	1
138 s., [2] pl.-bl.	1
x, 467 s.	1
2 d. (343, 418 s.)	1
xviii, 158 s.	1
xxi, 177 s., 1 vikt kartbl.	1
[4], 344, [1] s.	1
xii, 160 s.	1
47 s., xxxii pl.-bl.	1
130 s., [4] pl.-bl.	1
xiv, 235 s.	1
666[1] s.	1
68, [8] s.	1
462 s., kartor	1
xvi, 337 s., 1 pl.-bl.	1
222 s. med var. pag.	1
xii, 426, [2] s., 11 pl.-bl.	1
8 d. i 11 vol.	1
2 vol. (228, [1] ; 187, [1] s.)	1
126 s., [82] pl.-bl.	1
113 s	1
viii, 134 s., 23 pl.-s. av vilka 2 i vikt, större format	1
129, [5] s	1
73, [2] s	1
152, [5] s.	1
226 s., frontespis	1
238, [1] s., 1 portr.	1
344, 331, 552 s.	1
[12], 251 s.	1
2 vol. ([2], 96 ; [2], 99 s.)	1
[2], 97, [1] s., [1] vikt pl.-bl.	1
[10], 138 s.	1
180 s +	1
91 s., [4], xvii pl.-bl., [1] karta	1
57, 61 s.	1
4 vol. (239; 582; 176; 43 s.)	1
x, 400 s., 47 pl.-bl.	1
112, 87 s.	1
XI, 599 s.	1
46 s.;(46 s.)	1
168 s., [14] pl.-s.	1
vi, 98 s., [1] bl.	1
72 s., 1 kart.-bl.	1
85, [5] p. ill, col. pl	1
43 s., 34 pl.-s.	1
515, [2] s., 30 pl.-bl.	1
vi, 544 s.	1
3 vol.;(95 ; 96 ; 59 s.)	1
[3], 181, [1] s.	1
31, [110] s.	1
228 s., 28 pl.-s.	1
2 vol.;(244 ; 243 s.)	1
68 s., [3] pl.-bl.	1
76 s., [4] pl.-bl.	1
xxiv, 240, xvi, 576, xx, 752, xix, 176, xii s.	1
iv, 536 s.	1
xx, 848 s.	1
352 + 382 s.	1
3 bd (566, 558, 540 s.)	1
321, 89 s.	1
v, 458 s.	1
240 s. med var. pag.	1
2 h.;((373 s.))	1
465 s	1
358 s. +	1
232 s., [16] pl.-bl.	1
[2], clxxxii, [2], 180 s.	1
xi, 86 s. +	1
3 d. i 1 vol. ([4], 236 ; 234 ; 292 s.)	1
ix, 224, vi s., [1] vikt kartbl.	1
x, 332 s.	1
S. 267-269	1
108, [2] s., 1 utv.-pl.	1
xxiii, 490 s., [1] vikt bl., [1] vikt pl.-bl.	1
vii, 40 s., [1] pl.-bl.	1
2 vol. (45, [1] ; 22 s.)	1
S. 89-110	1
326, [1] s., 8 pl.-bl.	1
S. 229-260, [2] pl.-bl.	1
[4], [1] 2-29, [3] s.	1
[10], 36, 304, [10] s.	1
[16] s., s. 2-101, [11] s.	1
[12] s., s. 2-168	1
[12], 95, [5] s.	1
[10], 128, [4] s.	1
[8], 95, [1] s. ; 8:o	1
S. 186-216	1
70, [1] s., [6] pl.	1
124, [1] s., 2 pl.	1
[2], 214 s.	1
2 vol i 1	1
[2], 367, [1] s., [4] pl.-bl.	1
[6], 183, [1] s.	1
21 s., [15] pl.-bl.	1
xii, 402 s.	1
viii, [1], 280 s.	1
160 s., 51 pl-bl	1
S. 554-585	1
[2 s.], 53 s.	1
2 vol.;(8 s., s. 9-16)	1
40 s. : 4:o	1
22, [2] s., 1 pl.-bl.	1
155 s., pl. bl.	1
S. 28-65	1
92 s., 10 pl.-bl.	1
v, 118 s.	1
[7], 65 [1] s.	1
ix, 100 s.	1
229 s., [4] vikta pl.-bl.	1
[6] s. [3] pl.-bl.	1
iv, 132 s., [11] vikta bl.	1
v, 115 s.	1
xxxx, 59 s.	1
viii, 778 s.	1
38 s., 1 karta i färg	1
16 s., [8] pl.-s.	1
[4], viii, 392 s.	1
239, xxxvi s.	1
xi, 247 s.	1
274 s., 3 pl.-bl., [6] s.	1
65 s., 19 pl.-bl.	1
xii, 444, [1] s.	1
S. 202-210	1
64 s., 11 pl.-bl.	1
xii, 176, [2] s.	1
8 s., [24] pl.-bl.	1
415 s., 1 utv.-karta	1
S. [65]-96	1
52 s., 40 pl.-bl.	1
130 s., iii pl.-bl.	1
[4], 107 s., 1 tab.	1
176, [1] s., 6 pl.-bl.	1
46 s., 2 pl.-bl.	1
S. 15-76	1
s. 186-356	1
6, 208 s.	1
112,(2)s.,1 bil.	1
76 s., [6] pl.-s.	1
210 s., 16 pl.	1
[2], 130 s., 103, [1] s., 174 s.	1
142, (25) s.	1
[4], 114 s., [1] pl.-bl.	1
165 s., ii pl.-bl.	1
342 s., 7 pl.-bl. (vissa i färg)	1
208 s., 115 pl.-b.	1
183 s., 9 tavlor	1
69,(1) s.	1
S. 224-287	1
342s.	1
282, [8] pl-bl.	1
S. 97-108	1
318 s., 96 pl.-s.	1
274, [3] s.	1
78 s., 1 pl.-bl.	1
287, [1] s., 18 pl.-bl.	1
S. 138-474	1
[2] s., [5] bl.	1
10 d.	1
xxix, 120 s.	1
[6], 211, [1] s.	1
xlviii, 248 s.	1
xxvii, 736 s.	1
304 s	1
391 s., 1 portr.	1
3 vol. ([2], 80 ; 24 ; 22 s.)	1
2 d. i 1 vol. ([4], 253 ; 250 s.)	1
[20], 226, (s. 221-26 opag.)	1
vi, [6], 151 s.	1
S. 126-180	1
v, [3] s., s. 159-365	1
vii, 553 s.	1
806+4 s.	1
[6], 229 s., 1 bl.	1
[8], 176 s., 4 pl.	1
[2], 237, [1] s.	1
[2], 251 s.	1
2, [1] s.	1
S. 3-15	1
[1, 2] s.	1
xv, 142, 295 s.	1
cviii, 162 s.	1
lxix, 202 s.	1
737, lvi s.	1
[2], 504 s.	1
132 s., 2 kartbl.	1
xxvii, 303 s.	1
lii, 89 s.	1
[29 s.	1
1 part.;(5 s.)	1
1 part./pianost.;(5 s.)	1
2 vol. (135 [dvs 235] ; 130, [1] s.)	1
134, (2) s.	1
S. 65-96 & omsl.	1
[10], 230 s.	1
[10], 492 s., 4 pl.-bl.	1
xl, 176 s.	1
xvi, 175 s.	1
S. 592-1234	1
41, 144 s.	1
242, 101 s.	1
122, 80 s.	1
6 Bde	1
Ca 65 s.	1
A8-B8	1
20 s. (1912-1914:13), ca 30-45 s. (1914:14-1922), ca 60-70 s. (1923, 1931-1932), ca 80-100 s. (1924-1929)	1
26 s., 1 vikt kartbl.	1
192 bl.	1
[64] bl.	1
s.234-264	1
s. 374-445	1
22 Bd	1
[6] bl., [6] pl.bl. i färg	1
iii, 307, [2] s.	1
vi, 186, [1] s.	1
160 pl.-s.	1
vi, 156 s., [1] pl.-bl.	1
Ca 12 s. (1914-1919), ca 80 s. (1920-1923)	1
312 s., 2 pl.-bl., 4 kartbl.	1
1 part. (7 s.) + 2 st.	1
xxxii, 68, 65, 167 s.	1
1 part.;(4 s.)	1
422 s. +	1
529 s. +	1
3 d. i 5 vol.	1
561 [i.e. 581] s.	1
404, 63 s.	1
138, [93] s.	1
10 d.;308 s.	1
280 s., 52 pl.-s.	1
Ca 121 s	1
64, 64 s.	1
88, 101 s.	1
211, [1] s., 21 pl.-bl.	1
98, 1 s.	1
54 bl.	1
438 s.;(v, 438 s.)	1
920 sp	1
Ca 22 s.	1
S. 639-896	1
S. 319-637	1
191 s., 7 pl.-bl.	1
S. 295-341	1
S. 175-294	1
xlix, 144 s.	1
211 pl.-bl., 353 s.	1
30-60 s.	1
xv, 685, xiii s., 159 pl.-s.	1
xviii, 680, xiv s., 179 pl.-s.	1
xviii, 535, xiv s., 143 pl.-s.	1
xviii, 488, xii s., 183 pl.-s.	1
[3], lxiv, [3] s., s. 355-501, xvi s., pl. 161-195, [1] pl.-bl.	1
S. 279-352	1
Pl. 121-160	1
120 pl.-bl.	1
vii s., 104 pl.-s.	1
1118 s.	1
Ca 50-80 s.	1
xxvi, 313 s.	1
20 vol., bd 19-20 suppl.	1
166, x s.	1
359 s., 80 s.	1
359, 286 s.	1
S. 1012-2104	1
1724 s.	1
För röst och piano med ackordanalys;(Text: Sent har det blivit och festen är slut)	1
viii, 137 S.	1
s. 1-17	1
[6], 411 s.	1
[2], 582 s.	1
[6], 98 s., 1 vikt karta	1
222 s., 1 porträtt	1
122 s., 3 vikta pl.-bl	1
28 s., [2] vikta kartor, [2] vikta tab.	1
s. [1-4]	1
s. [1-5]	1
43 s., [1] vikt karta	1
[6], 38, [4] s.	1
[8], 32, [3] s.	1
8 s., viii pl.-bl.	1
69 [1] s.	1
[2] s., s. 3-190	1
xx, 247 s.	1
S. 102-110	1
xvi, 286 s., 1 portr., xi pl.-bl.	1
xii, 373 s., 1 pl.-bl.	1
[10], 33, [1] s.	1
[8], 32, [4] s.	1
[12], 29, [6] s.	1
[8], 84, [4] s.	1
[8], 49, [3] s.	1
[6], 27, [3] s.	1
[12], 27, [1] s.	1
2 vol. ([4], 80 s. ; [4] s., s. 81-235, [1] s.)	1
ix,165, [3] s.	1
S. 196-226	1
41 s., [4] tab.	1
xxxvi, 99 s. , 1 vikt pl.-bl.	1
156 s., 22 pl.-bl.	1
279, [2] s., 5 pl.	1
[02], 121, [01] s.	1
ix, 40 s., 3 vikta pl.-bl.	1
x, 76 s., 10 vikta pl.-bl.	1
242 s., 6 pl.-s.	1
256 s., [17] pl.-bl.	1
[02], 267, [01] s.	1
224, 96 s.	1
XI, 157 s.	1
982 s.	1
S. 21-23	1
xv, 157 s.	1
viii, 48 s.,[88] pl.-bl-	1
S. 114-225	1
S. 12-27	1
xii, 322 s.	1
[17 bl.]	1
85-111, 2 s.	1
xxvi, 166 s.	1
S. 365-401	1
31 s., 4 pl.-bl.	1
35p.,ill.,28cm	1
355p.,ill	1
88p.,ill.,21cm	1
104, [1] s., [3] pl.-bl.	1
46 s., 24 pl.-s.	1
244 s. :;(244 s.)	1
S. 59 - 79	1
104 s., [34] pl.-s.	1
2 vol. (426 s.)	1
308 s., 12 pl.-s.	1
ix s., s. 5-286, 1 portr.	1
xxiv, 56 s.	1
136 s., [16] pl.-s.	1
iv, 178, [2] s.;(178 s.)	1
135 s., [19] pl.-s.	1
150 s., 44 pl.-s.	1
151 s., 44 pl.-s.	1
416 s	1
xiii, [3], 345 s., [3] pl.-bl.	1
584 s	1
Ca 32-40 s. (1939-1941)	1
127 s., 22 pl. -s.	1
[4], 34 s, 15 pl.-bl.	1
s. 7-16	1
16, lxviii, 92 s., [4] pl.-bl.	1
xiii, 109 s.	1
S. 147-169	1
442, [2] s.	1
xii, 224, 8 s.	1
95 s., xxi pl.-bl.	1
91, [54] s., 53 pl.-bl.	1
xii, 187 s.	1
[4], iv, 78, [3] s.	1
274 s., 36 pl.-bl.	1
48, [445] s.	1
132, [4], xxiii s., [9] pl.-bl.	1
72, 151, 144 s.	1
xiii, 460 s.	1
44 s., 1 pl.-s.	1
41 s., ix vikta pl.-bl.	1
xii, 286 s., 1 portr.-bl., 50 pl.-bl., 4 kartor	1
269p	1
Ca 300 s.	1
lii, 150 s.	1
464 p.	1
111 s., xx pl.-s.	1
1229 s.	1
732 s.	1
xxiv, 374 s., 8 pl.-bl.	1
1154 s.	1
1138 s.	1
[2], 227, [1] s., [1] portr.-bl. & omslag	1
270, [1] s., [1] karta	1
1007 s.	1
xvi, 483 s.	1
87 s., suppl. 6 s.	1
S. [27]-100	1
xiii, 148 p.	1
100 s., s. 134-184	1
60, xxix s.	1
63 s., 60 pl.-s.	1
xx, 50 s., 32 pl.-s.	1
xiv, 310 s.	1
2 vol. (615 s.)	1
2 vol. (528 s.)	1
2 vol. (293 ; [4] s., s. 301-536)	1
2 vol. (xxi, 512 s., 7 pl.-bl., 1 kartbl. ; xi, 546 s., 7 pl.-bl.)	1
x, 120 s.	1
82 s.; 197, [3] s.; 154, [2] s.	1
115 s.; 131 s.; 50 s.; 62 s.	1
318 p.	1
ix, 360 s.	1
243, 211, 185 s. & register	1
2 vol. (103, 111 s.)	1
124p.,ill.,26cm	1
24p.,ill.,25cm	1
2 vol.;(337, [1] ; 335, [1] s.)	1
168, 96s.	1
80 s., 8 pl.-bl.	1
[04], 508 s.	1
[4], 118 s., 1 portr.-bl.	1
359 s., pl.-bl.	1
2 d. i 1 vol. ([4], 224 ; [2], 219, [1], 12 s., [20] pl.-bl.)	1
xiii, 285 s.	1
vii, 442 s., [1] portr.-bl. & omslag	1
xxviii, 447 s.	1
234 s., 11 pl.-s.	1
523, [1] s.	1
196 s., iv pl.-bl.	1
87 [1]	1
S. 110-121	1
S. [65]-121	1
[4], 7, [3] s.	1
53, xliii s.	1
s. 56-79	1
xii, 190 s.	1
199 s., 48 pl.-bl.	1
192, [1] s., 8 pl. bl.	1
250 s., vikt ill. i färg	1
(2), 36 s. b ill. c Tv.- 8:o.	1
xv, 46 s.	1
xv, [1], 201 s.	1
S. 86-154	1
237, [5] s.	1
279, [8] s.	1
194, 138 s.	1
xxiii, 112 s.	1
8, 22 s.	1
s. 45-81	1
168 s., v pl.-bl.	1
2 vol. (225, 378 s.)	1
136 s.;(136 s.)	1
LXXV faks.-s., 10 s.	1
260, 47 s.	1
346, [4] s., [14] pl.-bl. i färg, [3] vikta kartor	1
794 s.	1
688 s., 8 pl.-bl.	1
303 s	1
xxvi, 360 s.	1
61 s., 2 pl.-bl. i färg +	1
335-344 s.	1
89 s., ii pl.-bl.	1
19 s., v pl.-bl.	1
48 s., 70 pl.-s.	1
[10] s., [31] pl.-bl. (vissa vikta)	1
S. 19-35	1
S. 284-287	1
527, [3] s.	1
[4], 20 s., x pl.-bl.	1
[1] 274-275 [1], [2] pl.-bl.	1
S. 60-66, [1] vikt pl.-bl.	1
222-225 s.	1
[2], 287-292 s., [1] pl.-bl.	1
S. 23-26, 1 pl.-blad	1
47, [1] s., 4 pl.-bl.	1
38 s., 31 pl.-s.	1
S. [147]-164, 1 karta	1
S. 19-41	1
S. 838-900	1
S. 641-654	1
S. 84-127	1
S. 715-750	1
S. 206-213	1
xxx, 28 s.	1
2250 s., 21 pl.-s.	1
vi, 140 s.	1
240 s., 1 vikt pl.	1
43 s. +	1
24,(1),22,(1),40,(1)s	1
46 s., 16 pl.	1
[4], 119, [1] s., 8 utviksbl.	1
xliii, 444 s.	1
233 s., [5] pl.-bl.(vikta)	1
630p.,ill.,24cm	1
32 s., ill.	1
167 s., [10] pl.-s.	1
xiv, 170 s.	1
S. 316-458	1
S. 106-599	1
S. 368-497	1
xii, 363 s., 16 pl.-bl.	1
200, 97, 30 s.	1
S. 383-1038,xxiii	1
2 bd i 7 h.	1
xvi, 459 s., [54] pl.-bl.	1
76 s, (130 s);(2 vol.)	1
36 s., 3 pl.	1
26, 4, 3 s.	1
[9] pl.	1
[3[, 50, [1] s., 1 utviksbl.	1
S. 353-396	1
IV, 188 s.	1
52 s., xv pl.-bl.	1
[5] s	1
164, [4] s.	1
48 s., 1 vikt pl.-bl.	1
[2], 52 s. (s. 52 opag. rättelser)	1
[6], 28 s.	1
S. 85-97 : b ill.	1
27, 2, 49, 10, 26 s.	1
121 s., 49 pl.-bl.	1
3 .s	1
XVI, 224 s. (s. XVI opag. rättelser) & omslag	1
127 s.; tab.	1
81 s., 4 tafl.	1
112 s., iv pl.-bl.	1
viii, 222, [2] s.	1
47 s., 46 pl.-s.	1
viii, 205, [1] s.	1
118 s., 1 vikt blad	1
16 s., 8 pl.bl.	1
84 s., v pl.-bl.	1
xi, 216 s.	1
x, 148 s.	1
224 s., [101] pl.-bl.	1
136 s., [1] pl.-bl.	1
S. 104-302	1
xii, 173 s.	1
ix, 272 s.	1
xvi, 198 s., 2 utv.-kartor	1
158 s., 59 pl.-s.	1
viii, 615 s.	1
2 vol. ([4], 372 ; [4], 515 s.)	1
192 s., [24] pl.-bl.	1
xv, 536 s.	1
225 s	1
320 s., 1 utvikbar karta	1
vii, 496 s., [1] vikt pl.-bl.	1
2 vol. (507 s.)	1
[6] s., s. [1-6] 7-44	1
96, IX s.	1
84, 12 s.	1
[5] s., s. 6-26	1
38 s., [02] pl. bl.	1
[11], 166 s., [4] vikta pl.-bl.	1
268, [1] s., 1 portr.	1
225 s., 1 portr.	1
[2] s., 1 pl.bl.	1
[4] s., [1] vikt pl.-bl.	1
369 s., [5] pl.-bl.	1
37, (2) s.	1
30 s., [ca 65] pl.-bl.	1
[5] s., s. 54-73, xx pl.-bl.	1
22 s., 3 pl.-bl	1
36 s. : ill.	1
S. 1-52	1
94 .	1
35 s., III pl.-bl.	1
s. 3-7	1
[6], 125, XI, [1] s., 10 pl.	1
xiv, 215 s.	1
iii, 226 s.	1
[3], 30 s.	1
[3] s., s. 22-36, [2] s.	1
[5], 12-19, [1] s.	1
274, [2] sp.	1
S. 374-420	1
[2], 7, [1] s.	1
285, vi s.	1
S. 126-157	1
xiv, 524 s.	1
370 s., [15] pl.-bl.	1
2 vol. i 1 (468 s., [27] pl.-bl., 4 kartor)	1
S. 83-126	1
[2], 29, [1] s.	1
266, xxxvi s.	1
175 s. +	1
S. 326-357	1
[6], 338, [2] s.	1
[2], 1214 s.	1
306, [4] s.	1
xxxv, [1], 83, [1] s.	1
79, [40] s.	1
iii, 372 s.	1
8 s.+33 pl.	1
S. 65-92	1
1 frontespis, [8], 220, [2] s., ix planschblad	1
xii, 307, [1] s.	1
viii, 407 s.,[ 6] pl.-s.	1
S. 29-40	1
218 s., 2 pl.-bl.	1
xvi, 417 s.	1
2 p. leaves., 114 p., 1 leaf	1
2 vol. i 1 ([2] s., 14 pl.-s., 4 pl.-bl. i färg; 57 s.)	1
2 vol. ([4] s., 37 pl.-s. ; 51, [1] s.)	1
xxii s., s. 23-106, 3 pl.-bl.	1
vi, 229 s.	1
[3], 57, [3], xxxv, [4] s.	1
92, [9] s.	1
viii, 58 s.	1
32 s., 20 pl.-bl.	1
48 s., 48 pl-s.	1
xix, [1], 175 s.	1
191 s., 39 pl.-bl.	1
60 s., [68] pl.-s.	1
ix, 206 s.	1
2 vol. i ett och samma band	1
S. 180-365	1
xiv, 272 s.	1
109, 102 s.	1
1306 sp.	1
xii, 337 s.	1
[8], 69, [3] s., [4] pl.-bl.	1
602, [2] s.	1
2 vol. (446, 267 s.)	1
701 s., 87 pl.-bl.	1
xlii, 160 s.	1
48 s.. [1] pl.-bl.	1
2 vol. (344, 255 s.)	1
1369 s.	1
S. 225-249	1
[2], 16, [2], 17-32, [2], 33-35, [4] s.	1
[82] s.	1
xlvii, 150 s., 4 pl.-bl.	1
20 s., [26] pl.-bl.	1
(23) s	1
22, [4] s.	1
[36]	1
[30]	1
176 s., 1 pl.-bl.	1
s. 101-117	1
s. 322-331	1
[6], 34, [3] s.	1
[6], 28, [3] s.	1
[3] s., s.4-15, [1] s.	1
27, [8] s.	1
[4], [1]2-37[38] s. (s. 38 blank)	1
12 band	1
[2] s., s. 2-113, [1] s.	1
159 s., 2 pl.-bl. (kopparstick)	1
3 vol.;(232 s.)	1
231 s., [19] pl.-bl.	1
[4], 317 s., 1 bl.	1
67, [1]	1
[2], 14 s., 1 pl.-bl.	1
14 s., tre pl.-s.	1
3 vol.;(24 ; 24 ; 32 s.)	1
1 part. (12 s.)	1
[4], 475 s.	1
[5], 347 s.	1
xvi, 110 s.	1
60, 36 s.	1
16 [2] s.	1
lxxviii, 374 s.	1
105, [1] s., 28 pl.-bl. (vissa i färg)	1
467 p.	1
145 p., [2] leaves of plates	1
[4], 281 s., [1] pl.-bl.	1
S. 28-49	1
210 s., [12] pl.-bl.	1
1130 s.	1
xix, 240 s.	1
CXVI, 217 s.	1
[2], 309, [1] s.	1
448 s., [7] pl.-bl.	1
183 s	1
154 s	1
125, [3] s	1
xii, 100 s.	1
735 s.	1
890 s.	1
xxxi, [1], 421 s.	1
xv, 334 s., [12] pl.-bl.	1
xxii, 241 s	1
xx, 284 s.	1
391 s	1
[2], viii, 193, [1] s.	1
[6], 107 s., [1] tab.	1
[4], 64, [3] s.	1
[5] s., s. 14-23 [1] s.	1
83 bl.	1
167 s., 16 pl.-bl.	1
xi, 245 s.	1
xij, 347 s.	1
2 vol. (232 s.)	1
[4], vi, 156, [2] s., 1 vikt kartbl.	1
[4], 472 s.	1
[6], vi, 284 s.	1
2 vol. (82; 71 s.)	1
2 vol. (476, 288 s.)	1
[4], 70, [2] s.	1
xxviii, 409, [6] s., 1 portr.	1
s. 476-489	1
s. 529-538	1
s. 21-24	1
(208 s.)	1
258 p., [46] leaves of plates	1
143 s., viii pl.-s.	1
[10] lösa pl.-bl.	1
xxiv, 304 s.	1
39 s., pl.-bl.	1
144, [1] s., 1 bl., 1 portr.	1
65 a.	1
[4], 109, [2] s., [2] pl.-bl.	1
vi, [2], 133 s.	1
xxii, 780 s.	1
460 s., 16 pl.-s.	1
xii, 615 s.	1
[15] s., s. 4-114	1
119 s. b ill.	1
[06], 271, [01] s.	1
xxvii, [1], 252 s., 1 pl., 1 facs.	1
2 vol. (223 ; 191 s.)	1
xxxii, 221 s.	1
xix, 471 s.	1
57 p.	1
[22], 696, [24] s., [12] pl.-bl.	1
[15] s., s. 2-54, [4] s.	1
421, iii s., [12] pl.-bl..	1
198, [1] s., [16] pl.-bl.	1
186 s., 1 vikt pl.-bl.	1
2 vol. (334 s., 1 pl.-bl. ; 336 s., 1 pl.-bl.)	1
105 s., [42] pl.-bl.	1
35, 180 s.	1
27 s., [23] pl.-s.	1
31 s., [8] pl.-bl.	1
32 s., [16] pl.-s.	1
64 pl.-s.b	1
s. [103]-124	1
s. [161]-206	1
s. [51]-57	1
8 vol.;(192 s.)	1
[24] s. :b ill.	1
H. 1-4 (12, 12, 12, 10, [2] s.)	1
[30], 478 s.	1
[4], 300, [2] s.	1
122, 91 s.	1
[16], 536 s., frontespis, graverat pl.-förtitelbl.	1
88 s., 52 pl.-bl.	1
110, 7 pl.-s.	1
248, 4 s.	1
[23] s., s. 2-510	1
778, [36] s.	1
285 p.	1
S. 72-180	1
vii, 915 s.	1
64, 89 s.	1
S. 359-367 :b ill.	1
S. 66-76	1
S. 86-90, 4 pl.-s.	1
S. 66-71	1
S. 60-91, 12 pl.-s.	1
218 s., [15] pl.bl. ; 17x15 cm	1
902 s.	1
266, 120 s.	1
211 s., v pl.-bl., 1 vikt kartbl.	1
186 s. : b ill.	1
74, xxiii s.	1
147 s., 1 bl.	1
2 vol. (404, 328 s.)	1
s. 384-388	1
2 vol.;(115 ; 236 s.)	1
42 s., [1] pl.-bl.	1
634, [5] s., 1 kartbl.	1
2 vol. (vii, 464 ; [4], 496 s.)	1
333 s., 5 pl.bl.	1
s. 243-248	1
2 vol.;(254, [1] ; 252, [1] s.)	1
2 vol.;(232 ; 236 s.)	1
[2], 284, [2], 302, [2] s.	1
s. 37-45	1
157, [2] s., 12 pl.-bl.	1
125, xxii, [1] s.	1
2 vol. (235, [3] ; 244, [2] s.)	1
450, [2] s., 3 pl.bl.	1
[4], 291, [1] s.	1
[2], 467 s.	1
2 vol.;(487 s.)	1
116 s., 2 pl.	1
S. 529-582	1
s. 245-259	1
[2], 2, [2], 40 s., 1 pl.-bl.	1
2 vol.;(viii, 232 ; [2], 228 s.)	1
345 s., 15 pl.bl.	1
102, [1] s., 1 portr., 7 pl.	1
[6], 330, [1] s.	1
2 vol.;(292, [1] ; 300, [1] s.)	1
20 s., 1 bl.	1
337, [3] s.	1
