orig	mod	comp	total
Dala-tidning	Dala-tidning	Dala-tidning	19
Dalatidning	Dala-tidning	Dalatidning	0
Enander & Bohman	Enander & Bohman	Enander & Bohman	19
Evangeliska Fosterlandsstiftelse	Evangeliska Fosterlandsstiftelse	Evangeliska Fosterlandsstiftelse	19
Exp., Norstedt	Exp., Norstedt	Exp., Norstedt	19
F:s centralbyrå	F:s centralbyrå	F:s centralbyrå	19
F:S centralbyrå	F:s centralbyrå		0
Hälsingborgs litografiska	Hälsingborgs litografiska	Hälsingborgs litografiska	19
Helsingborgs litografiska	Hälsingborgs litografiska		0
Hälsingborgs litografiska a.b	Hälsingborgs litografiska		0
Julin & Hedenschoug	Julin & Hedenschoug	Julin & Hedenschoug	19
Jämtlands tidning	Jämtlands tidning	Jämtlands tidning	19
Jämtlands-tidning	Jämtlands tidning		0
Karisto	Karisto	Karisto	19
Kindberg	Kindberg	Kindberg	19
Kinberg	Kindberg	Kinberg	0
Kindberg-	Kindberg		0
Kindbergs	Kindberg		0
Köpings-posten	Köpings-posten	Köpings-posten	19
Köpings-Posten	Köpings-posten	Köpings-Posten	0
Köpings posten	Köpings-posten		0
Köpingsposten	Köpings-posten	Köpingsposten	0
Köpingspostens	Köpings-posten		0
Lindståhl	Lindståhl	Lindståhl	19
Ljusdals tidning	Ljusdals tidning	Ljusdals tidning	19
LTK	LTK	LTK	19
Nautic	Nautic	Nautic	19
Nermans bokhandel	Nermans bokhandel	Nermans bokhandel	19
Bergmans bokhandel	Nermans bokhandel	Bergmans bokhandel	0
Nymans bokhandel	Nermans bokhandel	Nymans bokhandel	0
Palm & Stadling	Palm & Stadling	Palm & Stadling	19
Reitzel	Reitzel	Reitzel	19
Reitzels	Reitzel		0
Samf	Samf	Samf	19
Skog	Skog	Skog	19
Svenska brandskyddsförening	Svenska brandskyddsförening	Svenska brandskyddsförening	19
Sveriges allmänna lantbrukssällskap	Sveriges allmänna lantbrukssällskap	Sveriges allmänna lantbrukssällskap	19
Sveriges allmänna landtbrukssällskap	Sveriges allmänna lantbrukssällskap	Sveriges allmänna landtbrukssällskap	0
Sveriges allmänna landtbrukssällskap-	Sveriges allmänna lantbrukssällskap		0
Sveriges allmänna landtbrukssällskaps-	Sveriges allmänna lantbrukssällskap		0
Sveriges allmänna landtbrukssällskapsakiebolag	Sveriges allmänna lantbrukssällskap		0
Sveriges allmänna lantbrukssällsk:	Sveriges allmänna lantbrukssällskap		0
Sveriges allmänna lantbrukssällsk:-	Sveriges allmänna lantbrukssällskap		0
Teosofiska	Teosofiska	Teosofiska	19
tidning Folket	tidning Folket	tidning Folket	19
Tomas	Tomas	Tomas	19
Toma	Tomas	Toma	0
Ungsoc. partiet	Ungsoc. partiet	Ungsoc. partiet	19
WSOY	WSOY	WSOY	19
Västmanlands Folkblad	Västmanlands Folkblad	Västmanlands Folkblad	19
Allmänna valmans	Allmänna valmans	Allmänna valmans	18
allmänna valmans	Allmänna valmans	allmänna valmans	0
anstalte	anstalte	anstalte	18
Arboga bok	Arboga bok	Arboga bok	18
Arboga bok-	Arboga bok	Arboga bok-	0
Bibliska	Bibliska	Bibliska	18
Carl Blom	Carl Blom	Carl Blom	18
Centrum	Centrum	Centrum	18
E. Lindgren	E. Lindgren	E. Lindgren	18
Europa edition	Europa edition	Europa edition	18
Finska litteratursällskap	Finska litteratursällskap	Finska litteratursällskap	18
Finska litteratur-sällskap	Finska litteratursällskap	Finska litteratur-sällskap	0
Finska litteratur-sällskaps	Finska litteratursällskap		0
Finska litteratursällskaps	Finska litteratursällskap		0
Geolog. byrån	Geolog. byrån	Geolog. byrån	18
Jordbrukare-ungdomens förbund	Jordbrukare-ungdomens förbund	Jordbrukare-ungdomens förbund	18
Jordbrukare- ungdomens förbund	Jordbrukare-ungdomens förbund		0
Jordbrukareungdomens förbund	Jordbrukare-ungdomens förbund	Jordbrukareungdomens förbund	0
Komet	Komet	Komet	18
Kommunikationsdepartementet	Kommunikationsdepartementet	Kommunikationsdepartementet	18
L. Blom	L. Blom	L. Blom	18
L. Bloms	L. Blom		0
Litogr.	Litogr.	Litogr.	18
Litogr.-	Litogr.		0
Livrustkammaren	Livrustkammaren	Livrustkammaren	18
Lifrustkammaren	Livrustkammaren		0
N. Zetterström	N. Zetterström	N. Zetterström	18
N. Setterström	N. Zetterström		0
N. Zetterströms	N. Zetterström		0
Nordisk folkmusik	Nordisk folkmusik	Nordisk folkmusik	18
Nordström	Nordström	Nordström	18
Norrskenet	Norrskenet	Norrskenet	18
- Norrskenet	Norrskenet		0
Norrsken	Norrskenet		0
Norrskenets	Norrskenet		0
Norrtelje Tidning	Norrtelje Tidning	Norrtelje Tidning	18
Nova Ecclesia	Nova Ecclesia	Nova Ecclesia	18
Oskarshamnsblad	Oskarshamnsblad	Oskarshamnsblad	18
Oskarshamns-blad	Oskarshamnsblad	Oskarshamns-blad	0
Oskarshamnsbladets	Oskarshamnsblad		0
Oskarshamsblad	Oskarshamnsblad		0
Pro ecclesia	Pro ecclesia	Pro ecclesia	18
Puritas	Puritas	Puritas	18
'Puritas	Puritas		0
Purita	Puritas		0
s-	s-	s-	18
Sture-tr	Sture-tr	Sture-tr	18
Sturetr	Sture-tr	Sturetr	0
Suomen kirja	Suomen kirja	Suomen kirja	18
Sveriges scout	Sveriges scout	Sveriges scout	18
Sveriges scoutd	Sveriges scout		0
Söderhamns tidning	Söderhamns tidning	Söderhamns tidning	18
Wahlström & Låstbom	Wahlström & Låstbom	Wahlström & Låstbom	18
Wahlström & Låftbom	Wahlström & Låstbom		0
Wahlström & Lästbom	Wahlström & Låstbom		0
Västergötlands bok-	Västergötlands bok-	Västergötlands bok-	18
Västergötlands bok	Västergötlands bok-		0
Zetterström & Persson	Zetterström & Persson	Zetterström & Persson	18
A.F. Bergh	A.F. Bergh	A.F. Bergh	17
Aaröe	Aaröe	Aaröe	17
Adolf Bonnier	Adolf Bonnier	Adolf Bonnier	17
Allers familj-journal	Allers familj-journal	Allers familj-journal	17
Allers familje-journal	Allers familj-journal		0
Allers familjjournal	Allers familj-journal		0
Björck	Björck	Björck	17
Björk	Björck	Björk	0
bröderna Carlson	bröderna Carlson	bröderna Carlson	17
bröderna Carlsson	bröderna Carlson	bröderna Carlsson	0
bröderna Ivarsson	bröderna Carlson		0
bröderna Töpel	bröderna Töpel	bröderna Töpel	17
Caslon press	Caslon press	Caslon press	17
 Caslon press	Caslon press		0
Eslövs nya	Eslövs nya	Eslövs nya	17
Excelsior	Excelsior	Excelsior	17
Folkskolestyrelse	Folkskolestyrelse	Folkskolestyrelse	17
folkskolestyrelse	Folkskolestyrelse		0
förening för bokhandtverk	förening för bokhandtverk	förening för bokhandtverk	17
förening för bokhandverk	förening för bokhandtverk		0
förening för bokhantverk	förening för bokhandtverk	förening för bokhantverk	0
förening för Bokhantverk	förening för bokhandtverk		0
Gotlands Allehanda	Gotlands Allehanda	Gotlands Allehanda	17
Gutenberg	Gutenberg	Gutenberg	17
Gutenberg-	Gutenberg		0
Göta	Göta	Göta	17
Göta-	Göta	Göta-	0
H. Struve	H. Struve	H. Struve	17
Hagelstam	Hagelstam	Hagelstam	17
Hey'l	Hey'l	Hey'l	17
Härnösands bok	Härnösands bok	Härnösands bok	17
Härnösands bok-	Härnösands bok	Härnösands bok-	0
Ica-	Ica-	Ica-	17
J.J. Flodin	J.J. Flodin	J.J. Flodin	17
J.O. Öberg & son	J.O. Öberg & son	J.O. Öberg & son	17
J.O. Öberg & Son	J.O. Öberg & son	J.O. Öberg & Son	0
Joh. Lundén	Johan Lunden	Johan Lunden	17
K.L. Svenssons eftr:s bokindustri	K.L. Svenssons eftr:s bokindustri	K.L. Svenssons eftr:s bokindustri	17
K.L. Svensson eftr:s bokind	K.L. Svenssons eftr:s bokindustri		0
K.L. Svenssons eftr:s bokind	K.L. Svenssons eftr:s bokindustri	K.L. Svenssons eftr:s bokind	0
K.L. Svenssons eftr:s bokindustri-	K.L. Svenssons eftr:s bokindustri	K.L. Svenssons eftr:s bokindustri-	0
K.L. Svenssons eftr:s bokindustri-a-b	K.L. Svenssons eftr:s bokindustri		0
K.L. Svenssons eftr:s bokindustri.-	K.L. Svenssons eftr:s bokindustri		0
Kungsholms bokhandel	Kungsholms bokhandel	Kungsholms bokhandel	17
L. Hökerberg	L. Hökerberg	L. Hökerberg	17
LT:	LT:	LT:	17
Luleå bok-	Luleå bok-	Luleå bok-	17
Luleå bok	Luleå bok-	Luleå bok	0
M.C. Aaröe	M.C. Aaröe	M.C. Aaröe	17
M.C. Aaröes.	M.C. Aaröe		0
Medéns bokhandel	Medens bokhandel	Medens bokhandel	17
Hedéns bokhandel	Medens bokhandel	Hedens bokhandel	0
Orbis	Orbis	Orbis	17
Riksluftskyddsförbund	Riksluftskyddsförbund	Riksluftskyddsförbund	17
Samfund til udgivelse af gammel nordisk litteratur	Samfund til udgivelse af gammel nordisk litteratur	Samfund til udgivelse af gammel nordisk litteratur	17
Samfund til udgivelse af gammel nordisk literatur	Samfund til udgivelse af gammel nordisk litteratur		0
Samfund til Udgivelse af gammel nordisk Litteratur	Samfund til udgivelse af gammel nordisk litteratur		0
Scout	Scout	Scout	17
Sparbanken	Sparbanken	Sparbanken	17
Spektrum	Spektrum	Spektrum	17
Statens etnografiska museum	Statens etnografiska museum	Statens etnografiska museum	17
Statlanders	Statlanders	Statlanders	17
Statlander	Statlanders	Statlander	0
Stiftsrådet	Stiftsrådet	Stiftsrådet	17
Svenska bokhandelscentralen	Svenska bokhandelscentralen	Svenska bokhandelscentralen	17
Svenska bokhandelscen	Svenska bokhandelscentralen		0
Svenska bokhandelscentr	Svenska bokhandelscentralen		0
Svenska hembygd	Svenska hembygd	Svenska hembygd	17
Svensk hembygd	Svenska hembygd	Svensk hembygd	0
Svenska kyrkans missionsstyrelse	Svenska kyrkans missionsstyrelse	Svenska kyrkans missionsstyrelse	17
Sveriges handtverksorganisation	Sveriges handtverksorganisation	Sveriges handtverksorganisation	17
Sveriges hantverksorganisation	Sveriges handtverksorganisation	Sveriges hantverksorganisation	0
Sveriges Kristliga studentrörelse	Sveriges Kristliga studentrörelse	Sveriges Kristliga studentrörelse	17
Vetenskapsakademien	Vetenskapsakademien	Vetenskapsakademien	17
K. Vetenskapsakademien	Vetenskapsakademien		0
Åhlén & Holm	Åhlen & Holm	Åhlen & Holm	17
A. Lundquist	A. Lundqvist	A. Lundqvist	16
Am. Lundquist	A. Lundqvist	Am. Lundqvist	0
Balder	Balder	Balder	16
Björsell	Björsell	Björsell	16
Bohusläningen	Bohusläningen	Bohusläningen	16
Credo	Credo	Credo	16
Dalarnes tidning	Dalarnes tidning	Dalarnes tidning	16
Dalarnas tidnings &	Dalarnes tidning		0
Dalarnes tidning-	Dalarnes tidning		0
Dalarnes tidning- &	Dalarnes tidning	Dalarnes tidning- &	0
Dalarnes tidning-o.	Dalarnes tidning		0
Dalarnes tidnings- &	Dalarnes tidning		0
Ebeling & Co	Ebeling & Co	Ebeling & Co	16
Ebeling & Comp	Ebeling & Co		0
Ernst Bauer	Ernst Bauer	Ernst Bauer	16
Folkpartiet	Folkpartiet	Folkpartiet	16
förening V. Trädgårdsg. 10	förening V. Trädgårdsg. 10	förening V. Trädgårdsg. 10	16
G. Österberg	G. Österberg	G. Österberg	16
Gillet	Gillet	Gillet	16
Hachette	Hachette	Hachette	16
Haglund & Ericson	Haglund & Ericson	Haglund & Ericson	16
Haglund & Ericsson	Haglund & Ericson		0
Hallbergs bokhandel	Hallbergs bokhandel	Hallbergs bokhandel	16
Hallsbergs bokhandel	Hallbergs bokhandel		0
Helsingborgs dagblad	Helsingborgs dagblad	Helsingborgs dagblad	16
Helsingborgs dagbl:s	Helsingborgs dagblad	Helsingborgs dagbl:s	0
Hälsingborgs dagbl:s	Helsingborgs dagblad		0
Hemmet	Hemmet	Hemmet	16
Industritidning Norden	Industritidning Norden	Industritidning Norden	16
Klippans nya accidenstr	Klippans nya accidenstr	Klippans nya accidenstr	16
Krooks bokhandel	Krooks bokhandel	Krooks bokhandel	16
Lars Hökerberg	Lars Hökerberg	Lars Hökerberg	16
Läns-	Läns-	Läns-	16
Läns	Läns-	Läns	0
Löfving	Löving	Löving	16
Löfwing	Löving		0
Löwing	Löving		0
Malmö ljustrycksanstalte	Malmö ljustrycksanstalte	Malmö ljustrycksanstalte	16
Malmö ljustryckanstalt	Malmö ljustrycksanstalte		0
Malmö ljustryckanstalte	Malmö ljustrycksanstalte		0
Malmö ljustrycksanstalt	Malmö ljustrycksanstalte	Malmö ljustrycksanstalt	0
Metronome	Metronome	Metronome	16
Möller	Möller	Möller	16
Møller	Möller	Möller	0
N.J. Gumpert	N.J. Gumpert	N.J. Gumpert	16
Norra Skåne	Norra Skåne	Norra Skåne	16
P. Palmquist	P. Palmqvist	P. Palmqvist	16
P. Palmquist i	P. Palmqvist		0
Postverket	Postverket	Postverket	16
Postverkets	Postverket		0
Svenska allmänna exportförening	Svenska allmänna exportförening	Svenska allmänna exportförening	16
Svenska Morgonblad	Svenska Morgonblad	Svenska Morgonblad	16
Svenska Nykterhets	Svenska Nykterhets	Svenska Nykterhets	16
Svenska sockerfrik	Svenska sockerfrik	Svenska sockerfrik	16
Sveriges folkskollärarinne	Sveriges folkskollärarinne	Sveriges folkskollärarinne	16
Sverges folkskollärar	Sveriges folkskollärarinne		0
Sveriges folkskollärar	Sveriges folkskollärarinne		0
Sveriges folkskollärare	Sveriges folkskollärarinne		0
T. Hedlund	T. Hedlund	T. Hedlund	16
Teosof.	Teosof.	Teosof.	16
The Engberg-Holmberg Publad Co	The Engberg-Holmberg Publad Co	The Engberg-Holmberg Publad Co	16
tidning Kalmar	tidning Kalmar	tidning Kalmar	16
tidning Kalmar:	tidning Kalmar		0
tidning Kalmar:s	tidning Kalmar		0
tidning Kalmars	tidning Kalmar	tidning Kalmars	0
tidning Kalmars exp	tidning Kalmar		0
Tonoton	Tonoton	Tonoton	16
W. Björk	W. Björk	W. Björk	16
Vestmanlands läns tidning	Vestmanlands läns tidning	Vestmanlands läns tidning	16
Västermalm	Västermalm	Västermalm	16
yck	yck	yck	16
A. Bonnier	A. Bonnier	A. Bonnier	15
Aftonbladets	Aftonbladets	Aftonbladets	15
Almqvist	Almqvist	Almqvist	15
Almquist	Almqvist	Almqvist	0
Antonson	Antonson	Antonson	15
Antonsons	Antonson	Antonsons	0
Antonssons	Antonson		0
Arrhenius	Arrhenius	Arrhenius	15
Arrheni	Arrhenius		0
Arvika Nyheter	Arvika Nyheter	Arvika Nyheter	15
Arvika nyheter	Arvika Nyheter	Arvika nyheter	0
Arvika nyheters	Arvika Nyheter		0
Associations	Associations	Associations	15
Associationstr	Associations	Associationstr	0
Barnaserien	Barnaserien	Barnaserien	15
Bergman	Bergman	Bergman	15
Bergmann	Bergman	Bergmann	0
Blaedel	Blaedel	Blaedel	15
Continental Book	Continental Book	Continental Book	15
Continental book	Continental Book		0
Djurskyddet	Djurskyddet	Djurskyddet	15
E. Holmberg	E. Holmberg	E. Holmberg	15
Ehrling	Ehrling	Ehrling	15
Ekeskogs bokhandel	Ekeskogs bokhandel	Ekeskogs bokhandel	15
Elkan & Schildknecht, Emil Carelius	Elkan & Schildknecht, Emil Carelius	Elkan & Schildknecht, Emil Carelius	15
Folkskolans vän	Folkskolans vän	Folkskolans vän	15
folkskolans vän	Folkskolans vän		0
Fribaptistsamfund	Fribaptistsamfund	Fribaptistsamfund	15
Fribaptist-samfund	Fribaptistsamfund		0
Gustafsson	Gustafsson	Gustafsson	15
Gustafson	Gustafsson		0
Gustafssons	Gustafsson		0
Gyldendalske Boghandel	Gyldendalske Boghandel	Gyldendalske Boghandel	15
Gyldendalske boghandel	Gyldendalske Boghandel	Gyldendalske boghandel	0
Gyldendalske bokhandel	Gyldendalske Boghandel		0
Göteborgs Handelstidning	Göteborgs Handelstidning	Göteborgs Handelstidning	15
Hantverksinstitutet	Hantverksinstitutet	Hantverksinstitutet	15
Hedberg & Björklund	Hedberg & Björklund	Hedberg & Björklund	15
Henric Carlsons bokhandel	Henric Carlsons bokhandel	Henric Carlsons bokhandel	15
Historiekomm	Historiekomm	Historiekomm	15
Hj. Hansson	Hjalmar Hansson	Hjalmar Hansson	15
Ica	Ica	Ica	15
J.A. Svensson	J.A. Svensson	J.A. Svensson	15
K. Grönstedts musik	K. Grönstedts musik	K. Grönstedts musik	15
K. Medicinalstyrelse	K. Medicinalstyrelse	K. Medicinalstyrelse	15
Medicinalstyrelse	K. Medicinalstyrelse	Medicinalstyrelse	0
Kungliga yckeriet	Kungliga yckeriet	Kungliga yckeriet	15
Kyrkliga förbund	Kyrkliga förbund	Kyrkliga förbund	15
Landskommunernas förbund	Landskommunernas förbund	Landskommunernas förbund	15
Lengertz	Lengertz	Lengertz	15
Logen	Logen	Logen	15
Luftskyddsinspektionen	Luftskyddsinspektionen	Luftskyddsinspektionen	15
Lysekilsposten	Lysekilsposten	Lysekilsposten	15
Lysekilspostens	Lysekilsposten		0
Malmö konsttryckanstalte	Malmö konsttryckanstalte	Malmö konsttryckanstalte	15
Malmö konsttryck anstalt	Malmö konsttryckanstalte		0
Malmö konsttryckanstalt	Malmö konsttryckanstalte		0
Malmö konsttrycksanstalt	Malmö konsttryckanstalte		0
McGraw-Hill	McGrav-Hill	McGrav-Hill	15
Missionsbladets exp	Missionsbladets exp	Missionsbladets exp	15
Nordin	Nordin	Nordin	15
Nordiska Museet	Nordiska Museet	Nordiska Museet	15
Norrköpings Tidningar	Norrköpings Tidningar	Norrköpings Tidningar	15
Nykyrkliga	Nykyrkliga	Nykyrkliga	15
O.L. Svanbäck	O.L. Svanbäck	O.L. Svanbäck	15
O.L. Svanbäcks	O.L. Svanbäck		0
Politiken	Politiken	Politiken	15
Politikens	Politiken		0
Rietz	Rietz	Rietz	15
Rietz'	Rietz		0
S. A. C:	S. A. C:	S. A. C:	15
S. A. C	S. A. C:		0
S. L. U:	S. L. U:	S. L. U:	15
S. L. U	S. L. U:	S. L. U	0
Schéel & Sjögrens	Scheel & Sjögrens	Scheel & Sjögrens	15
Schéel & Sjögren	Scheel & Sjögrens	Scheel & Sjögren	0
Scheel & Sjögrens	Scheel & Sjögrens	Scheel & Sjögrens	0
Sederholm	Sederholm	Sederholm	15
Skandinavisk production	Skandinavisk production	Skandinavisk production	15
Skandinavisk produciton	Skandinavisk production		0
Skarorgaren	Skarorgaren	Skarorgaren	15
Skattebetalarnas förening	Skattebetalarnas förening	Skattebetalarnas förening	15
SLS:s riksstudieledning	SLS:s riksstudieledning	SLS:s riksstudieledning	15
Socialmedicinsk tidskrift	Socialmedicinsk tidskrift	Socialmedicinsk tidskrift	15
Social-medicinsk tidskr	Socialmedicinsk tidskrift	Social-medicinsk tidskr	0
Social-medicinsk tidskrift	Socialmedicinsk tidskrift		0
Socialmedicinsk tidskr	Socialmedicinsk tidskrift		0
Spegeln	Spegeln	Spegeln	15
Stadsmissionen	Stadsmissionen	Stadsmissionen	15
Stadsmission	Stadsmissionen		0
Suneson	Suneson	Suneson	15
Sunesson	Suneson		0
Svenska Missions	Svenska Missions	Svenska Missions	15
Svenska musikhandlareförening	Svenska musikhandlareförening	Svenska musikhandlareförening	15
Svenska musikhandlare förening	Svenska musikhandlareförening		0
Svenska slöjdförening	Svenska slöjdförening	Svenska slöjdförening	15
Sveriges pomologiska förening	Sveriges pomologiska förening	Sveriges pomologiska förening	15
Sveriges pomologiska förenings byrå	Sveriges pomologiska förening	Sveriges pomologiska förenings byrå	0
Sveriges pomologiska föreningsbyrå	Sveriges pomologiska förening		0
Sylve Norrbys bokhandel	Sylve Norrbys bokhandel	Sylve Norrbys bokhandel	15
Säffle-tidning	Säffle-tidning	Säffle-tidning	15
Teknisk tidskrift	Teknisk tidskrift	Teknisk tidskrift	15
Teknisk tidskr	Teknisk tidskrift	Teknisk tidskr	0
Tisell	Tisell	Tisell	15
Tranås-Posten	Tranås-Posten	Tranås-Posten	15
Tranås-posten	Tranås-Posten	Tranås-posten	0
Tranåsposten	Tranås-Posten	Tranåsposten	0
Tranåspostens	Tranås-Posten		0
W. Bille	W. Bille	W. Bille	15
W. Billes	W. Bille		0
W. Billes -aktb	W. Billes -aktb	W. Billes -aktb	15
Wallerström	Wallerström	Wallerström	15
Wallerströms	Wallerström		0
Weilin & Göös	Weilin & Göös	Weilin & Göös	15
Weilin & Göos	Weilin & Göös		0
Östeuropa	Östeuropa	Östeuropa	15
Östra Småland	Östra Småland	Östra Småland	15
- Folket	- Folket	- Folket	14
A.J. Lindgren	A.J. Lindgren	A.J. Lindgren	14
Adlon	Adlon	Adlon	14
 Adlon	Adlon		0
Aftonbl:s	Aftonbl:s	Aftonbl:s	14
Antroposof.	Antroposof.	Antroposof.	14
Beyrond	Beyrond	Beyrond	14
Beyronds	Beyrond		0
Bokförmedlingen	Bokförmedlingen	Bokförmedlingen	14
C.E. Fritzes k. hofbokhandel	C.E. Fritzes k. hofbokhandel	C.E. Fritzes k. hofbokhandel	14
C.E. Fritzes k. hofbokhandel i	C.E. Fritzes k. hofbokhandel		0
C.E. Fritzes k. hovbokhandel	C.E. Fritzes k. hofbokhandel		0
Clarté	Clarte	Clarte	14
Damm	Damm	Damm	14
Diakonissanstaltes bokförråd	Diakonissanstaltes bokförråd	Diakonissanstaltes bokförråd	14
Diakonissanstalte bokförråd	Diakonissanstaltes bokförråd	Diakonissanstalte bokförråd	0
Emil Jansson	Emil Jansson	Emil Jansson	14
G. Asplund	G. Asplund	G. Asplund	14
H. Sandström	H. Sandström	H. Sandström	14
Helgelse	Helgelse	Helgelse	14
Hörsta	Hörsta	Hörsta	14
J.U.F	J.U.F	J.U.F	14
J.U.F:	J.U.F	J.U.F:	0
Jonson & Winter	Jonson & Winter	Jonson & Winter	14
Jönköpings litografiska	Jönköpings litografiska	Jönköpings litografiska	14
Kalmar -	Kalmar -	Kalmar -	14
Kumla	Kumla	Kumla	14
Kungsholm	Kungsholm	Kungsholm	14
Kungsholmen	Kungsholm		0
Kurt Lindberg	Kurt Lindberg	Kurt Lindberg	14
Libris	Libris	Libris	14
Magnus	Magnus	Magnus	14
Magnus Bergvall	Magnus Bergvall	Magnus Bergvall	14
Malmö centraltr	Malmö centraltr	Malmö centraltr	14
Malmö central	Malmö centraltr		0
Marinlitteraturförening	Marinlitteraturförening	Marinlitteraturförening	14
Marinlitteraturför	Marinlitteraturförening		0
Meijer	Meijer	Meijer	14
Meijers	Meijer		0
Mercators	Mercators	Mercators	14
Mercator	Mercators	Mercator	0
Missions	Missions	Missions	14
Missons	Missions		0
Nationen	Nationen	Nationen	14
Nya Dagligt Allehanda	Nya Dagligt Allehanda	Nya Dagligt Allehanda	14
Nynäshamn	Nynäshamn	Nynäshamn	14
Nynäshamn-	Nynäshamn	Nynäshamn-	0
Nynäshamns	Nynäshamn		0
Odeon	Odeon	Odeon	14
Oden	Odeon	Oden	0
Odén	Odeon		0
Oskarshamns-tidning	Oskarshamns-tidning	Oskarshamns-tidning	14
Oskarshamns tidning	Oskarshamns-tidning		0
Oskarshamnstidning	Oskarshamns-tidning		0
Perfekta-tr	Perfekta-tr	Perfekta-tr	14
Perfekta-tryck	Perfekta-tr		0
Postverkets undervisningsanstalt	Postverkets undervisningsanstalt	Postverkets undervisningsanstalt	14
Fostverkets undervisningsanstalte	Postverkets undervisningsanstalt		0
Postverkets undervisningsanst.	Postverkets undervisningsanstalt		0
Postverkets undervisningsanstalte	Postverkets undervisningsanstalt	Postverkets undervisningsanstalte	0
kvinnliga mission-arb:	qvinnliga mission-arb:	qvinnliga mission-arb:	14
kvinnliga mission-arbete	qvinnliga mission-arb:		0
kvinnliga mission arb:	qvinnliga mission-arb:		0
kvinnliga missionarbete	qvinnliga mission-arb:	qvinnliga missionarbete	0
kvinnliga missions arb:	qvinnliga mission-arb:		0
kvinnliga missionsarb	qvinnliga mission-arb:		0
kvinnliga missionsarb:	qvinnliga mission-arb:	qvinnliga missionsarb:	0
kvinnliga Missionsarb:	qvinnliga mission-arb:		0
röderna Hirsch	röderna Hirsch	röderna Hirsch	14
Skellefteblad	Skellefteblad	Skellefteblad	14
Skellefteåblad	Skellefteblad		0
Statens reproduktionsanstalt	Statens reproduktionsanstalt	Statens reproduktionsanstalt	14
Statens reproduktionsansalt	Statens reproduktionsanstalt		0
Statens reproduktionsanstalte	Statens reproduktionsanstalt	Statens reproduktionsanstalte	0
Svenska Andels	Svenska Andels	Svenska Andels	14
Svenska djurskyddsvännernas andels	Svenska djurskyddsvännernas andels	Svenska djurskyddsvännernas andels	14
Svenska gruvförening	Svenska gruvförening	Svenska gruvförening	14
Svenska missions i Amerika	Svenska missions i Amerika	Svenska missions i Amerika	14
Sveriges industri	Sveriges industri	Sveriges industri	14
SydSvenska Dagblad	SydSvenska Dagblad	SydSvenska Dagblad	14
Syndikalisten	Syndikalisten	Syndikalisten	14
Syndikalistens	Syndikalisten		0
Tekniska museet	Tekniska museet	Tekniska museet	14
Teknologernas handelsförening	Teknologernas handelsförening	Teknologernas handelsförening	14
Telegrafstyrelse	Telegrafstyrelse	Telegrafstyrelse	14
Teubner	Teubner	Teubner	14
tidskrift Byggmästaren	tidskrift Byggmästaren	tidskrift Byggmästaren	14
Umeå	Umeå	Umeå	14
Vetenskapsakad	Vetenskapsakad	Vetenskapsakad	14
Wistrand & Thulin	Wistrand & Thulin	Wistrand & Thulin	14
Wistrand & Thulin'	Wistrand & Thulin	Wistrand & Thulin'	0
Öhman	Öhman	Öhman	14
Öhmans	Öhman		0
Almqvist & Wiksellyckeri	Almqvist & Wiksellyckeri	Almqvist & Wiksellyckeri	13
Almqvist & Wiksell yckeri	Almqvist & Wiksellyckeri		0
Almqvist & Wiksellyckeri-	Almqvist & Wiksellyckeri		0
Almqvist & Wiksellyckeri-a.b	Almqvist & Wiksellyckeri		0
Appelbergs bok	Appelbergs bok	Appelbergs bok	13
Appelbergs bok-	Appelbergs bok	Appelbergs bok-	0
Ariel	Ariel	Ariel	13
Ars	Ars	Ars	13
Bohus-Posten	Bohus-Posten	Bohus-Posten	13
Bohus-posten	Bohus-Posten	Bohus-posten	0
Bohusposten	Bohus-Posten		0
C. Suneson	C. Suneson	C. Suneson	13
C.R. Holmqvist	C.R. Holmqvist	C.R. Holmqvist	13
C.W. Carlssons eftr	C.W. Carlssons eftr	C.W. Carlssons eftr	13
C.W. Carlssons eftertr	C.W. Carlssons eftr		0
C.W. Carlssons eftr:	C.W. Carlssons eftr		0
Carlsons bokhandel	Carlsons bokhandel	Carlsons bokhandel	13
Karlsons bokhandel	Carlsons bokhandel		0
Domkapitlet	Domkapitlet	Domkapitlet	13
Eginostiftelse	Eginostiftelse	Eginostiftelse	13
Engberg-Holmberg Pub. Co	Engberg-Holmberg Pub. Co	Engberg-Holmberg Pub. Co	13
Ernst Lind, Nås	Ernst Lind, Nås	Ernst Lind, Nås	13
Falkmans bokhandel	Falkmans bokhandel	Falkmans bokhandel	13
Frisksport	Frisksport	Frisksport	13
Gotlands-Posten	Gotlands-Posten	Gotlands-Posten	13
Gotlands-posten	Gotlands-Posten		0
Gotlandsposten	Gotlands-Posten		0
Göteborg	Göteborg	Göteborg	13
Göteborgs	Göteborg		0
Göteborgs-	Göteborg	Göteborgs-	0
Institutet för offentlig & internationell rätt	Institutet för offentlig & internationell rätt	Institutet för offentlig & internationell rätt	13
Janssons	Janssons	Janssons	13
Jansons	Janssons		0
Jansson	Janssons	Jansson	0
Jönssons	Jönssons	Jönssons	13
Jönson	Jönssons	Jönson	0
Jönsons	Jönssons		0
Jönsson	Jönssons	Jönsson	0
KF, Gruppverksamheten	KF, Gruppverksamheten	KF, Gruppverksamheten	13
Kristianstads Läns tidning	Kristianstads Läns tidning	Kristianstads Läns tidning	13
