orig	mod	comp	total
Svenska amerikanaren	Svenska amerikanaren	Svenska amerikanaren	24
Svenska amerikanarens tr	Svenska amerikanaren		0
Svenska arbetsgivareförening	Svenska arbetsgivareförening	Svenska arbetsgivareförening	24
[Svenska arbetsgifvarefören	Svenska arbetsgivareförening		0
[Svenska arbetsgivarefören	Svenska arbetsgivareförening		0
Svenska arbetsgifvarefören	Svenska arbetsgivareförening		0
Svenska arbetsgifvareförening	Svenska arbetsgivareförening	Svenska arbetsgifvareförening	0
Svenska arbetsgivarefo<U+030C>ren	Svenska arbetsgivareförening		0
Svenska arbetsgivarefören	Svenska arbetsgivareförening	Svenska arbetsgivarefören	0
Västergötland	Västergötland	Västergötland	24
Västergötland-	Västergötland	Västergötland-	0
Västergötland-a.-b	Västergötland		0
Västergötland-a.b	Västergötland		0
Västergötland a.-b	Västergötland	Västergötland a.-b	0
Västergötlanda.-b	Västergötland		0
Västergötlands tr	Västergötland		0
Öberg	Öberg	Öberg	24
Örebro Dagbl	Örebro Dagbl	Örebro Dagbl	24
A. rahamson	A. rahamson	A. rahamson	23
Appeltoffts bokhandel	Appeltoffts bokhandel	Appeltoffts bokhandel	23
[Apeltoffts bokhandel	Appeltoffts bokhandel		0
[Appeltoffts bokhandel	Appeltoffts bokhandel	[Appeltoffts bokhandel	0
Appeltofts bokhandel	Appeltoffts bokhandel		0
Aug. Collin	Aug. Collin	Aug. Collin	23
Central, Esselte	Central, Esselte	Central, Esselte	23
Falu nya bok-	Falu nya bok-	Falu nya bok-	23
[Falu nya bok	Falu nya bok-		0
Falu nya bok	Falu nya bok-	Falu nya bok	0
Freden	Freden	Freden	23
Härolden	Härolden	Härolden	23
Häroldens	Härolden		0
Isacson	Isacson	Isacson	23
Isacsons	Isacson	Isacsons	0
Isacssons	Isacson		0
J. Seligmann & Co	J. Seligmann & Co	J. Seligmann & Co	23
Kultur	Kultur	Kultur	23
Kvinnl. miss.-arb:	Kvinnl. miss.-arb:	Kvinnl. miss.-arb:	23
Kvinnl miss.-arb:	Kvinnl. miss.-arb:		0
Kvinnl. miss.-arb	Kvinnl. miss.-arb:	Kvinnl. miss.-arb	0
Kvinnl. miss.-arb.	Kvinnl. miss.-arb:		0
Kvinnl. Miss.-arb:	Kvinnl. miss.-arb:		0
Kvinnl. miss. arb:	Kvinnl. miss.-arb:		0
Lantungdomens föreningstjänst	Lantungdomens föreningstjänst	Lantungdomens föreningstjänst	23
[Lantungdomens föreningstjänst	Lantungdomens föreningstjänst		0
Lantungdomarnas föreningstjänst	Lantungdomens föreningstjänst		0
Lantungdomens föreningstjänst i distr	Lantungdomens föreningstjänst		0
Norblad	Norblad	Norblad	23
Norrblad	Norblad		0
Riks för Sveriges försvar	Riks för Sveriges försvar	Riks för Sveriges försvar	23
sbyrån	sbyrån	sbyrån	23
Stridsropet	Stridsropet	Stridsropet	23
: Stridsropets	Stridsropet		0
Stridsropets	Stridsropet	Stridsropets	0
Stridsropets tr	Stridsropet		0
Swedish M.E. Book Concern	Swedish M.E. Book Concern	Swedish M.E. Book Concern	23
Svenska bankförening	Svenska bankförening	Svenska bankförening	23
Svenska bankfören	Svenska bankförening	Svenska bankfören	0
Svenska sällskapet för nykterhet & folkuppfostran	Svenska sällskapet för nykterhet & folkuppfostran	Svenska sällskapet för nykterhet & folkuppfostran	23
[Svenska sållskapet för nykterhet & folkuppfostran	Svenska sällskapet för nykterhet & folkuppfostran		0
[Svenska sällskapet för nykterhet & folkuppfostran	Svenska sällskapet för nykterhet & folkuppfostran	[Svenska sällskapet för nykterhet & folkuppfostran	0
Sveriges folkskollärarinne	Sveriges folkskollärarinne	Sveriges folkskollärarinne	23
[Sveriges folkskollärarinne	Sveriges folkskollärarinne		0
Sverges folkskollärar	Sveriges folkskollärarinne		0
Sveriges folkskollärar	Sveriges folkskollärarinne		0
Sveriges folkskollärare	Sveriges folkskollärarinne		0
Sveriges folkskollärareförb	Sveriges folkskollärarinne		0
Sveriges folkskollärarinneförb	Sveriges folkskollärarinne	Sveriges folkskollärarinneförb	0
SydSvenska Dagbl	SydSvenska Dagbl	SydSvenska Dagbl	23
SydSvenska dagbl	SydSvenska Dagbl	SydSvenska dagbl	0
SydSvenska dagbladet	SydSvenska Dagbl		0
W. Zachrissons	W. Zachrissons	W. Zachrissons	23
Ågren & Holmberg	Ågren & Holmberg	Ågren & Holmberg	23
Ågren & Holmbergs	Ågren & Holmberg	Ågren & Holmbergs	0
Ågren & Holmbergs bok	Ågren & Holmberg		0
[Inst	[Inst	[Inst	22
Albatross/Norstedt	Albatross/Norstedt	Albatross/Norstedt	22
Anst	Anst	Anst	22
Bergendahl	Bergendahl	Bergendahl	22
Bergdahl	Bergendahl	Bergdahl	0
Bergendahls	Bergendahl	Bergendahls	0
Bergendal	Bergendahl		0
Bibliotekstjänst	Bibliotekstjänst	Bibliotekstjänst	22
Edman	Edman	Edman	22
Gruppverksamheten, kooperativa förb	Gruppverksamheten, kooperativa förb	Gruppverksamheten, kooperativa förb	22
Gruppverksamheten, kooperativa Förb	Gruppverksamheten, kooperativa förb		0
Hellsten	Hellsten	Hellsten	22
Hellstens	Hellsten		0
Ivar Hæggström	Ivar Hæggström	Ivar Hæggström	22
Karisto	Karisto	Karisto	22
Kaaristo	Karisto	Kaaristo	0
Pettersson	Pettersson	Pettersson	22
Peterson	Pettersson	Peterson	0
Petersson	Pettersson	Petersson	0
Petterson	Pettersson		0
Pettersons	Pettersson	Pettersons	0
Petterssons	Pettersson		0
Sandbergs bokhandel i distr	Sandbergs bokhandel i distr	Sandbergs bokhandel i distr	22
Lundbergs bokhandel i distr	Sandbergs bokhandel i distr		0
Småland	Småland	Småland	22
'Småland	Småland		0
Sparfrämjandet	Sparfrämjandet	Sparfrämjandet	22
Vis	Vis	Vis	22
Öberg & son	Öberg & son	Öberg & son	22
Öberg & Son	Öberg & son	Öberg & Son	0
Akademiska bokhandel i distr	Akademiska bokhandel i distr	Akademiska bokhandel i distr	21
[Akademiska bokhandel i distr	Akademiska bokhandel i distr		0
Akademiska bokhandeln i distr	Akademiska bokhandel i distr		0
Akademiska bokhandeln, distr	Akademiska bokhandel i distr		0
Allers	Allers	Allers	21
Aller	Allers		0
Ansgarius	Ansgarius	Ansgarius	21
Angarius	Ansgarius		0
Falu nya	Falu nya	Falu nya	21
[Falu nya	Falu nya		0
Falunya	Falu nya		0
Härnösands-Posten	Härnösands-Posten	Härnösands-Posten	21
Härnösands-posten	Härnösands-Posten	Härnösands-posten	0
Härnösandsposten	Härnösands-Posten	Härnösandsposten	0
Industriens upplysningstjänst	Industriens upplysningstjänst	Industriens upplysningstjänst	21
Karlstads-Tidn	Karlstads-Tidn	Karlstads-Tidn	21
Karlstad-tidn	Karlstads-Tidn		0
Karlstad-Tidn	Karlstads-Tidn		0
Karlstads-tidn	Karlstads-Tidn	Karlstads-tidn	0
Karlstadstidn	Karlstads-Tidn	Karlstadstidn	0
Karlstadstidn:ns	Karlstads-Tidn		0
Karlstadstidn:s	Karlstads-Tidn		0
L.J. Hjerta	L.J. Hjerta	L.J. Hjerta	21
Landin	Landin	Landin	21
Larsson & Co	Larsson & Co	Larsson & Co	21
Nermans trycksaker	Nermans trycksaker	Nermans trycksaker	21
Nordin & Josephson i distr	Nordin & Josephson i distr	Nordin & Josephson i distr	21
P. Palmquists aktieb	P. Palmquists aktieb	P. Palmquists aktieb	21
P.A. Huldberg	P.A. Huldberg	P.A. Huldberg	21
P.G. Berg	P.G. Berg	P.G. Berg	21
Romantidnings	Romantidnings	Romantidnings	21
Romantidning	Romantidnings	Romantidning	0
sförening A. S	sförening A. S	sförening A. S	21
sförening A.S	sförening A. S		0
sförening AS	sförening A. S		0
Skolöverstyrelse	Skolöverstyrelse	Skolöverstyrelse	21
[Skolöverstyrelse	Skolöverstyrelse	[Skolöverstyrelse	0
Strokirks bokhandel	Strokirks bokhandel	Strokirks bokhandel	21
[Strokirks bokhandel	Strokirks bokhandel	[Strokirks bokhandel	0
Suomalais-ugrilainen seura	Suomalais-ugrilainen seura	Suomalais-ugrilainen seura	21
Suomalais-ugrilaisen seura	Suomalais-ugrilainen seura		0
Sverges kommunistiska ungdoms	Sverges kommunistiska ungdoms	Sverges kommunistiska ungdoms	21
[Sverges kommunistiska ungdoms	Sverges kommunistiska ungdoms		0
Sverges kommunistiska parti & ungdoms	Sverges kommunistiska ungdoms		0
Sverges kommunistiska ungdomsförb	Sverges kommunistiska ungdoms	Sverges kommunistiska ungdomsförb	0
Sveriges industriförb	Sveriges industriförb	Sveriges industriförb	21
[Sveriges industriförb	Sveriges industriförb		0
tidning Halland	tidning Halland	tidning Halland	21
Wennerholm & Béwe	Wennerholm & Béwe	Wennerholm & Béwe	21
Wennerholm & Bewes	Wennerholm & Béwe		0
Wennerholm & Béwes	Wennerholm & Béwe	Wennerholm & Béwes	0
Wennerholm & Béwes tr	Wennerholm & Béwe		0
Zetterlund	Zetterlund	Zetterlund	21
Ziemelblazma	Ziemelblazma	Ziemelblazma	21
Örebro nya -a.-b	Örebro nya -a.-b	Örebro nya -a.-b	21
Örebro nya a.-b	Örebro nya -a.-b		0
- & tidning-för	- & tidning-för	- & tidning-för	20
- & tidning-för:s	- & tidning-för		0
- & tidning-fören	- & tidning-för	- & tidning-fören	0
- & tidning-förening	- & tidning-för		0
- & tidningsfören	- & tidning-för		0
- & tidningsfören:s	- & tidning-för		0
A. Lundquist	A. Lundquist	A. Lundquist	20
Am. Lundquist	A. Lundquist	Am. Lundquist	0
Argus	Argus	Argus	20
'Argus	Argus		0
Avd	Avd	Avd	20
Bergianska trädg	Bergianska trädg	Bergianska trädg	20
[Bergianska trädg	Bergianska trädg	[Bergianska trädg	0
Bröd. Forssell	Bröd. Forssell	Bröd. Forssell	20
Bröd. Forsell	Bröd. Forssell		0
Bröderna Lagerström	Bröderna Lagerström	Bröderna Lagerström	20
Egnellska	Egnellska	Egnellska	20
Ekblad	Ekblad	Ekblad	20
Ekblads	Ekblad		0
Ekblad & Co	Ekblad & Co	Ekblad & Co	20
Ekblad & Co i	Ekblad & Co		0
Ekblad & Comp	Ekblad & Co		0
Ewerlöf	Ewerlöf	Ewerlöf	20
[Ewerlöf	Ewerlöf		0
FIB:s lyrikklubb	FIB:s lyrikklubb	FIB:s lyrikklubb	20
förening Norrköping	förening Norrköping	förening Norrköping	20
-förening Norrköping	förening Norrköping	-förening Norrköping	0
förening Norrköpings tr	förening Norrköping		0
Geflepostens	Geflepostens	Geflepostens	20
Gefle-posten	Geflepostens		0
Gefle-postens	Geflepostens		0
Gefleposten	Geflepostens		0
Gen.-st. lit. anst. i distr	Gen.-st. lit. anst. i distr	Gen.-st. lit. anst. i distr	20
H. Hall	H. Hall	H. Hall	20
Heimbygda	Heimbygda	Heimbygda	20
[Heimbygda	Heimbygda		0
Hj. Möllers bokhandel	Hj. Möllers bokhandel	Hj. Möllers bokhandel	20
[Hj. Möllers bokhandel	Hj. Möllers bokhandel		0
Industriens utredningsinstitut	Industriens utredningsinstitut	Industriens utredningsinstitut	20
Industriens utredningsinst	Industriens utredningsinstitut	Industriens utredningsinst	0
J.W. Svensson	J.W. Svensson	J.W. Svensson	20
Katolska	Katolska	Katolska	20
[Katolska	Katolska		0
Klippans Nya accidenstr	Klippans Nya accidenstr	Klippans Nya accidenstr	20
Lithographisches Inst. des Generalsts	Lithographisches Inst. des Generalsts	Lithographisches Inst. des Generalsts	20
Littorins bokhandel	Littorins bokhandel	Littorins bokhandel	20
[Littorins bokhandel	Littorins bokhandel	[Littorins bokhandel	0
Nils Georgs musik	Nils Georgs musik	Nils Georgs musik	20
Nya Wermlands-tidn	Nya Wermlands-tidn	Nya Wermlands-tidn	20
Ol. Hansen	Ol. Hansen	Ol. Hansen	20
P.A. Norstedt	P.A. Norstedt	P.A. Norstedt	20
Palmquists aktieb	Palmquists aktieb	Palmquists aktieb	20
R. Almqvist & J. Wiksell	R. Almqvist & J. Wiksell	R. Almqvist & J. Wiksell	20
R. Lagerblad	R. Lagerblad	R. Lagerblad	20
SGU	SGU	SGU	20
Stockholm	Stockholm	Stockholm	20
[Stockholm	Stockholm		0
Stockholm &	Stockholm	Stockholm &	0
Stockholms	Stockholm	Stockholms	0
Stockholms-	Stockholm		0
Stockholms &	Stockholm		0
tidning för Skarorgs län	tidning för Skarorgs län	tidning för Skarorgs län	20
tidning för Skar län	tidning för Skarorgs län		0
tidning för Skar. län	tidning för Skarorgs län	tidning för Skar. län	0
tidning för Skarb. län	tidning för Skarorgs län		0
Tidning för Skarorgs län	tidning för Skarorgs län	Tidning för Skarorgs län	0
Universalbiblioteketsexp	Universalbiblioteketsexp	Universalbiblioteketsexp	20
Universal-biblioteket	Universalbiblioteketsexp		0
Universal-bibliotket	Universalbiblioteketsexp		0
Universalbiblioteket	Universalbiblioteketsexp	Universalbiblioteket	0
Universalbibliotekets exp	Universalbiblioteketsexp	Universalbibliotekets exp	0
Vasatr	Vasatr	Vasatr	20
Widerholm	Widerholm	Widerholm	20
Östg. Corresp:s	Östg. Corresp:s	Östg. Corresp:s	20
Öst. Corresp	Östg. Corresp:s		0
Östg.-corresp:s	Östg. Corresp:s		0
Östg. Corresp	Östg. Corresp:s	Östg. Corresp	0
Östg. corresp:s	Östg. Corresp:s	Östg. corresp:s	0
Östg. Corresp:s tr	Östg. Corresp:s		0
[Sparbanken	[Sparbanken	[Sparbanken	19
[sparbanken	[Sparbanken		0
Sparbanken	[Sparbanken	Sparbanken	0
Akademiska	Akademiska	Akademiska	19
Akademisk	Akademiska		0
Arbetarnas bildningsförb	Arbetarnas bildningsförb	Arbetarnas bildningsförb	19
Arbetarnas bildnings	Arbetarnas bildningsförb	Arbetarnas bildnings	0
Arbetarnes bildnings	Arbetarnas bildningsförb		0
Bellmanssällsk	Bellmanssällsk	Bellmanssällsk	19
Bellmanssällskapet	Bellmanssällsk	Bellmanssällskapet	0
Bröd. Lindström	Bröd. Lindström	Bröd. Lindström	19
Bröd. Weiss	Bröd. Weiss	Bröd. Weiss	19
Collin	Collin	Collin	19
Colin	Collin	Colin	0
Collins	Collin		0
D.F. Bonnier	D.F. Bonnier	D.F. Bonnier	19
Enander & Bohman	Enander & Bohman	Enander & Bohman	19
Enander & Bohmans tr	Enander & Bohman	Enander & Bohmans tr	0
Exp., Norstedt	Exp., Norstedt	Exp., Norstedt	19
Finska litteratursällskapet	Finska litteratursällskapet	Finska litteratursällskapet	19
Finska litteratur-sällsk	Finska litteratursällskapet		0
Finska litteratur-sällskapet	Finska litteratursällskapet	Finska litteratur-sällskapet	0
Finska litteratur-Sällskapet	Finska litteratursällskapet		0
Finska litteratur-sällskapets	Finska litteratursällskapet		0
Finska litteratur-sällskapets tr	Finska litteratursällskapet		0
Finska litteratursällskapets	Finska litteratursällskapet		0
Judiska litteratursällskapet	Finska litteratursällskapet		0
Fritzes i distr	Fritzes i distr	Fritzes i distr	19
G. Tisells tekn.	G. Tisells tekn.	G. Tisells tekn.	19
Handelstidn:s	Handelstidn:s	Handelstidn:s	19
Handelstid:s	Handelstidn:s		0
Handelstidn	Handelstidn:s	Handelstidn	0
Handelstidn:s tr	Handelstidn:s		0
Joh. Lundén	Joh. Lundén	Joh. Lundén	19
Joh. Lundéns	Joh. Lundén		0
Julin & Hedenschoug	Julin & Hedenschoug	Julin & Hedenschoug	19
[Julin & Hedenschoug	Julin & Hedenschoug		0
Köpings-posten	Köpings-posten	Köpings-posten	19
[Köpings-Posten	Köpings-posten		0
Köpings-Posten	Köpings-posten	Köpings-Posten	0
Köpings posten	Köpings-posten		0
Köpingsposten	Köpings-posten	Köpingsposten	0
Köpingspostens	Köpings-posten		0
Lindståhl	Lindståhl	Lindståhl	19
Ljusdals Tidn	Ljusdals Tidn	Ljusdals Tidn	19
Ljusdals tidn	Ljusdals Tidn	Ljusdals tidn	0
Ljusdals tidning	Ljusdals Tidn	Ljusdals tidning	0
LTK	LTK	LTK	19
Lundéns	Lundéns	Lundéns	19
Lundén	Lundéns	Lundén	0
N.J. Gumperts bokhandel	N.J. Gumperts bokhandel	N.J. Gumperts bokhandel	19
N.M. Lindh	N.M. Lindh	N.M. Lindh	19
Nautic	Nautic	Nautic	19
[Nautic	Nautic		0
Oskarshamnsbladet	Oskarshamnsbladet	Oskarshamnsbladet	19
Oskarshamns-bladet	Oskarshamnsbladet		0
Oskarshamns-Bladet	Oskarshamnsbladet	Oskarshamns-Bladet	0
Oskarshamns-Bladets	Oskarshamnsbladet		0
Oskarshamnsbladets	Oskarshamnsbladet		0
Oskarshamsbladet	Oskarshamnsbladet		0
P. Palmquists aktb	P. Palmquists aktb	P. Palmquists aktb	19
Reitzel	Reitzel	Reitzel	19
Reitzels	Reitzel		0
Schéel & Sjögrens	Schéel & Sjögrens	Schéel & Sjögrens	19
Schéel & Sjögren	Schéel & Sjögrens	Schéel & Sjögren	0
Sjuhäradsbygden-	Sjuhäradsbygden-	Sjuhäradsbygden-	19
Sjuhäradsbygden	Sjuhäradsbygden-	Sjuhäradsbygden	0
Sjuhäradsbygden-a.-b	Sjuhäradsbygden-	Sjuhäradsbygden-a.-b	0
Sjuhäradsbygden a.-b	Sjuhäradsbygden-		0
Svenska brandskyddsfören	Svenska brandskyddsfören	Svenska brandskyddsfören	19
Svenska brandskyddsförening	Svenska brandskyddsfören	Svenska brandskyddsförening	0
Teosofiska	Teosofiska	Teosofiska	19
tidning Folket	tidning Folket	tidning Folket	19
Tomas	Tomas	Tomas	19
Toma	Tomas	Toma	0
Ungsoc. partiet	Ungsoc. partiet	Ungsoc. partiet	19
WSOY	WSOY	WSOY	19
-a.-b:s i Malmö	-a.-b:s i Malmö	-a.-b:s i Malmö	18
a.-b:s i Malmö	-a.-b:s i Malmö		0
[Anst	[Anst	[Anst	18
Akad	Akad	Akad	18
anstalte	anstalte	anstalte	18
[anstalte	anstalte		0
Bibliska	Bibliska	Bibliska	18
Carl Blom	Carl Blom	Carl Blom	18
Centrum	Centrum	Centrum	18
E. Lindgren	E. Lindgren	E. Lindgren	18
Europa edition	Europa edition	Europa edition	18
Galerie Blanche	Galerie Blanche	Galerie Blanche	18
Geolog. byrån	Geolog. byrån	Geolog. byrån	18
Jordbrukare-ungdomens förb	Jordbrukare-ungdomens förb	Jordbrukare-ungdomens förb	18
Jordbrukare- ungdomens förb	Jordbrukare-ungdomens förb		0
Jordbrukareungdomens förb	Jordbrukare-ungdomens förb	Jordbrukareungdomens förb	0
Komet	Komet	Komet	18
Kommunikationsdepartementet	Kommunikationsdepartementet	Kommunikationsdepartementet	18
Kyrkliga förb	Kyrkliga förb	Kyrkliga förb	18
Kyrkliga förb:	Kyrkliga förb		0
Kyrkliga fören	Kyrkliga förb		0
Livrustkammaren	Livrustkammaren	Livrustkammaren	18
[Livrustkammaren	Livrustkammaren		0
Lifrustkammaren	Livrustkammaren		0
Nordisk folkmusik	Nordisk folkmusik	Nordisk folkmusik	18
Nordström	Nordström	Nordström	18
Norrskenet	Norrskenet	Norrskenet	18
- Norrskenet	Norrskenet		0
Norrsken	Norrskenet		0
Norrskenets	Norrskenet		0
Nova Ecclesia	Nova Ecclesia	Nova Ecclesia	18
P.M. Sahlströms bokhandel	P.M. Sahlströms bokhandel	P.M. Sahlströms bokhandel	18
Pro ecclesia	Pro ecclesia	Pro ecclesia	18
[Pro ecclesia	Pro ecclesia		0
Richard	Richard	Richard	18
Richards	Richard	Richards	0
Skog	Skog	Skog	18
Stockholms-Tidn	Stockholms-Tidn	Stockholms-Tidn	18
[Stockholms-tidn	Stockholms-Tidn		0
[Stockholmstidn	Stockholms-Tidn		0
Stockholms-tidn	Stockholms-Tidn	Stockholms-tidn	0
Stockholmstidn	Stockholms-Tidn		0
Sture-tr	Sture-tr	Sture-tr	18
Sturetr	Sture-tr	Sturetr	0
Suomen kirja	Suomen kirja	Suomen kirja	18
Svenska folkförb	Svenska folkförb	Svenska folkförb	18
Svenska folkförb:	Svenska folkförb		0
Svenska folkförb:s	Svenska folkförb	Svenska folkförb:s	0
Svenska folkförb:s tr	Svenska folkförb		0
Svenska golfförb	Svenska folkförb		0
Svenska miss.-förb	Svenska miss.-förb	Svenska miss.-förb	18
Svenska miss.-förb:	Svenska miss.-förb		0
Svenska miss. förb	Svenska miss.-förb		0
Svenska simförb	Svenska miss.-förb	Svenska simförb	0
Svenska skidförb	Svenska miss.-förb		0
Wahlström & Låstbom	Wahlström & Låstbom	Wahlström & Låstbom	18
Wahlström & Låftbom	Wahlström & Låstbom		0
Wahlström & Lästbom	Wahlström & Låstbom		0
Västergötlands bok-a.-b	Västergötlands bok-a.-b	Västergötlands bok-a.-b	18
Västergötlands bok a.-b	Västergötlands bok-a.-b		0
Zetterström & Persson	Zetterström & Persson	Zetterström & Persson	18
Östergötlands Dagblad	Östergötlands Dagblad	Östergötlands Dagblad	18
[Folkskolestyrelse	[Folkskolestyrelse	[Folkskolestyrelse	17
[folkskolestyrelse	[Folkskolestyrelse		0
Folkskolestyrelse	[Folkskolestyrelse	Folkskolestyrelse	0
A.F. Bergh	A.F. Bergh	A.F. Bergh	17
Allers familj-journal	Allers familj-journal	Allers familj-journal	17
[Allers familj-journal	Allers familj-journal	[Allers familj-journal	0
Allers familje-journal	Allers familj-journal		0
Allers familjjournal	Allers familj-journal		0
Bröd. Olofsson	Bröd. Olofsson	Bröd. Olofsson	17
Bröd. Olofssons tr	Bröd. Olofsson	Bröd. Olofssons tr	0
Bröd. Olsson	Bröd. Olofsson	Bröd. Olsson	0
Bröd. Töpel	Bröd. Töpel	Bröd. Töpel	17
C.E. Fritze	C.E. Fritze	C.E. Fritze	17
Engelholms tidn:s	Engelholms tidn:s	Engelholms tidn:s	17
Engelholms tidn	Engelholms tidn:s	Engelholms tidn	0
Engelholms tidning	Engelholms tidn:s	Engelholms tidning	0
Engelholms tidnings	Engelholms tidn:s		0
Eslövs nya	Eslövs nya	Eslövs nya	17
Excelsior	Excelsior	Excelsior	17
F:s centralbyrå	F:s centralbyraa	F:s centralbyraa	17
[F:s centralbyrå	F:s centralbyraa		0
F:S centralbyrå	F:s centralbyraa		0
förening för bokhandtverk	förening för bokhandtverk	förening för bokhandtverk	17
förening för bokhandverk	förening för bokhandtverk		0
förening för bokhantverk	förening för bokhandtverk	förening för bokhantverk	0
förening för Bokhantverk	förening för bokhandtverk		0
Gustaf Lindström	Gustaf Lindström	Gustaf Lindström	17
[Gust. Lindström	Gustaf Lindström		0
Gust. Lindström	Gustaf Lindström	Gust. Lindström	0
Gutenberg	Gutenberg	Gutenberg	17
Gutenberg-	Gutenberg		0
H. Struve	H. Struve	H. Struve	17
Hagelstam	Hagelstam	Hagelstam	17
Hey'l	Hey'l	Hey'l	17
Kindberg	Kindberg	Kindberg	17
Kinberg	Kindberg	Kinberg	0
Kindbergs	Kindberg		0
L. Blom	L. Blom	L. Blom	17
L. Hökerberg	L. Hökerberg	L. Hökerberg	17
Lantbrukssällsk:s tidskr.-	Lantbrukssällsk:s tidskr.-	Lantbrukssällsk:s tidskr.-	17
Lantbrukssällsk:s tidskr	Lantbrukssällsk:s tidskr.-		0
Lantbrukssällsk:s tidskr.	Lantbrukssällsk:s tidskr.-		0
LT:	LT:	LT:	17
Medéns bokhandel	Medéns bokhandel	Medéns bokhandel	17
[Hedéns bokhandel	Medéns bokhandel		0
[Medéns bokhandel	Medéns bokhandel		0
Hedéns bokhandel	Medéns bokhandel		0
Nermans bokhandel	Nermans bokhandel	Nermans bokhandel	17
[Nermans bokhandel	Nermans bokhandel		0
Bergmans bokhandel	Nermans bokhandel	Bergmans bokhandel	0
Nymans bokhandel	Nermans bokhandel		0
Nya Wermlands-Tidn	Nya Wermlands-Tidn	Nya Wermlands-Tidn	17
Orbis	Orbis	Orbis	17
Puritas	Puritas	Puritas	17
'Puritas	Puritas		0
Purita	Puritas		0
Riksluftskyddsförb	Riksluftskyddsförb	Riksluftskyddsförb	17
Samf	Samf	Samf	17
Samfund til udgivelse af gammel nordisk litteratur	Samfund til udgivelse af gammel nordisk litteratur	Samfund til udgivelse af gammel nordisk litteratur	17
[Samfund til udgivelse af gammel nordisk litteratur	Samfund til udgivelse af gammel nordisk litteratur		0
Samfund til udgivelse af gammel nordisk literatur	Samfund til udgivelse af gammel nordisk litteratur		0
Samfund til Udgivelse af gammel nordisk Litteratur	Samfund til udgivelse af gammel nordisk litteratur		0
Scout	Scout	Scout	17
Seelig i distr	Seelig i distr	Seelig i distr	17
Spektrum	Spektrum	Spektrum	17
Statlanders	Statlanders	Statlanders	17
Statlander	Statlanders	Statlander	0
Stiftsrådet	Stiftsrådet	Stiftsrådet	17
[Stiftsrådet	Stiftsrådet		0
Stockholms högsk:s jurid. fören	Stockholms högsk:s jurid. fören	Stockholms högsk:s jurid. fören	17
Stockholms högsk. juridiska fören	Stockholms högsk:s jurid. fören		0
Stockholms högsk.:s juridiska fören	Stockholms högsk:s jurid. fören		0
Stockholms högsk:s juridiska fören	Stockholms högsk:s jurid. fören		0
Stockholms högsk:s juridiska fören:	Stockholms högsk:s jurid. fören	Stockholms högsk:s juridiska fören:	0
Stockholms högskolas jurid. fören	Stockholms högsk:s jurid. fören		0
Sundsvalls tidn	Sundsvalls tidn	Sundsvalls tidn	17
Sundsvalls tidn:s	Sundsvalls tidn	Sundsvalls tidn:s	0
Svenska hembygd	Svenska hembygd	Svenska hembygd	17
Svensk hembygd	Svenska hembygd	Svensk hembygd	0
Svenska kyrkans missionsstyrelse	Svenska kyrkans missionsstyrelse	Svenska kyrkans missionsstyrelse	17
Sveriges allm. lantbrukssällskap	Sveriges allm. lantbrukssällskap	Sveriges allm. lantbrukssällskap	17
Sveriges allm. landtbrukssällsk	Sveriges allm. lantbrukssällskap		0
Sveriges allm. landtbrukssällskap	Sveriges allm. lantbrukssällskap		0
Sveriges allm. landtbrukssällskap-a.-b	Sveriges allm. lantbrukssällskap		0
Sveriges allm. landtbrukssällskaps-a.-b	Sveriges allm. lantbrukssällskap		0
Sveriges allm. lantbrukssällsk	Sveriges allm. lantbrukssällskap		0
Sveriges allm. lantbrukssällsk:	Sveriges allm. lantbrukssällskap		0
Sveriges allm. lantbrukssällsk:-a.-b	Sveriges allm. lantbrukssällskap		0
Sveriges allm. lantbrukssällskap a.-b	Sveriges allm. lantbrukssällskap		0
Sveriges handtverksorganisation	Sveriges handtverksorganisation	Sveriges handtverksorganisation	17
Sveriges hantverksorganisation	Sveriges handtverksorganisation	Sveriges hantverksorganisation	0
Sveriges Kristliga studentrörelse	Sveriges Kristliga studentrörelse	Sveriges Kristliga studentrörelse	17
[förening (V. Trädgårdsg. 10	[förening (V. Trädgårdsg. 10	[förening (V. Trädgårdsg. 10	16
[Gillet	[Gillet	[Gillet	16
Gillet	[Gillet	Gillet	0
A.L. Normansexp	A.L. Normansexp	A.L. Normansexp	16
A.V. Carlsson	A.V. Carlsson	A.V. Carlsson	16
Aaröe	Aaröe	Aaröe	16
Aaroe	Aaröe		0
Adolf Bonnier	Adolf Bonnier	Adolf Bonnier	16
Balder	Balder	Balder	16
Björsell	Björsell	Björsell	16
Bohusläningen	Bohusläningen	Bohusläningen	16
[Bohusläningen	Bohusläningen		0
Bröd. Carlson	Bröd. Carlson	Bröd. Carlson	16
Bröd. Carlsson	Bröd. Carlson	Bröd. Carlsson	0
Caslon press	Caslon press	Caslon press	16
Credo	Credo	Credo	16
Ebeling & Co	Ebeling & Co	Ebeling & Co	16
Ebeling & Comp	Ebeling & Co		0
Ernst Bauer	Ernst Bauer	Ernst Bauer	16
Falköpings tidn	Falköpings tidn	Falköpings tidn	16
Falköpings tidn:s	Falköpings tidn	Falköpings tidn:s	0
Falköpings tidn:s tr	Falköpings tidn		0
Folkpartiet	Folkpartiet	Folkpartiet	16
G. Österberg	G. Österberg	G. Österberg	16
