Corporate_name	Count
Ulfviks aktiebolag	3
Segelsällskapet Viken (Uddevalla)	3
IFK Trelleborg	3
Tempel Riddare Orden	3
Tekniska nomenklaturcentralen TNC	3
Svenska metallindustriarbetareförbundet.	3
Södermanlands läns hushållningssällskap	3
Svenska akademien	3
Suomalainen tiedeakatemia	3
Stora Kopparbergs bergslag	3
Örlogsstationen (Stockholm)	3
Tekniska högskolans studentkår (Stockholm)	3
Sällskapet Idun (Stockholm)	3
Svenska tandläkaresällskapets bibliotek (Stockholm)	3
Idrottsklubben Sture (Stockholm)	3
S:t Nikolai församling (Stockholm)	3
Storkyrkan (Stockholm)	3
Skogsinstitutet	3
Sjukkassan Gilead (Stockholm)	3
Sällskapet Nya Idun (Stockholm)	3
Nya elementarskolan (Stockholm)	3
Mosaiska församlingen (Stockholm)	3
Kungsholmens församlingsbibliotek (Stockholm)	3
Stockholms kristliga ynglingaförening	3
K.F.U.M.	3
K.F.U.K.	3
Karlberg. Kungl. Krigsskolan (Stockholm)	3
Högre realläroverket å Norrmalm (Stockholm)	3
Högre latinläroverket å Norrmalm (Stockholm)	3
Stockholms gymnastikförening	3
Generalstabens bibliotek (Stockholm)	3
Förmyndarekammaren (Stockholm)	3
Föreningen för välgörenhetens ordnande (Stockholm)	3
Bromma folkbibliotek (Stockholm)	3
Bromma (Stockholm)	3
Bokbindare-ämbetet (Stockholm)	3
Societas pro fauna et flora Fennica	3
Societas pro fauna et flora fennica	3
Smålands artilleriregemente	3
Sveriges Pomologiska förening	3
The Swedish colonial society (Philadelphia)	3
Norrköpings segelsällskap	3
Svenska Missionsförbundet	3
Simklubben Ran (Malmö)	3
Föreningen Margaretaminnet (Malmö)	3
Malmö boll- och idrottsförening	3
Universitet. Medicinska fakulteten (Lund)	3
Universitetet. Filosofiska fakulteten (Lund)	3
Lunds gymnastik- och idrottsförening	3
ASEA	3
Skånska dragonregementet	3
Skånes missionssällskap	3
Sveriges Skogsägareförbund	3
Svenska kyrkans diakonistyrelse	3
Svenska Seglarförbundet	3
Sveriges Scoutförbund	3
Sandvikens jernverks aktiebolag	3
Röda korsets kvinnoförening	3
Utställning 1908. Leningrad.	3
Landskrona. Gymnastikföreningen 'Idrott'.	3
Sveriges Kyrkliga bildningsförbund	3
Svenska kommunaltekniska föreningen	3
K.F.U.M. Karlskrona.	3
Svenska handelshögskolan. Helsingfors.	3
Riksdagsbiblioteket (Finland)	3
Internationella Handelskammaren	3
Röhsska konstslöjdmuseet	3
Göteborgs konstmuseum.	3
Göteborgs konstförening.	3
Göteborgs idrottsförbund.	3
Göteborgs Högskola	3
Fredrika-Bremer-förbundet	3
Finlands hypoteksförening	3
Utställning 1938.	3
Ekenäs seminarium.	3
Skolbiblioteket.	3
Tempel Riddare Orden.	3
Landtbruksinstitut	3
Alingsås IF	3
Jemtlands läns kungl.hushållningssällskap	3
Svenska arbetsgivareföreningen	3
Aktiebolaget Primus	3
Svenska kyrkan (Paris)	3
Konstnärsgruppen Nio unga	3
Nationernas förbund	3
Nationalgodtemplarorden	3
Goodtemplarorden (Mariestad)	3
Malmö allmänna sjukhus	3
Smålands nation (Lunds universitet)	3
Sveriges geologiska undersökning	3
K.F.U.M. Linköping.	3
Högre allmänna läroverket.	3
Landskrona. Utställning 1913.	3
Köbenhavn. Utställning 1888.	3
Kävlinge socialdemokratiska ungdomsklubb.	3
Skånska lantmännens lokalförening.	3
Internationella Kooperativa alliansen	3
Sjömanskåren. Karlskrona.	3
Skeppsgossekåren	3
Högre allmänna läroverket. Karlskrona.	3
Internationaler Verband für wasserbauliches Versuchswesen.	3
K.F.U.M:s frivilligkår. Helsingborg.	3
Universitetsbiblioteket. Helsingfors.	3
Universitetet. Studentkåren. Helsingfors.	3
Svenska handelshögskolan i Helsingfors.	3
Nyländska avdelningen. Helsingfors.	3
Nya svenska läroverket. Helsingfors.	3
Helsingfors folkskolors lärare- och lärarinneförening.	3
Hangö samlyceum.	3
Utställning 1891. Göteborg.	3
Göteborg. Handelsinstitut.	3
Segelsällskapet Aeolus	3
Gävle. Utställning 1901.	3
Betaniaförsamlingen.	3
Universität Greifswald.	3
Sveriges Geologiska undersökning	3
Fässbergs sockenbibliotek.	3
Arbetarnas bildningsförbunds studiecirkelbibliotek.	3
Finska fornminnesföreningen	3
Finsk kvinnoförening	3
Finlands svenska ungdomsförbund	3
Finlands svenska kvinnoförbund	3
Svenska Fattigvårdsförbundet	3
Eksjö fabriks- och hantverksförening.	3
Svenska Bryggareföreningen	3
Botkyrka folkbibliotek.	3
Bodens fästning	3
Svenska Bankmannaföreningen	3
Avesta folkskolebibliotek.	3
Kungl. automobilklubben	3
Folkskoleseminariet	3
Jämtlands gille	3
Centralstyrelsen för Sveriges handtverks-och industriföreningar	3
Centrallaget för handelslagen i Finland	3
American Union of Swedish Singers.	3
Sveriges kommunistiska parti (1921-1967)	3
Mönsterås folkbibliotek	2
Kungl. Musikaliska akademien	2
Göteborgs kungl. segel sällskap	2
Gemensamma nordiska utskottet för ekonomiskt samarbete	2
1946 års skolkommission	2
Samfundet Pro fide et christianismo	2
Lagrådet	2
1933 års teaterutredning	2
Stocksunds folkbibliotek	2
Svenska Missionsförbundets ungdom	2
Bohusläns regementes officersbibliotek	2
École française d'Athènes	2
Karolinska institutet	2
Vaxholms kustartilleriregemente	2
Finnvedens konfirmationsförening	2
Föreningen Adertonhundraåttiotvå års män	2
Östra underofficersföreningen	2
Värmlands län.	2
Östberg & Lenhardtsons aktiebolag	2
Ösmo församlings lånbibliotek	2
Kungl. Örlogsmannasällskapet	2
Sveriges arbetsledareförbund.	2
Svenska metallindustriarbetareförbundets.	2
Svenska kommunalarbetareförbundet.	2
Svenska handelsarbetareförbundets.	2
Svenska byggnadsarbetareförbundets.	2
Karolinska högre allmänna läroverket (Örebro)	2
Goodtemplarorden (Örebro)	2
Örebro Betlehemsförsamlings juniorer	2
Ödeshögs idrottsklubb	2
Kungl. Älvsborgs regemente	2
Älvsborgs läns slöjdförening	2
Älfsborgs läns norra hushållningssällskap	2
Hugo & Hjalmar Åström A.-B.	2
Åmåls missionsförsamling	2
Svenska klassiska lyceets bibliotek (Åbo)	2
Svenska klassiska lyceum (Åbo)	2
Stads bibliotek (Åbo)	2
Skeppsbefälhavare-föreningen (Åbo)	2
Heurlinska skolan (Åbo)	2
Drätselkammaren (Åbo)	2
Åbo Akademi	2
Västra Sveriges blåbandsförbund	2
Västra Frölunda hyresgästförening	2
Västmanlands regemente	2
Goodtemplarorden (Västmanland)	2
Västerås stift	2
Goodtemplarorden (Västervik)	2
Västergötlands missionsförening	2
Goodtemplarorden (Västerby (Dalarna)	2
Västerbottens läns sångarförbund	2
Västerbottens läns arbetsstugor	2
Värmländska sångarförbundet (Värmland)	2
