"","catalog","author","title","town","from","till","publisher"
"52","fennica","Johansson, A W","Studier över Ålands klimat med särskild hänsyn till temperaturen","Helsinki",1917,1917,"Hagelberg"
"53","fennica","Johansson, A W","Studier över Ålands klimat med särskild hänsyn till temperaturen","Helsinki",1917,1917,"SONR"
"54","kungliga","Johansson, A W","Studier över Ålands klimat med särskild hänsyn till temperaturen","Helsingsissä",1917,1917,""
"55","fennica","Enckell, Karl","Pääoma ja työ suomalaisessa maataloudessa","Hull",1908,1908,"s.n"
"56","fennica","Enckell, Karl","Om arbetsintensiteten å Mustiala eg ... ms åker-cirkulationer åren 1899-1906","Helsinki",1908,1908,""
"57","fennica","Enckell, Karl","Om arbetsintensiteten å Mustiala eg ... ms åker-cirkulationer åren 1899-1906","Helsinki",1908,1908,"Otto Wigand"
"58","kungliga","Enckell, Karl","Om arbetsintensiteten å Mustiala eg ... ms åker-cirkulationer åren 1899-1906","Helsingsissä",1908,1908,"Blacqvood & Sons"
"59","fennica","Topelius, Zacharias","Børnenes Bog","Königsberg",1907,1907,"Suomen månviljelystaloudellinen koelaitos"
"60","fennica","Topelius, Zacharias","Feltlægens Historier","Königsberg",1907,1907,"Suomen månviljelystaloudellinen koelaitos"
"61","fennica","Topelius, Zacharias","Läsebok för de lägsta läroverken i Finland","Helsinki",1907,1907,"Holm"
"62","fennica","Topelius, Zacharias","Läsebok för de lägsta läroverken i Finland","Helsinki",1907,1907,""
"63","fennica","Topelius, Zacharias","Sagor och berättelser i urval","Helsinki",1907,1907,""
"64","fennica","Topelius, Zacharias","Samlade skrifter","Helsinki",1907,1907,""
"65","fennica","Topelius, Zacharias","Sögur Herlaeknisins","Pietarsaari",1907,1907,"Sortavalan evank. seura"
"66","fennica","Topelius, Zacharias","Lukemisia lapsille","Stockholm",1907,1907,""
"67","fennica","Topelius, Zacharias","Pikku satukirja","Stockholm",1907,1907,""
"68","fennica","Topelius, Zacharias","Satuja ja runoja","Stockholm",1907,1907,""
"69","kungliga","Topelius, Zacharias","Razskazy fe'ldšera","Seattle WA",1907,1907,""
"70","kungliga","Topelius, Zacharias","Sögur herlæknisins","Ronneby tr malmö",1907,1907,""
"71","fennica","D'annunzio, Gabriele","Elden","Helsinki",1901,1901,"s.n"
"72","fennica","D'annunzio, Gabriele","Elden","Helsinki",1901,1901,""
"73","kungliga","D'annunzio, Gabriele","Elden","Stockholm falun uppsala",1901,1901,"Norstedt"
"74","fennica","Oker-blom, Max","Lääkärintoimi ja sen etiikka","Hull",1911,1911,"Otava"
"75","fennica","Oker-blom, Max","Terveys ja raittius","Hull",1911,1911,"Otava"
"76","fennica","Oker-blom, Max","Tuberkuloosi","Hull",1911,1911,"Otava"
"77","fennica","Oker-blom, Max","Anleitung zur sexuellen Aufklärung und Erziehung",NA,1911,1911,"Finska Bryggeriförening"
"78","fennica","Oker-blom, Max","Hälsolärans grunddrag","Helsinki",1911,1911,""
"79","fennica","Oker-blom, Max","Läkareyrket och dess etik","Helsinki",1911,1911,""
"80","fennica","Oker-blom, Max","Tuberkulosen","Helsinki",1911,1911,"Finska Missionssällskap"
"81","fennica","Oker-blom, Max","Tuberkulosen","Helsinki",1911,1911,"Veckans Krönikas redaktion"
"82","kungliga","Oker-blom, Max","Hälsolärans grunddrag, för hemmets och skolans behov framställda","Helsingsissä",1911,1911,""
"83","kungliga","Oker-blom, Max","Läkareyrket och dess etik","Helsingsissä",1911,1911,""
"84","kungliga","Oker-blom, Max","Tuberkulosen","Helsingsissä",1911,1911,""
"85","fennica","Shakespeare, William","Draamoja","Hull",1916,1916,"Karisto"
"86","fennica","Shakespeare, William","Draamoja","Hull",1916,1916,"J. Gummerus"
"87","kungliga","Shakespeare, William","The merchant of Venice","Stockholm falun uppsala",1916,1916,"kungliga"
"88","fennica","Nyström, Maria","Dramatiska stycken","Leipzig",1903,1903,"Kustannusliike Aura"
"89","fennica","Nyström, Maria","Dramatiska stycken","Leipzig",1903,1903,""
"90","kungliga","Nyström, Maria","Dramatiska stycken","Københaven",1903,1903,""
"91","fennica","Topelius, Zacharias","Sägner i dimman","Helsinki",1902,1902,"sällskap för Finlands geografi"
"92","fennica","Topelius, Zacharias","Läsning för barn","Helsinki",1902,1902,"Suomalaisen puolueen kanslia"
"93","fennica","Topelius, Zacharias","Noveller","Helsinki",1902,1902,""
"94","fennica","Topelius, Zacharias","Sägner i dimman","Helsinki",1902,1902,""
"95","fennica","Topelius, Zacharias","Lehtisiä mietekirjastani","Stockholm",1902,1902,""
"96","fennica","Topelius, Zacharias","Satuja","Hull",1902,1902,""
"97","fennica","Topelius, Zacharias","Valikoima Topeliuksen satuja Suomen lapsille","Leipzig",1902,1902,""
"98","kungliga","Topelius, Zacharias","Raska gossar","ölme",1902,1902,""
"99","kungliga","Topelius, Zacharias","Topelii sagor","Helsingsissä",1902,1902,""
"100","kungliga","Topelius, Zacharias","Translations from the Swedish of Za ... charias Topelius, and a brief scetch","Oslo",1902,1902,""
"101","fennica","Wilde, Oscar","Lord Arthur Savile's brott","Helsinki",1905,1905,"sällskap för Finlands geografi"
"102","fennica","Wilde, Oscar","Lord Arthur Savile's brott","Helsinki",1905,1905,"K.E. Holm"
"103","kungliga","Wilde, Oscar","De profundis","Stockholm falun uppsala",1905,1905,""
"104","kungliga","Wilde, Oscar","Lord Arthur Saviles brott","Helsingsissä",1905,1905,""
"105","kungliga","Wilde, Oscar","Dorian Grays porträtt","Stockholm falun uppsala",1905,1905,"Norstedt"
"106","fennica","Boldt, Georg","Protestantismens ide´ och Immanuel Kant","Helsinki",1900,1900,"Yrjö Weilin"
"107","fennica","Boldt, Georg","Protestantismens ide´ och Immanuel Kant","Helsinki",1900,1900,"Uusi kp"
"108","kungliga","Boldt, Georg","Protestantismens idé och Immanuel Kant","Helsingsissä",1900,1900,""
"109","fennica","Ramsay, Wilhelm","Till frågan om det senglaciala hafvets utbredning i södra Finland","Helsinki",1896,1896,"Hagelberg"
"110","fennica","Ramsay, Wilhelm","Till frågan om det senglaciala hafvets utbredning i södra Finland","Helsinki",1896,1896,""
"111","fennica","Ramsay, Wilhelm","Finlands geologiska utveckling från istiderna intill våra dagar","Helsinki",1896,1896,"Finska Missionssällskap"
"112","kungliga","Ramsay, Wilhelm","Finlands geologiska utveckling från istiderna intill våra dagar","Helsingsissä",1896,1896,""
"113","kungliga","Ramsay, Wilhelm","Till frågan om det senglaciala hafv ... bredning i södra Finland ... Resumé.","Helsingsissä",1896,1896,""
"114","fennica","Helenius-seppälä, Matti","Alkoholförbudet i Ryssland och Finland","Suomussalmi",1915,1915,"Työnjuhlatoimikunta"
"115","fennica","Helenius-seppälä, Matti","Alkoholförbudet i Ryssland och Finland","Suomussalmi",1915,1915,"Elämä osuuskunta"
"116","fennica","Helenius-seppälä, Matti","Alkohollära","Helsinki",1915,1915,"Hagelstam"
"117","kungliga","Helenius-seppälä, Matti","Alkoholförbudet i Ryssland och Finland","Stockholm falun uppsala",1915,1915,"Nya"
"118","fennica","Karlsson, Gustaf Calixtus","Några synpunkter att beakta vid ord ... t af kyrkans undervisande verksamhet","New York NY",1900,1900,"s.n"
"119","fennica","Karlsson, Gustaf Calixtus","Några synpunkter att beakta vid ord ... t af kyrkans undervisande verksamhet","New York NY",1900,1900,"Yrjö Weilin"
"120","kungliga","Karlsson, Gustaf Calixtus","Några synpunkter att beakta vid ord ... t af kyrkans undervisande verksamhet","Mexiko",1900,1900,""
"121","fennica","Runeberg, Johan Ludvig","Elgskyttarne","Helsinki",1900,1900,""
