family_name	first_name	other_name	Count
NA	NA	NA	105462
Lagerlöf	Selma	NA	1157
Strindberg	August	NA	963
Flygare-Carlén	Emilie	NA	690
Runeberg	Johan Ludvig	NA	344
Swedenborg	Emanuel	NA	339
Åberg	Jon Olof	NA	332
Hedin	Sven	NA	320
Luther	Martin	NA	285
Bremer	Fredrika	NA	282
Schwartz	Marie Sophie	NA	280
Heidenstam	Verner von	NA	265
Topelius	Zacharias	NA	258
Rydberg	Viktor	NA	251
NA	NA	Gustav	235
Moberg	Vilhelm	NA	229
Engström	Albert	NA	225
Almqvist	Carl Jonas Love	NA	221
Bellman	Carl Michael	NA	221
Stark	Sigge	NA	220
Geijerstam	Gustaf af	NA	217
NA	NA	Karl	216
Blanche	August	NA	211
Fant	Eric Michael	NA	204
London	Jack	NA	202
Hedenstierna	Alfred	NA	200
Beskow	Elisabeth	NA	199
NA	NA	Voltaire	196
Strömberg	Leonard	NA	193
Lagerkvist	Pär	NA	188
Heller	Frank	NA	187
Stiernstedt	Marika	NA	184
Bergman	Hjalmar	NA	172
Ossiannilsson	K. G	NA	172
Hasse	Nils	NA	170
Lafontaine	August Heinrich Julius	NA	165
Key	Ellen	NA	160
Scott	Walter	NA	159
Wahlenberg	Anna	NA	155
Lagerbring	Sven	NA	154
Siwertz	Sigfrid	NA	152
Thomasson	Pehr	NA	150
Söderblom	Nathan	NA	149
Linné	Carl von	NA	148
Boldt	Alexander	NA	145
Falk	Georg	NA	142
Oterdahl	Jeanna	NA	141
Tegnér	Esaias	NA	139
Sandberg	Algot	NA	139
Hansson	Nils	NA	138
Ulrich	Arvid	NA	138
Kuylenstierna-Wenster	Elisabeth	NA	137
Lindman	Arvid	NA	137
Waldenström	Paul Peter	NA	135
Geijer	Erik Gustaf	NA	133
Kalm	Pehr	NA	133
Hansson	Ola	NA	131
Böök	Fredrik	NA	130
Lindgren	Astrid	NA	128
Hallström	Per	NA	127
Saxon	Johan Lindström	NA	127
Berzelius	Jacob	NA	127
Mellin	Gustaf Henrik	NA	125
Nordström	Ludvig	NA	124
Wetterbergh	Carl Anton	NA	124
Wallin	Johan Olof	NA	124
Eklund	J. A	NA	122
Beskow	Elsa	NA	122
Dalin	Olof von	NA	122
Zetterström	Hasse	NA	122
Påhlman	Axel	NA	122
Santesson	Carl Gustaf	NA	122
Svebilius	Olof	NA	120
Starbäck	Carl Georg	NA	118
Franzén	Frans Michael	NA	118
Beskow	Natanael	NA	118
Beskow	Bernhard von	NA	117
Goethe	Johann Wolfgang von	NA	117
Johnsson	Pehr	NA	117
Elvestad	Sven	NA	116
Cicero	Marcus Tullius	NA	114
Arrhenius	Svante	NA	114
Fröding	Gustaf	NA	113
Bergman	Torbern	NA	113
Collijn	Isak	NA	113
Gadd	Pehr Adrian	NA	113
Schück	Henrik	NA	110
Johnsson	Harald	NA	109
Heckscher	Eli F	NA	109
Bergman	Johan	NA	108
Cassel	Gustav	NA	108
Wägner	Elin	NA	107
Dumas	Alexandre	NA	106
Levertin	Oscar	NA	106
Lundegård	Axel	NA	106
Schiller	Friedrich von	NA	105
Andersen	H. C	NA	105
Nathorst	Alfred Gabriel	NA	105
Celsius	Olof	NA	105
Hasselrot	Berndt	NA	105
Feilitzen	Carl Axel Hjalmar von	NA	105
Eriksson	Jakob	NA	104
Gjörwell	Carl Christoffer	NA	104
Petrén	Karl	NA	104
Palmblad	Vilhelm Fredrik	NA	103
Lo-Johansson	Ivar	NA	103
Blomberg	Harry	NA	101
Doyle	Arthur Conan	NA	101
Courths-Mahler	Hedwig	NA	101
Crusenstolpe	Magnus Jacob	NA	100
Janson	Gustaf	NA	100
Sahlstedt	Abraham	NA	99
Kerfve	Axel	NA	98
Berg	Bengt	NA	98
Rudin	Waldemar	NA	96
Johnson	Eyvind	NA	96
Cederborg	Carl August	NA	96
Malling	Mathilda	NA	95
Stålberg	Wilhelmina	NA	95
Roos	Mathilda	NA	94
NA	NA	Oskar	94
Söderberg	Hjalmar	NA	94
Bolinder	Gustaf	NA	94
Benedictsson	Victoria	NA	94
Verne	Jules	NA	93
Frich	Øvre Richter	NA	93
Holmgren	Israel	NA	92
Wrangel	Ewert	NA	92
Romdahl	Axel L	NA	91
Nerman	Ture	NA	91
Krusenstjerna	Agnes von	NA	91
Rhyzelius	Andreas Olavi	NA	91
Nathorst	Hjalmar	NA	91
Larsson	Hans	NA	90
Ahlberg	Alf	NA	90
Dickens	Charles	NA	90
Nyström	Anton	NA	89
Grimberg	Carl	NA	89
NA	NA	Wilhelm	88
Hedberg	Tor	NA	88
Grevesmöhlen	Carl August	NA	88
Stolpe	Sven	NA	87
Lidman	Sven	NA	87
Wingborg	Frans August	NA	87
Dahl	Gustaf	NA	87
Stolpe	Herman	NA	86
Lindwall	Gustaf	NA	86
Montelius	[Gustaf] Oscar [Augustin]	NA	86
Norlander	Emil	NA	86
Marryat	Frederick	NA	85
Wallace	Edgar	NA	85
Tolstoj	Lev	NA	84
Kipling	Rudyard	NA	84
Nerman	Gustaf	NA	84
Schröder	Johan Henrik	NA	84
Steiner	Rudolf	NA	84
Lönnberg	[Axel Johan] Einar	NA	84
Karlsson	Karl	NA	84
Rosenius	Carl Olof	NA	83
