publication_place	Count
tidaholm	48
Maarianhamina	48
Odense	48
zagreb	48
Antwerpen	48
Vammala	48
sköllersta	48
sverige	47
säffle	47
nürnberg	47
Lisbon	46
strömstad	46
lundæ berlingianis	46
nynäshamn	46
köln	45
HÃ¤meenlinna	45
sunne	45
urbana	45
lincopiæ	44
östhammar	44
skurup	44
Marburg	43
ljungby	43
kristdala	42
höganäs	42
orsa	42
leksand	41
hjo	41
hörby	41
säter	41
Bremen	41
kraków	41
ängelholm	41
battle creek mich	41
Lausanne	40
Gotha	40
college view neb	40
Weimar	39
vestervik	39
hvetlanda	39
simrishamn	39
kungsgården	38
peking	37
hangö	37
mölndal	37
upsaliæ wernerianis	36
torino	36
jönköp	35
Worcester MA	35
Venice	35
StrÃ¤ngnÃ¤s	34
gütersloh	34
hardemo	34
Pori	33
malung	33
potsdam	33
drammen	33
lundæ litteris berlingianis	32
borgholm	32
eslöf	32
Naples	32
björneborg	32
Oulu	32
Lyon	32
strengnesiæ	32
åbo johan christopher frenckell	31
insjön	31
örebro n m lindh	31
kiøbenhavn	30
flen	30
mjölby	30
limhamn	30
karlsborg	30
Cambridge MA	30
djursholm	29
wadstena	29
ronneby	29
vara	29
sigtuna	29
mellerud	29
New Haven MA	29
st paul minn	29
moheda	29
huddinge	28
bromma	28
st pétersbourg	28
upsaliæ apud joh edman reg acad typogr	28
ousby	28
Kokkola	28
grästorp	28
wästerås	28
Seattle WA	28
Trondheim	28
Loviisa	28
prag	27
norrköp	27
alnarp	27
lwów	27
solna	27
höör	27
Forssa	27
grängesberg	27
enskede	26
tomelilla	26
oscarshamn	26
Gdansk	26
Mikkeli	26
uleåborg	26
hafniæ	25
groningen	25
båstad	25
königsberg	25
istanbul	25
Sortavala	25
fredrikshald	25
beograd	25
Freiburg im Breisgau	24
warberg	24
karlberg	24
kiruna	24
tandsbyn	24
helsingforsiæ	24
moline ill	24
bishop hill ill	24
habo	23
Bielefeld	23
norberg	23
Reykjavik	23
vexjö	23
åtvidaberg	23
bryn athyn pa	23
gäfle	23
mainz	23
grimma	23
markaryd	23
surahammar	23
bordeaux	23
åhr	22
götheborg sam norberg	22
upsaliæ litteris viduæ joh edman	22
stavanger	22
sjöbo	22
shanghai	22
Magdeburg	22
mariefred norrköping	22
åbo directeuren kongl boktr i stor förstendömet finland jacob merckell	21
Kotka	21
ekesjö	21
Akureyri	21
gryphiswaldiæ	21
aboæ typogr reg magn duc finland jacob merckell	21
