"","catalog","author","title","town","from","till","publisher"
"56","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1900,1900,"Suomalainen Tiedeakatemia"
"57","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1900,1900,"Finska Kyrkohistoriska Samfundet"
"58","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1900,1900,"s.n"
"59","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsinki",1900,1900,"Kloström"
"60","kungliga","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsinki turku",1900,1900,"Lindqvist"
"61","fennica","Runeberg, Johan Ludvig","Johan Ludvig Runebergs samlade skrifter",NA,1858,1858,"Työväen sanomalehti-o.y"
"62","fennica","Runeberg, Johan Ludvig","Johan Ludvig Runebergs samlade skrifter",NA,1858,1858,"s.n"
"63","kungliga","Runeberg, Johan Ludvig","Johan Ludvig Runebergs samlade skrifter",NA,1858,1858,"Lindstedts universitetsbokhandel"
"64","fennica","Lagerborg, Rolf","Finland i utländsk historisk literatur","Helsinki",1897,1897,"Clouberg"
"65","fennica","Lagerborg, Rolf","Finland i utländsk historisk literatur","Helsinki",1897,1897,""
"66","kungliga","Lagerborg, Rolf","Finland i utländsk historisk literatur","Helsingsissä",1897,1897,""
"67","fennica","Wichmann, Yrjö","Die tschuwassischen Lehnwörter in den permischen Sprachen","Helsinki",1903,1903,""
"68","fennica","Wichmann, Yrjö","Die tschuwassischen Lehnwörter in den permischen Sprachen","Helsinki",1903,1903,"Finska litteratursällskap"
"69","kungliga","Wichmann, Yrjö","Die tschuwassischen Lehnwörter in den permischen Sprachen","Helsingsissä",1903,1903,""
"70","fennica","Gottlund, Carl Axel","Runola","Hull",1840,1840,"Simelius"
"71","fennica","Gottlund, Carl Axel","Runola","Hull",1840,1840,"Tekijä"
"72","kungliga","Gottlund, Carl Axel","Runola","Helsingsissä",1840,1840,""
"73","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1891,1891,"Suomalainen Tiedeakatemia"
"74","kungliga","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Oslo",1891,1891,"L. Blom"
"75","kungliga","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Oslo",1891,1891,"The Continental book co"
