"","publication_place","country","count","longitude","latitude","identity"
"507","Sköllersta","Sweden",50,"15.3333","59.15","<http://vocab.getty.edu/tgn/1063588>"
"508","Skövde","Sweden",410,"13.8667","58.4","<http://vocab.getty.edu/tgn/1063589>"
"509","Sollefteå","Sweden",208,"17.25","63.15","<http://vocab.getty.edu/tgn/1063626>"
"510","Solna","Sweden",28,"17.9833","59.3667","<http://vocab.getty.edu/tgn/7009860>"
"511","Stockholm","Sweden",201938,"18.0833","59.3333","<http://vocab.getty.edu/tgn/7009861>"
"513","Storvik","Sweden",16,"16.5","60.6167","<http://vocab.getty.edu/tgn/1063668>"
"514","Strängnäs","Sweden",1401,"17.0333","59.3833","<http://vocab.getty.edu/tgn/7009862>"
"515","Strömstad","Sweden",46,"11.1833","58.9333","<http://vocab.getty.edu/tgn/1063676>"
"516","Sundbyberg","Sweden",83,"17.9667","59.3667","<http://vocab.getty.edu/tgn/1063685>"
"517","Sundsvall","Sweden",764,"17.3333","62.3667","<http://vocab.getty.edu/tgn/1063688>"
"518","Sunne","Sweden",45,"13.0833","59.8667","<http://vocab.getty.edu/tgn/1063690>"
"519","Surahammar","Sweden",23,"16.2167","59.7167","<http://vocab.getty.edu/tgn/1063693>"
"520","Svalöv","Sweden",16,"13.1","55.9167","<http://vocab.getty.edu/tgn/1063698>"
"521","Svedala","Sweden",62,"13.25","55.5","<http://vocab.getty.edu/tgn/1063704>"
"522","Säffle","Sweden",50,"12.9167","59.1333","<http://vocab.getty.edu/tgn/1063532>"
"523","Säter","Sweden",41,"15.75","60.35","<http://vocab.getty.edu/tgn/1063535>"
"524","Sävsjö","Sweden",11,"14.6667","57.4167","<http://vocab.getty.edu/tgn/1063538>"
"525","Söderhamn","Sweden",237,"17.1667","61.3167","<http://vocab.getty.edu/tgn/1063542>"
"526","Söderköping","Sweden",85,"16.3333","58.4667","<http://vocab.getty.edu/tgn/1063543>"
"529","Sölvesborg","Sweden",147,"14.5833","56.0667","<http://vocab.getty.edu/tgn/1063549>"
"531","Tidaholm","Sweden",50,"13.9167","58.2","<http://vocab.getty.edu/tgn/1063730>"
"532","Tierp","Sweden",118,"17.5","60.3333","<http://vocab.getty.edu/tgn/1063731>"
"533","Tingsryd","Sweden",14,"15","56.5167","<http://vocab.getty.edu/tgn/1063734>"
"534","Tomelilla","Sweden",26,"14","55.55","<http://vocab.getty.edu/tgn/1063740>"
"536","Torsby","Sweden",19,"13","60.1167","<http://vocab.getty.edu/tgn/1063747>"
"537","Torshälla","Sweden",14,"16.4667","59.4167","<http://vocab.getty.edu/tgn/1063748>"
