"","publication_place","country","count","longitude","latitude","identity"
"636","New London Ct","USA",1,"-72.1","41.35","<http://vocab.getty.edu/tgn/7014213>"
"638","Newark NJ","USA",2,"-74.1667","40.7333","<http://vocab.getty.edu/tgn/7014218>"
"639","Norwich Ct","USA",1,"-72.0667","41.5167","<http://vocab.getty.edu/tgn/7014246>"
"640","Philadelphia Pa","USA",181,"-75.15","39.95","<http://vocab.getty.edu/tgn/7014406>"
"641","Pittsburgh Pa","USA",2,"-79.9833","40.4333","<http://vocab.getty.edu/tgn/7013927>"
"642","Portland Me","USA",5,"-70.25","43.65","<http://vocab.getty.edu/tgn/7014272>"
"643","Portland Or","USA",7,"-122.6667","45.5167","<http://vocab.getty.edu/tgn/7014273>"
"644","Poughkeepsie NY","USA",2,"-73.9167","41.7","<http://vocab.getty.edu/tgn/7014282>"
"645","Princeton NJ","USA",36,"-74.6667","40.3667","<http://vocab.getty.edu/tgn/7016190>"
"646","Providence RI","USA",5,"-71.4","41.8167","<http://vocab.getty.edu/tgn/7013952>"
"647","Quincy Ma","USA",1,"-71","42.25","<http://vocab.getty.edu/tgn/7014307>"
"648","Richmond Va","USA",2,"-77.45","37.55","<http://vocab.getty.edu/tgn/7013964>"
"649","Rock Island IL","USA",543,"-90.5667","41.5","<http://vocab.getty.edu/tgn/7014353>"
"651","Savannah Ga","USA",2,"-81.1","32.0833","<http://vocab.getty.edu/tgn/7014487>"
"652","Seattle WA","USA",29,"-122.3167","47.6","<http://vocab.getty.edu/tgn/7014494>"
"653","Springfield Ma","USA",9,"-72.5833","42.1","<http://vocab.getty.edu/tgn/7014531>"
"654","Superior Wi","USA",1,"-92.1","46.7167","<http://vocab.getty.edu/tgn/7014722>"
"655","Troy NY","USA",1,"-73.6833","42.7167","<http://vocab.getty.edu/tgn/7014660>"
"657","Waltham Ma","USA",2,"-71.2333","42.3667","<http://vocab.getty.edu/tgn/7014579>"
"659","Wilmington De","USA",9,"-75.5333","39.7333","<http://vocab.getty.edu/tgn/7014632>"
"660","Worcester Ma","USA",35,"-71.8","42.25","<http://vocab.getty.edu/tgn/7014647>"
"661","York Pa","USA",1,"-76.7167","39.95","<http://vocab.getty.edu/tgn/7014650>"
"28","Bath","England",1,"-2.365556","51.379444","<http://vocab.getty.edu/tgn/7011197>"
"29","Bedford","England",1,"-0.45","52.133333","<http://vocab.getty.edu/tgn/7011907>"
"30","Birmingham","England",2,"-1.916667","52.466667","<http://vocab.getty.edu/tgn/7010955>"
"31","Bolton","England",1,"-2.433333","53.583333","<http://vocab.getty.edu/tgn/7010534>"
"32","Bradford","England",1,"-1.75","53.783333","<http://vocab.getty.edu/tgn/7010443>"
"33","Bristol","England",3,"-2.583333","51.45","<http://vocab.getty.edu/tgn/7011198>"
"35","Cambridge","England",67,"0.116667","52.2","<http://vocab.getty.edu/tgn/7010874>"
"36","Chichester","England",1,"-0.783333","50.833333","<http://vocab.getty.edu/tgn/7453985>"
"37","Coventry","England",3,"-1.55","52.416667","<http://vocab.getty.edu/tgn/7011012>"
"38","Durham","England",9,"-1.566667","54.766667","<http://vocab.getty.edu/tgn/7010027>"
"39","Exeter","England",1,"-3.533333","50.7","<http://vocab.getty.edu/tgn/7011953>"
"40","Gloucester","England",2,"-2.25","51.833333","<http://vocab.getty.edu/tgn/7011128>"
"41","Halifax","England",2,"-1.85","53.716667","<http://vocab.getty.edu/tgn/7010460>"
"42","Hastings","England",1,"0.6","50.85","<http://vocab.getty.edu/tgn/7011443>"
"43","Hertford","England",1,"-0.066667","51.8","<http://vocab.getty.edu/tgn/7011876>"
"44","Hull","England",1,"-0.333333","53.716667","<http://vocab.getty.edu/tgn/7010370>"
"45","Huntingdon","England",1,"-0.183333","52.333333","<http://vocab.getty.edu/tgn/7010890>"
"47","Leeds","England",3,"-1.583333","53.8","<http://vocab.getty.edu/tgn/7010442>"
"48","Letchworth","England",1,"-0.216667","51.966667","<http://vocab.getty.edu/tgn/7011887>"
"49","Lincoln","England",5,"-0.533333","53.233333","<http://vocab.getty.edu/tgn/7010723>"
"50","Liverpool","England",5,"-3","53.416667","<http://vocab.getty.edu/tgn/7010597>"
"51","London","England",2354,"-0.093145","51.514248","<http://vocab.getty.edu/tgn/7011781>"
"52","Manchester","England",17,"-2.216667","53.5","<http://vocab.getty.edu/tgn/7010477>"
"53","Margate","England",1,"1.416667","51.383333","<http://vocab.getty.edu/tgn/7011535>"
"55","Morpeth","England",1,"-1.683333","55.166667","<http://vocab.getty.edu/tgn/1030090>"
"56","Newark","England",1,"-0.816667","53.066667","<http://vocab.getty.edu/tgn/7010708>"
"57","Newcastle","England",1,"-1.619444","54.988056","<http://vocab.getty.edu/tgn/7012026>"
"58","Norwich","England",2,"1.3","52.633333","<http://vocab.getty.edu/tgn/7012005>"
"59","Nottingham","England",1,"-1.166667","52.966667","<http://vocab.getty.edu/tgn/7012006>"
"60","Oxford","England",60,"-1.25","51.75","<http://vocab.getty.edu/tgn/7011931>"
"61","Plymouth","England",1,"-4.138611","50.396389","<http://vocab.getty.edu/tgn/7011301>"
"62","Richmond","England",3,"-1.733333","54.4","<http://vocab.getty.edu/tgn/7012405>"
"63","Rochdale","England",1,"-2.15","53.616667","<http://vocab.getty.edu/tgn/7010541>"
"64","Rochester","England",3,"0.516667","51.383333","<http://vocab.getty.edu/tgn/7011707>"
"65","Stamford","England",2,"-0.483333","52.65","<http://vocab.getty.edu/tgn/7010743>"
"66","Stanford","England",3,"-2.433333","52.283333","<http://vocab.getty.edu/tgn/7447966>"
"67","Stoke-on-Trent","England",1,"-2.183333","53","<http://vocab.getty.edu/tgn/7011049>"
"68","Stratford-upon-Avon","England",1,"-1.7","52.183333","<http://vocab.getty.edu/tgn/7010956>"
"69","Ulverston","England",1,"-3.1","54.2","<http://vocab.getty.edu/tgn/1030946>"
"70","Wakefield","England",1,"-1.483333","53.7","<http://vocab.getty.edu/tgn/7010464>"
"71","Warrington","England",1,"-2.6","53.383333","<http://vocab.getty.edu/tgn/7012905>"
"72","Watford","England",1,"-0.4","51.666667","<http://vocab.getty.edu/tgn/7011877>"
"73","Worcester","England",1,"-2.2","52.2","<http://vocab.getty.edu/tgn/7015155>"
"74","Yarmouth","England",1,"-1.5","50.7","<http://vocab.getty.edu/tgn/1031247>"
"75","York","England",6,"-1.083333","53.966667","<http://vocab.getty.edu/tgn/7011995>"
"54","Monmouth","England",2,"-2.716667","51.816667","<http://vocab.getty.edu/tgn/7008511>"
"34","Caerdydd","England",2,"-3.2","51.5","<http://vocab.getty.edu/tgn/7008742>"
"276","Ancona","Italy",1,"13.5","43.633333","<http://vocab.getty.edu/tgn/7003980>"
"277","Bologna","Italy",20,"11.351","44.507","<http://vocab.getty.edu/tgn/7004847>"
"281","Livorno","Italy",1,"10.316667","43.55","<http://vocab.getty.edu/tgn/7006074>"
"282","Lucca","Italy",3,"13.3","37.583333","<http://vocab.getty.edu/tgn/1045144>"
"283","Messina","Italy",3,"15.566667","38.183333","<http://vocab.getty.edu/tgn/7003897>"
"287","Palermo","Italy",10,"13.366667","38.116667","<http://vocab.getty.edu/tgn/7003928>"
"288","Parma","Italy",3,"10.333333","44.8","<http://vocab.getty.edu/tgn/7004942>"
"291","Pistoia","Italy",1,"10.9","43.916667","<http://vocab.getty.edu/tgn/7005060>"
"294","Tivoli","Italy",1,"7.166667","44.683333","<http://vocab.getty.edu/tgn/7038479>"
"295","Torino","Italy",36,"7.666667","45.05","<http://vocab.getty.edu/tgn/7005688>"
"296","Trieste","Italy",2,"13.78","45.648611","<http://vocab.getty.edu/tgn/7005539>"
"298","Verona","Italy",10,"11","45.45","<http://vocab.getty.edu/tgn/7003262>"
"279","Florence","Italy",21,"11.25","43.766667","<http://vocab.getty.edu/tgn/7000457>"
"280","Genoa","Italy",23,"8.95","44.416667","<http://vocab.getty.edu/tgn/7008546>"
"284","Milan","Italy",166,"9.2","45.466667","<http://vocab.getty.edu/tgn/7005903>"
"285","Naples","Italy",32,"14.25","40.833333","<http://vocab.getty.edu/tgn/7004474>"
"286","Padua","Italy",12,"11.883333","45.416667","<http://vocab.getty.edu/tgn/7003085>"
"289","Perugia","Italy",2,"12.366667","43.133333","<http://vocab.getty.edu/tgn/7000526>"
"290","Pisa","Italy",12,"10.383333","43.716667","<http://vocab.getty.edu/tgn/7006082>"
"292","Rome","Italy",221,"12.483333","41.9","<http://vocab.getty.edu/tgn/7000874>"
"293","Siena","Italy",1,"11.33","43.318","<http://vocab.getty.edu/tgn/7011179>"
"297","Venice","Italy",47,"12.326667","45.438611","<http://vocab.getty.edu/tgn/7018159>"
"151","Calais","France",1,"1.85899","50.951241","<http://vocab.getty.edu/tgn/7009002>"
"156","Lille","France",10,"3.058585","50.632971","<http://vocab.getty.edu/tgn/7008461>"
"160","Marseille","France",1,"5.37606","43.285413","<http://vocab.getty.edu/tgn/7008781>"
"167","Paris","France",2311,"2.333333","48.866667","<http://vocab.getty.edu/tgn/7008038>"
"171","Strasbourg","France",97,"7.787355","48.600381","<http://vocab.getty.edu/tgn/7012346>"
"144","Abbeville","France",2,"5.844445","49.197772","<http://vocab.getty.edu/tgn/7668072>"
"145","Aix-en-Provence","France",3,"5.448791","43.528695","<http://vocab.getty.edu/tgn/7010786>"
"146","Avignon","France",4,"4.810226","43.945404","<http://vocab.getty.edu/tgn/7008799>"
"147","Avranches","France",1,"-1.358169","48.682299","<http://vocab.getty.edu/tgn/7008207>"
"148","Besançon","France",9,"6.018152","47.248778","<http://vocab.getty.edu/tgn/7008356>"
"149","Bordeaux","France",24,"2.526866","48.0987","<http://vocab.getty.edu/tgn/7659810>"
"150","Caen","France",11,"-0.326822","49.197188","<http://vocab.getty.edu/tgn/7008209>"
"152","Dijon","France",7,"5.016667","47.316667","<http://vocab.getty.edu/tgn/7008224>"
"153","Douai","France",1,"3.088996","50.372362","<http://vocab.getty.edu/tgn/7008458>"
"155","Le Mans","France",6,"0.204709","48.000386","<http://vocab.getty.edu/tgn/7008494>"
"157","Lorient","France",1,"-3.366667","47.75","<http://vocab.getty.edu/tgn/7009307>"
"158","Lyon","France",39,"4.846711","45.748457","<http://vocab.getty.edu/tgn/7008772>"
"161","Montpellier","France",6,"3.87723","43.61092","<http://vocab.getty.edu/tgn/7009369>"
"162","Nancy","France",20,"6.187756","48.69211","<http://vocab.getty.edu/tgn/7008412>"
"163","Nantes","France",3,"-1.552379","47.216509","<http://vocab.getty.edu/tgn/7008482>"
"164","Nice","France",3,"7.25952","43.713644","<http://vocab.getty.edu/tgn/7008773>"
"165","Nimes","France",3,"4.359623","43.833778","<http://vocab.getty.edu/tgn/7008371>"
"166","Orleans","France",8,"1.903887","47.902891","<http://vocab.getty.edu/tgn/7008337>"
"168","Reims","France",2,"4.033333","49.25","<http://vocab.getty.edu/tgn/7011060>"
"169","Rennes","France",3,"-0.483333","48.483333","<http://vocab.getty.edu/tgn/7615647>"
"170","Rouen","France",17,"1.083333","49.433333","<http://vocab.getty.edu/tgn/7008929>"
"172","Toulouse","France",6,"5.586825","46.822239","<http://vocab.getty.edu/tgn/7603779>"
"173","Versailles","France",5,"2.134236","48.803593","<http://vocab.getty.edu/tgn/7008070>"
"154","Dunkirk","France",1,"2.366667","51.05","<http://vocab.getty.edu/tgn/7010042>"
"342","Smolensk","Russia",1,"32.0667","54.8167","<http://vocab.getty.edu/tgn/7010288>"
"340","Kazan","Russia",3,"49.1667","55.75","<http://vocab.getty.edu/tgn/7015156>"
"343","Sortavala","Russia",27,"30.6667","61.6667","<http://vocab.getty.edu/tgn/1059630>"
"341","Moscow","Russia",266,"37.7","55.75","<http://vocab.getty.edu/tgn/7012974>"
"304","Amersfoort","Netherlands",18,"5.383333","52.15","<http://vocab.getty.edu/tgn/7006922>"
"305","Amsterdam","Netherlands",492,"4.916667","52.35","<http://vocab.getty.edu/tgn/7006952>"
"306","Arnhem","Netherlands",10,"5.916667","51.983333","<http://vocab.getty.edu/tgn/7006876>"
"307","Delft","Netherlands",5,"4.366667","52","<http://vocab.getty.edu/tgn/7006804>"
"308","Den Haag","Netherlands",38,"4.3","52.083333","<http://vocab.getty.edu/tgn/7006810>"
"309","Deventer","Netherlands",12,"6.2","52.25","<http://vocab.getty.edu/tgn/7006940>"
"310","Dieren","Netherlands",2,"6.133333","52.05","<http://vocab.getty.edu/tgn/7006895>"
"311","Dordrecht","Netherlands",7,"4.666667","51.8","<http://vocab.getty.edu/tgn/7006798>"
"312","Gouda","Netherlands",3,"4.7","52.016667","<http://vocab.getty.edu/tgn/7006805>"
"313","Haarlem","Netherlands",72,"4.65","52.366667","<http://vocab.getty.edu/tgn/7007048>"
"314","Leeuwarden","Netherlands",11,"5.783333","53.2","<http://vocab.getty.edu/tgn/7007006>"
"315","Leiden","Netherlands",152,"4.5","52.15","<http://vocab.getty.edu/tgn/7006809>"
"316","Maastricht","Netherlands",2,"5.683333","50.85","<http://vocab.getty.edu/tgn/7006862>"
"317","Nijmegen","Netherlands",9,"5.866667","51.833333","<http://vocab.getty.edu/tgn/7031832>"
"318","Rotterdam","Netherlands",19,"4.5","51.916667","<http://vocab.getty.edu/tgn/7006792>"
"320","Utrecht","Netherlands",106,"5.133333","52.083333","<http://vocab.getty.edu/tgn/7006926>"
"321","Zutphen","Netherlands",14,"6.2","52.133333","<http://vocab.getty.edu/tgn/7006897>"
"319","The Hague","Netherlands",178,"4.3","52.083333","<http://vocab.getty.edu/tgn/7006810>"
"512","Bayreuth","Germany",4,"11.578333333","49.948055555","Q3923"
"527","Berlin","Germany",2011,"13.383333333","52.516666666","Q64"
"535","Bielefeld","Germany",24,"8.516666666","52.016666666","Q2112"
"544","Boden","Germany",77,"13.1192","50.6292","Q889443"
"557","Bonn","Germany",57,"7.099722222","50.733888888","Q586"
"574","Bremen","Germany",42,"9.3625","48.0264","Q2663510"
"583","Brunn","Germany",1,"11.6195","49.379","Q31841757"
"592","Celle","Germany",1,"10.0825","52.625555555","Q3933"
"606","Coburg","Germany",3,"10.966666666","50.266666666","Q14821"
"6110","Cologne","Germany",74,"6.957777777","50.942222222","Q365"
"622","Darmstadt","Germany",15,"8.65","49.866666666","Q2973"
"637","Dessau","Germany",8,"11.475605555","52.808883333","Q40387603"
"6410","Dillingen an der Donau","Germany",2,"10.466666666","48.566666666","Q494702"
"662","Düsseldorf","Germany",16,"6.816666666","51.216666666","Q1718"
"692","Erlangen","Germany",19,"11.004444444","49.596388888","Q3126"
"712","Frankfurt","Germany",202,"8.679722222","50.113611111","Q1794"
"732","Fürth","Germany",2,"10.990277777","49.478333333","Q3075"
"752","Gießen","Germany",15,"9.60027778","47.62722222","Q1523441"
"76","Gotha","Germany",42,"12.6114","51.4161","Q1538724"
"79","Göttingen","Germany",75,"8.23163509","51.66526031","Q19284594"
"80","Halberstadt","Germany",6,"11.046666666","51.895833333","Q7072"
"812","Halle","Germany",203,"7.75028","50.8942","Q1571425"
"852","Heidelberg","Germany",88,"13.4739","50.6427","Q1307281"
"862","Heilbronn","Germany",10,"9.216666666","49.15","Q715"
"872","Helmstadt","Germany",1,"9.709783","49.761901","Q38083981"
"88","Helmstedt","Germany",10,"11.010555555","52.228055555","Q486562"
"892","Hildburghausen","Germany",2,"10.728888888","50.426111111","Q504348"
"902","Holt","Germany",1,"6.40203","51.1811","Q1625158"
"912","Jena","Germany",261,"11.586388888","50.927222222","Q3150"
"922","Karlsruhe","Germany",16,"8.4","49.016666666","Q1040"
"932","Kassel","Germany",10,"9.497777777","51.319722222","Q2865"
"942","Kiel","Germany",71,"7.237388","50.96509","Q18202246"
"952","Kirchhain","Germany",2,"8.916666666","50.816666666","Q569684"
"972","Leipzig","Germany",1583,"12.383333333","51.333333333","Q2079"
"982","Lemgo","Germany",1,"8.911666666","52.027222222","Q14817"
"992","Lübeck","Germany",85,"10.686388888","53.869722222","Q2843"
"1002","Magdeburg","Germany",22,"11.616666666","52.133333333","Q1733"
"672","Elbingen","Germany",4,"7.911111111","50.529166666","Q563997"
"682","Erfurt","Germany",17,"11.029166666","50.978055555","Q1729"
"742","Gera","Germany",2,"12.083333333","50.880555555","Q3750"
"656","Dresden","Germany",109,"13.733333333","51.033333333","Q1731"
"702","Flensburg","Germany",6,"9.436666666","54.781944444","Q3798"
"722","Freiburg im Breisgau","Germany",54,"7.849722222","47.994722222","Q2833"
"77","Greifswald","Germany",313,"13.383333333","54.083333333","Q4098"
"822","Hamburg","Germany",356,"10","53.55","Q1055"
"832","Hanau","Germany",6,"8.916666666","50.133333333","Q3802"
"1012","Mainz","Germany",23,"8.266666666","50","Q1720"
"1022","Mannheim","Germany",6,"8.463055555","49.483611111","Q2119"
"1032","Marburg","Germany",49,"8.766666666","50.816666666","Q3869"
"1042","München","Germany",517,"11.5809","49.5564","Q39562060"
"105","Münster","Germany",15,"9.85555","50.01548","Q32843476"
"1062","Neuruppin","Germany",5,"12.8","52.922222222","Q16085"
"1072","Nordhausen","Germany",2,"10.3842","48.945","Q1998023"
"1092","Offenbach am Main","Germany",3,"8.766666666","50.1","Q3042"
"1102","Osnabrück","Germany",5,"8.043055555","52.278888888","Q2916"
"1112","Potsdam","Germany",52,"13.066666666","52.4","Q1711"
"1122","Quedlinburg","Germany",7,"11.147222222","51.791666666","Q40623"
"113","Regensburg","Germany",10,"12.083333333","49.016666666","Q2978"
"114","Ronneburg","Germany",1,"9.05","50.233333333","Q622215"
"1152","Rostock","Germany",139,"12.133333333","54.083333333","Q2861"
"1162","Saarbrücken","Germany",1,"6.98165","49.2354","Q1724"
"1172","Schleswig","Germany",3,"9.569722222","54.515277777","Q501661"
"1182","Schwerin","Germany",8,"7.33312","51.5412","Q1689273"
"1192","Siegen","Germany",1,"8.016666666","50.875555555","Q3167"
"1202","Stade","Germany",16,"9.476388888","53.600833333","Q6949"
"121","Stralsund","Germany",147,"13.083333333","54.3","Q4065"
"1222","Stuttgart","Germany",581,"9.1775","48.776111111","Q1022"
"1232","Tübingen","Germany",54,"9.055555555","48.52","Q3806"
"1242","Ulm","Germany",9,"8.0497","48.5788","Q2475296"
"1252","Weimar","Germany",39,"9.392777777","51.366111111","Q661498"
"1262","Weißenfels","Germany",3,"11.966666666","51.2","Q14815"
"1272","Wiesbaden","Germany",70,"8.241361111","50.082083333","Q1721"
"1282","Wismar","Germany",16,"13.7928","53.5228","Q1248628"
"1292","Wittenberg","Germany",26,"9.68416667","47.6425","Q2586723"
"1312","Zweibrücken","Germany",2,"7.360833333","49.249444444","Q16017"
"1332","Budapest","Hungary",189,"19.040833333","47.498333333","Q1781"
"1342","Akureyri","Iceland",21,"-18.1","65.683333333","Q29042"
"1412","Dublin","Ireland",15,"-6.265833333","53.3425","Q1761"
"1451","Jerusalem","Israel",11,"35.216666666","31.783333333","Q1218"
"1471","Jelgava","Latvia",15,"23.724444444","56.652222222","Q179830"
"1491","Riga","Latvia",201,"24.106944444","56.9475","Q1773"
"1501","Vilnius","Lithuania",21,"25.283333333","54.683333333","Q216"
"1511","Mexico City","Mexico",2,"-99.145555555","19.419444444","Q1489"
"1521","Belfast","Northern Ireland",1,"-5.938333333","54.596666666","Q10686"
"1531","Bergen","Norway",97,"5.323333333","60.3925","Q26793"
"1541","Oslo","Norway",2868,"10.752777777","59.911111111","Q585"
"1561","Trondheim","Norway",30,"10.4","63.44","Q25804"
"1571","Braniewo","Poland",2,"19.833333333","54.383333333","Q160814"
"159","Gdansk","Poland",35,"18.64637","54.35205","Q1792"
"1611","Poznan","Poland",49,"16.916666666","52.4","Q268"
"1621","Szczecin","Poland",53,"14.555277777","53.424722222","Q393"
"1631","Warsaw","Poland",153,"21.033333333","52.216666666","Q270"
"1641","Zary","Poland",4,"15.133333333","51.633333333","Q148849"
"1651","Coimbra","Portugal",3,"-8.407738888","40.201272222","Q45412"
"1661","Lisbon","Portugal",50,"-9.166666666","38.716666666","Q597"
"1671","Porto","Portugal",9,"-8.6","41.15","Q36433"
"1681","Cluj-Napoca","Romania",5,"23.559444444","46.78","Q16898189"
"1711","Aberdeen","Scotland",3,"-2.1","57.15","Q36405"
"1721","Dundee","Scotland",11,"-2.97","56.464","Q123709"
"1731","Edinburgh","Scotland",56,"-3.198888888","55.95","Q23436"
"174","Glasgow","Scotland",15,"-4.27","55.87","Q4093"
"175","Montrose","Scotland",1,"-2.605833333","56.708055555","Q420303"
"176","Paisley","Scotland",2,"-4.433333333","55.85","Q211870"
"177","Perth","Scotland",5,"-3.431666666","56.395277777","Q203000"
"178","Stirling","Scotland",2,"-3.935833333","56.119444444","Q182923"
"179","Cape Town","South Africa",9,"18.425","-33.925","Q5465"
"180","Barcelona","Spain",88,"2.176944444","41.3825","Q1492"
"181","Madrid","Spain",117,"-3.691944444","40.418888888","Q2807"
"182","Salamanca","Spain",3,"-5.663888888","40.965","Q15695"
"185","Adelöv","Sweden",1,"14.66866667","58.02794444","Q10401135"
"187","Agnesberg","Sweden",3,"12.00972222","57.78694444","Q10403223"
"193","Aneboda","Sweden",3,"14.56340278","57.12069444","Q10411534"
"194","Ankarsvik","Sweden",2,"17.414584894","62.372815496","Q2197637"
"199","Fjälkestad","Sweden",16,"14.169456475","56.108497966","Q2399555"
"207","Stora Slågarp","Sweden",16,"13.159709216","55.453342313","Q10681107"
"209","Södertälje","Sweden",431,"17.598995849","59.194387184","Q26518"
"210","Tandsbyn","Sweden",27,"14.731615057","63.005513246","Q2088202"
"211","Tomteboda","Sweden",54,"18.016666666","59.35","Q7820411"
"212","Uddevalla","Sweden",791,"11.914195436","58.352111218","Q27447"
"215","Älghult","Sweden",3,"15.574809398","57.009280306","Q254761"
"216","Älvsjö","Sweden",10,"18.004166666","59.275","Q255019"
"219","Basel","Switzerland",86,"7.591111111","47.550555555","Q78"
"220","Bern","Switzerland",74,"7.438611111","46.950833333","Q70"
"221","Geneva","Switzerland",95,"6.15","46.2","Q71"
"223","Lugano","Switzerland",3,"8.9625","46.010277777","Q7024"
"225","Vevey","Switzerland",1,"6.85","46.466666666","Q68160"
"226","Winterthur","Switzerland",4,"8.72671","47.4992","Q9125"
"227","Yverdon-les-Bains","Switzerland",1,"6.640833333","46.7785","Q63946"
"228","Istanbul","Turkey",30,"28.960277777","41.01","Q406"
"229","Lviv","Ukraine",39,"24.014166666","49.83","Q36036"
"230","Odessa","Ukraine",5,"30.73262","46.47747","Q1874"
"1","Buenos Aires","Argentina",72,"-34.6036844","-58.3815591","Google"
"2","Brisbane","Australia",3,"-27.4697707","153.0251235","Google"
"3","Sydney","Australia",4,"-33.8688197","151.2092955","Google"
"4","Vienna","Austria",384,"48.2081743","16.3738189","Google"
"5","Antwerp","Belgium",55,"51.2194475","4.4024643","Google"
"6","Bruges","Belgium",10,"51.209348","3.2246995","Google"
"7","Brussels","Belgium",179,"50.8503463","4.3517211","Google"
"8","Ghent","Belgium",1,"51.0543422","3.7174243","Google"
"9","Leuven","Belgium",7,"50.8798438","4.7005176","Google"
"10","Liège","Belgium",24,"50.6325574","5.5796662","Google"
"11","Louvain","Belgium",14,"50.8798438","4.7005176","Google"
"12","Mechelen","Belgium",3,"51.0258761","4.4775362","Google"
"13","Montreal","Canada",2,"45.5016889","-73.567256","Google"
"14","Ottawa","Canada",14,"45.4215296","-75.6971931","Google"
"15","Quebec","Canada",4,"46.8138783","-71.2079809","Google"
"16","St John New Brunswick","Canada",1,"45.2733153","-66.063308","Google"
"17","Toronto","Canada",9,"43.653226","-79.3831843","Google"
"18","Haunia","Copenhagen",36,"55.6760968","12.5683372","Google"
"19","Havanna","Cuba",3,"23.1135925","-82.3665956","Google"
"20","Prague","Czech Republic",338,"50.0755381","14.4378005","Google"
"21","Aabenraa","Denmark",1,"55.040852","9.4151589","Google"
"22","Aalborg","Denmark",18,"57.0488195","9.921747","Google"
"23","Aarhus","Denmark",80,"56.162939","10.203921","Google"
"24","Copenhagen","Denmark",5008,"55.6760968","12.5683372","Google"
"25","Haderslev","Denmark",5,"55.250072","9.48911","Google"
"26","Helsingør","Denmark",15,"56.030787","12.592127","Google"
"27","Odense","Denmark",49,"55.403756","10.40237","Google"
"2810","Kings Lynn","England",1,"52.7516798","0.4022963","Google"
"299","Narva","Estonia",10,"59.3796931","28.1790751","Google"
"301","Pärnu","Estonia",4,"58.3916898","24.4952894","Google"
"3110","Tallinn","Estonia",134,"59.4369608","24.7535747","Google"
"322","Tartu","Estonia",230,"58.377983","26.7290383","Google"
"331","Eura","Finland",1,"61.1295802","22.1309557","Google"
"344","Janakkala","Finland",1,"60.9201246","24.6460018","Google"
"351","Käkisalmi","Finland",4,"61.3188461","25.55472","Google"
"361","Mustasaari","Finland",3,"63.1140608","21.6820104","Google"
"373","Mustio","Finland",1,"60.1377409","23.8638715","Google"
"381","Pernaja","Finland",5,"60.4390457","26.0422847","Google"
"391","Sipoo","Finland",1,"60.376754","25.268977","Google"
"404","Terijoki","Finland",1,"60.1967148","29.7006916","Google"
"416","Terni","Finland",1,NA,NA,"Google"
"426","Vyborg","Finland",125,"60.7139529","28.7571571","Google"
"437","Macon","France",7,"46.3068839","4.828731","Google"
"4410","Aachen","Germany",11,"50.7753455","6.0838868","Google"
"452","Altdorf","Germany",4,"49.3856621","11.3564834","Google"
"46","Altenburg","Germany",11,"50.9931202","12.4366572","Google"
"4710","Altenstein","Germany",4,"50.171754","10.7331645","Google"
"482","Altona","Germany",14,"53.57916","9.8745558","Google"
"4910","Arnstadt","Germany",4,"50.840914","10.9505322","Google"
"5010","Augsburg","Germany",25,"48.3705449","10.89779","Google"
"5110","Braunschweig","Germany",84,"52.2688736","10.5267696","Google"
"528","Görliz","Germany",8,"51.1506269","14.968707","Google"
"5310","Hannover","Germany",24,"52.3758916","9.7320104","Google"
"5410","Koningsberg","Germany",35,"50.0808691","10.5664483","Google"
"558","Nürnberg","Germany",74,"49.4521018","11.0766654","Google"
"5610","Wurzburg","Germany",23,"49.7913044","9.9533548","Google"
"575","Zürich","Germany",203,NA,NA,"Google"
"584","Isafjördur","Iceland",3,"66.0611061","-23.1888598","Google"
"593","Reykjavik","Iceland",247,"64.1265206","-21.8174392","Google"
"6010","Bombay","India",10,"19.0759837","72.8776559","Google"
"6112","Calcutta","India",9,"22.572646","88.363895","Google"
"6210","Madras India","India",8,"13.0826802","80.2707184","Google"
"6310","Tharangampadi","India",2,"11.0290373","79.8506815","Google"
"6412","Dunkalk","Ireland",1,"53.9979451","-6.405957","Google"
"658","Kilmarnock","Ireland",1,NA,NA,"Google"
"663","Newry","Ireland",1,"54.1751024","-6.34023","Google"
"673","Firenze","Italy",104,"43.7695604","11.2558136","Google"
"683","Liepaja","Latvia",4,"56.5046678","21.010806","Google"
"693","Tromsö","Norway",4,"69.6492047","18.9553239","Google"
"703","Breslau","Poland",70,"51.1078852","17.0385376","Google"
"713","Krakow","Poland",65,"50.0646501","19.9449799","Google"
"723","Archangelsk","Russia",1,"64.5472507","40.5601553","Google"
"733","St Petersburg","Russia",446,"59.9342802","30.3350986","Google"
"743","Valencia","Spain",6,"39.4699075","-0.3762881","Google"
"753","Adelsö","Sweden",1,"59.3782074","17.4887955","Google"
"762","Adolfsfors","Sweden",1,"59.800675","12.2267272","Google"
"772","Akersberga","Sweden",1,"59.4802773","18.3107831","Google"
"78","Akeshov","Sweden",2,"59.3396605","17.9286502","Google"
"792","Alnön","Sweden",2,"62.4035166","17.4604069","Google"
"802","Alsten","Sweden",15,"59.3233914","17.9490938","Google"
"813","Alvestorp","Sweden",1,"59.6294485","14.5660404","Google"
"823","Axelfors","Sweden",11,NA,NA,"Google"
"833","Eksjöhovgård","Sweden",21,"57.3918483","14.6869573","Google"
"842","Enskede","Sweden",27,"59.2762834","18.0385285","Google"
"853","Eskiltuna","Sweden",4,"59.3712486","16.5098046","Google"
"863","Haaparanta","Sweden",59,"65.8417085","24.1276643","Google"
