publication_place	country	Count
Sanktpiterburg	NA	    1
San sebastian	NA	    1
Scara	NA	    1
Schleswig	Germany	    1
Schnepfenthal im verlage buchhandlung erziehungstalt	NA	    1
Schwabach	NA	    2
Schwerin	Germany	    2
Sedini	NA	    2
S graavenhaage	NA	    1
S gravenhage	NA	    1
Siena	Italy	    1
Skara	Sweden	  552
Skara stockholm	NA	    5
<s l >	NA	   63
Smolensk	NA	    1
Sockholm peter van selow	NA	    1
Sondershausen	NA	    1
Sorau druckts johann gottlieb rothe	NA	    1
Sorau druckts joh gottlieb rothe	NA	    1
Soröe	NA	    2
Soroe jonas lindgren det ridderlige akademies bogtrykker	NA	    1
Spandau	NA	    5
Spb	NA	    1
Ståckhålm kongl bookt sal wankijfs änckia åhr	NA	    1
Stadae henricum brummerum bibliopol holweinianis anno m dcc vii	NA	    1
Stade	NA	    9
Stade bey caspar holwein	NA	    2
Stade bey elias holwein sel nachgel wittibe	NA	    1
Stade kongl booktr caspar holwein	NA	    1
Ståkkholm	NA	    2
Ståkkholm johann eberdt åhr	NA	    1
Stekholm controlleuren c cronland	NA	    1
Stendal	NA	    1
Stergnäs	NA	    1
Stetin	NA	    1
Stettini	NA	    1
Sthlm	NA	    9
Sthlm tr kongl	NA	    1
Sthlm tr l salvius	NA	    2
Stochholm joh christ holmberg	NA	    1
Stocholm åbo	NA	    1
Stocholme chez henry kayser mdcli	NA	    1
Stocholmo	NA	    1
Stocholm westerås	NA	    1
Stockholm	Sweden	44750
Stockholm abo	NA	    2
Stockholmae	NA	    2
Stockholmb	NA	    1
Stockholm berlin	NA	    1
Stockholm bern	NA	    8
Stockholm danzig	NA	    3
Stockholm erfurt	NA	    1
Stockholmesn trykketum lars salviusen ludne	NA	    1
Stockholm frankfurt	NA	    3
Stockholm göteborg	NA	    3
Stockholm greifswald	NA	    4
Stockholm halle	NA	    1
Stockholm hamburg	NA	    2
Stockholm härnösand	NA	    3
Stockholm/ hoos henr c merckell	NA	    1
Stockholmiae upsal	NA	    1
Stockholm karlskrona	NA	    1
Stockholm karlskrona regensburg	NA	    1
Stockholm kobenhavn	NA	    3
Stockholm köln	NA	    6
Stockholm linköping	NA	   13
Stockholm linköping lund	NA	    1
Stockholm lyon	NA	    1
Stockholmm	NA	    2
Stockholm/ niclas wankijff/ kongl booktryckiare	NA	    1
Stockholm norrköping	NA	   19
Stockholm nuernberg	NA	    1
Stockholm örebro	NA	    3
Stockholm paris	NA	    2
Stockholm pernau	NA	    1
Stockholm petersburg åbo	NA	    1
Stockholm reval	NA	    1
Stockholm skara	NA	    3
Stockholm stocholm	NA	    1
Stockholm stralsund	NA	    1
Stockholm strängnäs	NA	   66
Stockholm strasbourg	NA	    1
Stockholm uppsala	NA	   64
Stockholm uppsala åbo	NA	    1
Stockholm uppsala greifswald	NA	    1
Stockholm upsal	NA	   31
Stockholm upsala westerås	NA	    1
Stockholm upsala westerås örebro	NA	    2
Stockholm utrecht	NA	    1
Stockholm västerås	NA	    2
Stockholm vpsala	NA	    4
Stockholm wasa	NA	   36
Stockholm wien	NA	    1
Stockho m	NA	    1
Stockhoplm then augusti anno c	NA	    1
Stocolme	NA	    1
Stocolme chez jean jeansson anno m dc lii	NA	    1
Stokgolʹm pečatan v korolevskoj tipografii	NA	    3
Stokkholm peter hesselberg	NA	    3
Stokkholm trykkte lars salvius år	NA	    1
St petersb	NA	    1
St petersbourg de l imprimerie de l academie imperiale des sciences	NA	    1
St Petersburg	Russia	   45
Strahlsund	NA	    1
Strahlsund bey sel meders erben	NA	    1
Strahlsundt	NA	    1
Strahlsundt jm monat junii	NA	    1
Stralsund	Germany	  109
Stralsund greifswald	NA	    1
Stralsundiae anno m dc lxxvii	NA	    1
Stralsundi literis joachimi reumanni anno m dc lxiii	NA	    1
Stralsund leipzig	NA	    2
Stralsund örebro	NA	    1
Stralsund rostock leipzig	NA	    1
Stralsundt	NA	    1
Stralsundt von augustino ferbern vnd verlegt im jahr christi	NA	    1
Strängnäs	Sweden	  982
St rängnäs	NA	    1
Strängnäs norrköping	NA	    3
Strängnäs stockholm	NA	   15
Strasbourg	France	   19
Strassbourg	NA	    1
Strassburg basel	NA	    1
Straszburg verlegung caspar dietzels buchhändlers m dc xliv	NA	    1
Straubing	NA	    1
Stregnäs	NA	    7
Stregnesii	NA	    3
Stregnesii zacharias asp anno	NA	    1
Stregn zacharia brockenio	NA	    1
Strengnääs	NA	    1
Strengnesi	NA	    1
Strengnesij	NA	    2
Strömsholm	NA	    1
Strömstad	NA	    3
Stuttgardt auf kosten des authoris	NA	    1
Stuttgart	Germany	    3
Suisse	NA	    1
Sulzbach	NA	    1
Sumtu joh casp meyeri bibliop lips m dc lxxxv	NA	    1
Sverige	NA	    4
Sverige åhr	NA	    2
Sverige anno	NA	    2
Sverige år	NA	    2
Szczecin	Poland	   29
Tallinn	Estonia	   55
Tamrereella	NA	    1
Tangeri	NA	    1
Tartu	Estonia	  146
The Hague	Netherlands	   24
Thersammastädes år gabriel biörckegren linköpings läns stichts boktryckare	NA	    1
Thersammestädhes andrea gutterwitz	NA	    1
Thet kongl tryckeriet	NA	    3
Thorn und zu finden bey joh nicolai e e raths und des gymn buchdrucker	NA	    1
Tondern	NA	    1
Tönning	NA	    1
Tours	NA	    1
Trajecti rhenum	NA	    2
Treuenbrietzen	NA	    3
Tribsees	NA	    1
Trier	NA	    1
Tr i gefle	NA	    1
Tripoli	NA	    1
Troyes	NA	    1
Tryet udi malmo vitus haberegger gouvernaments bogtrycker	NA	    1
Ttockholm hoos niclas wankijff kongl bookt	NA	    1
Tübingen	Germany	    2
Tukusa frenckellin kirjan prändisä	NA	    3
Turin	NA	    2
Turku	Finland	 1581
Turusa åbo	NA	    2
Turusa pietari	NA	    4
Typ acad p wald	NA	    1
Typographeo caroli hoepfneri reg acad typogr	NA	    1
Tyskland	NA	    6
Tyskland im jahr	NA	    3
Ubsala	NA	    2
Ubsaliae upsal	NA	    1
Uddevalla	NA	    6
Udi malmoe vitus haberegger gouvernam bogtr	NA	    1
Ulm	Germany	    5
Ulmae	NA	    1
Ultrajecti johannem ribbium m dc lxxxvi	NA	    1
Ultrajecti officina guilielmi van de water mdccii	NA	    1
Ulyssipone	NA	    1
U o å	NA	    1
U o o å	NA	    3
U o o tr	NA	    1
U o tr	NA	  172
U o tr å	NA	   58
U o tr å stockho m	NA	    1
U o tr krakau	NA	    1
Uppala	NA	    1
Upps	NA	    1
Uppsala	Sweden	 4899
Uppsala leipzig	NA	    2
Uppsala örebro	NA	    3
Uppsala rostock	NA	    1
Uppsala stockholm	NA	   26
Uppsala stockholm skara	NA	    3
Uppsala strängnäs stockholm	NA	    4
Uppsala västerås	NA	    2
Uppsaliae	NA	    6
Uppsaliae litteris joh edman	NA	    1
Uppsaliae l m höjer reg acad typogr	NA	    1
Upsalae upsal	NA	    6
Upsala stockholm	NA	    1
Upsale chez l imprimeur de l academ jean fr edman	NA	    1
Upsalia	NA	    1
Upsaliae holmiae	NA	    2
Upsaliae upsal	NA	    3
Upsalieae	NA	    1
Usaliae	NA	    1
Utgivningsort okänd	NA	    2
Utgivningsort okänd #b utgivare okänd	NA	    1
U tr å	NA	    1
Utrecht	Netherlands	    8
Vaasa	Finland	   84
Valladolid	NA	    3
Vänersborg	NA	   87
Vasasa	NA	    2
Västerås	Sweden	 1099
Västerås strängnäs	NA	    5
Västerås wästerås	NA	    1
Växjö	NA	  209
Växjö hov	NA	    1
Växlande orter	NA	    1
Vbsala	NA	    8
Vbsala eskel matzon	NA	    1
Vbsala eskil matzson åhr	NA	    1
Vbsala hoos eskild matzson	NA	    1
Venersborg	NA	    3
Venice	Italy	   31
Veronae germanorum	NA	    1
Versailles	France	    2
Vesterås	NA	    7
Vexiö	NA	    4
Vienna	Austria	   12
Viennae austriae	NA	    2
Villefranche	NA	    1
Villefranche chez hardi filocrate imprimeur m dcc lx	NA	    1
Vilnius	Lithuania	   10
Vinegia appresso francesco bindoni m d lxi	NA	    1
Visby	NA	   49
Visingsborg	Sweden	   15
V moskvě v tipogr pri teatrě u ch klaudija goda	NA	    1
Vpsalae	NA	    2
Vpsala stockholm	NA	    1
Vpsal bey eschil matzson anno	NA	    1
Vpsaliae hamburg	NA	    1
Vpsalis	NA	    1
Vpsalis literis wernerianis	NA	    1
Vratislaviae	NA	    1
V sanktpeterburgě pečatano v tipografii f drechslera goda	NA	    1
V sanktpeterburgě pri morskom slachetnom kadetskom korpusě goda	NA	    1
Vthgången publicerat translatoris eghen typographia an m dc xxxviii	NA	    1
Vyborg	Russia	   10
Warrington	England	    1
Warsaw	Poland	    7
Warszawie	NA	    1
Weiiö kongl privil gymn boktr anders wrigsen	NA	    1
Weimar	Germany	    6
Weissenfels	NA	    1
Wenersborg	NA	    4
Wenersborg johan qwist	NA	    1
Wenersborg qvist	NA	    1
Wenersborg siguard swanholm kongl privil boktr	NA	    1
Wennberg nordström	NA	    1
Wennersborg	NA	    1
Westeråås	NA	    4
Westeråås åhr euchario lauringer	NA	    1
Westeråås euchario lauringer consistorij gymnasij booktryckiare	NA	    1
Westeråhrs	NA	    1
Westerårs oluff olson hel	NA	    1
Wexiö	NA	   18
Wexiö carl fr berg	NA	    1
Wexiö kongl gymnasii bokt c merckell	NA	    1
Wexiö kongl gymnasii boktryckaren c merckell	NA	    1
Wexiö kongl gymnasii boktryckaren johan christopher merckell	NA	    1
Wexiö kongl gymnasii boktryckar johan christopher merckell	NA	    3
Wexiö kongl gymn bokt c merckell	NA	    1
Wexiö kongl priv gymn boktr anders wrigsen	NA	    1
Wexiö kongl priv gymn boktr wrigseen thetzell	NA	    1
Wexiö kongl privil gymn boktryck wrigseen thetzell	NA	    1
Wexiö swen rasks enka	NA	    1
Wexiö til förmån för fattig skolan där hon ock endast hålles til köps år directeuren sv rask	NA	    1
Wexiö wrigseen thetzell	NA	    1
Wexjö	NA	    3
Wiesingsburg	NA	    2
Wijsindzborg hans höggrefl nåd riijkz drotzens booktryckare johann kankel anno m dc lxxiv	NA	    1
Wijsingzöö johann kankel anno m dc lxxxv	NA	    1
Wijsinzgborg hans höggrefl nåd booktr johann kankel åhr m dc l xxiv	NA	    1
Wilmington De	USA	    1
Winterthur	Switzerland	    1
Wisby	NA	    2
Wisby jonas nyberg	NA	    1
Wisingsborgh hans höggrefl nådhes rickz drotzens booktryckiare thersammestädes johann kankel anno	NA	    1
Wismar	Germany	    3
Wissmar bey jochim georg rheten im jahr	NA	    1
Wissmar und straalsund im verlag samuel gottlieb lochmanns buchhändlers bey johann zander	NA	    1
Wiszmar	NA	    1
Wiszmar bey joachim georg rheten	NA	    1
Wittebergae aerae	NA	    1
Wittenberg	Germany	   23
Worcester Ma	USA	    1
W warszawie	NA	    1
W wilnie	NA	    1
Wÿsingzborg	NA	    1
W zamosciu	NA	    1
Xxx	NA	    1
Yverdon-les-Bains	Switzerland	    1
Zach asp capit bookt	NA	    1
Zamosci	NA	    1
Zeitz	NA	    1
Zerbst	NA	   12
Zürich	Germany	    5
Zweybruecken druckts georg nicolai königl gouvernem buchdr anno mdccviii	NA	    1
þryckter hoolum i hialltadal halldore eriks syne anno mdcclvi	NA	    1
þryckt hoolum i hialltadal halldore eriks syne anno m dcc lvi	NA	    1
NA	NA	 1229
