original	gatherings	width	height	obl	Count
ca 21-28 cm	NA	NA	NA	NA	     1
ca 24-25 cm	NA	NA	NA	NA	     1
24-26 cm	NA	NA	NA	NA	     1
27-29 cm	NA	NA	NA	NA	     1
ca 30-31 cm	NA	NA	NA	NA	     1
1899-1901	NA	NA	NA	NA	     1
35-39 cm (1906-1907, 1915-1941), 59-66 cm (1911-1913)	NA	NA	NA	NA	     1
4:o (bil.: 1/2:o)	NA	NA	NA	NA	     1
28-32 cm (1923-1959:5/6, 1995:1), 22 cm (1959:7/8-)	NA	NA	NA	NA	     1
4:o. (ins.: 2:o(tv.))	NA	NA	NA	NA	     1
25-26 cm	NA	NA	NA	NA	     1
4:o (bil. 2:o(tv.))	NA	NA	NA	NA	     1
4:o, (ins. 1:o)	NA	NA	NA	NA	     1
4:o (ins.: 2:o)	NA	NA	NA	NA	     1
4:o, (ins.: 1:o)	NA	NA	NA	NA	     1
ill. (vissa i färg)	NA	NA	NA	NA	     1
294, [1] s.	NA	NA	NA	NA	     1
23-30 cm	NA	NA	NA	NA	     1
tvärfol.	NA	NA	NA	NA	     1
8:0 [4:o]	NA	NA	NA	NA	     1
8:o. [16:o.]	NA	NA	NA	NA	     1
45-60 cm	NA	NA	NA	NA	     1
32-48 cm	NA	NA	NA	NA	     1
32 s.	NA	NA	NA	NA	     1
12:o (6:o)	NA	NA	NA	NA	     1
38-60 cm	NA	NA	NA	NA	     1
8:o [4:o]	NA	NA	NA	NA	     1
12.o	NA	NA	NA	NA	     1
24-55 cm	NA	NA	NA	NA	     1
26-32 cm	NA	NA	NA	NA	     1
51-64 cm	NA	NA	NA	NA	     1
2 Tafeln	NA	NA	NA	NA	     1
19cm	NA	NA	NA	NA	     1
Tvärfolio	NA	NA	NA	NA	     1
211 s.	NA	NA	NA	NA	     1
24cm	NA	NA	NA	NA	     1
191 s.	NA	NA	NA	NA	     1
98/67	NA	NA	NA	NA	     1
Tv.- 8:o.	NA	NA	NA	NA	     1
8::o	NA	NA	NA	NA	     1
198 s.	NA	NA	NA	NA	     1
192 s.	NA	NA	NA	NA	     1
20cm	NA	NA	NA	NA	     1
4;o	NA	NA	NA	NA	     1
26 s.	NA	NA	NA	NA	     1
26cm	NA	NA	NA	NA	     1
32cm	NA	NA	NA	NA	     1
Tv.-8:o	NA	NA	NA	NA	     1
¤:o	NA	NA	NA	NA	     1
43-48 cm	NA	NA	NA	NA	     1
2:o (4:o)	NA	NA	NA	NA	     1
2 (hopsatta).	NA	NA	NA	NA	     1
2 obl.	NA	NA	NA	NA	     1
2 pat. sammansatt av 3 bl.	NA	NA	NA	NA	     1
12 obl.	NA	NA	NA	NA	     1
2 hopsatt av 3 ark.	NA	NA	NA	NA	     1
24-27 cm	NA	NA	NA	NA	     1
277 [3] s.	NA	NA	NA	NA	     1
29-30 cm	NA	NA	NA	NA	     1
28-35 cm	NA	NA	NA	NA	     1
1929	NA	NA	NA	NA	     1
Tv.8:o	NA	NA	NA	NA	     1
19	NA	NA	NA	NA	     1
8:o. [12:o.]	NA	NA	NA	NA	     1
26-41 cm	NA	NA	NA	NA	     1
23-24 cm	NA	NA	NA	NA	     1
15-22 cm	NA	NA	NA	NA	     1
30-41 cm	NA	NA	NA	NA	     1
21-30 cm	NA	NA	NA	NA	     1
21-39 cm	NA	NA	NA	NA	     1
22-24 cm (1900-1906), 46-53 cm (1980-)	NA	NA	NA	NA	     1
22-27 cm	NA	NA	NA	NA	     1
ca 22-24 cm (1908-1974), 30 cm (1975-1976)	NA	NA	NA	NA	     1
30-36 cm	NA	NA	NA	NA	     1
21-29 cm	NA	NA	NA	NA	     1
21-23 cm	NA	NA	NA	NA	     1
12:o(6), 8:o.	NA	NA	NA	NA	     1
1:o och 2:o.	NA	NA	NA	NA	     1
2:o;4:o	NA	NA	NA	NA	     1
18:o(4/4+1).	NA	NA	NA	NA	     1
12:o(6), 16:o(8).	NA	NA	NA	NA	     1
4:o(4 o.	NA	NA	NA	NA	     1
8:o(4 o.	NA	NA	NA	NA	     1
8:o(2 o.	NA	NA	NA	NA	     1
8:o; 1:o	NA	NA	NA	NA	     1
8:o, 8:o(4), 12:o(6).	NA	NA	NA	NA	     1
16:o(8 o.	NA	NA	NA	NA	     1
4:o (ins. 1/2:o)	NA	NA	NA	NA	     1
8:o,.8:o(2).	NA	NA	NA	NA	     1
1/10:o.	NA	NA	NA	NA	     1
Ca 17-20 x 25-28 cm (1946-1948), ca 26-27 cm (1949-1957)	NA	NA	NA	NA	     1
11 s.	NA	NA	NA	NA	     1
cm	NA	NA	NA	NA	     1
288 s.	NA	NA	NA	NA	     1
ill. +	NA	NA	NA	NA	     1
21-25 cm	NA	NA	NA	NA	     1
ill., 4 pl.-bl.	NA	NA	NA	NA	     1
l8 cm	NA	NA	NA	NA	     1
23	NA	NA	NA	NA	     1
10x22	NA	NA	NA	NA	     1
15 s.	NA	NA	NA	NA	     1
1926	NA	NA	NA	NA	     1
12:o, 8:o	NA	NA	NA	NA	     1
