doc.dimension,mean.pages.singlevol,median.pages.singlevol,n.singlevol,mean.pages.multivol,median.pages.multivol,n.multivol,mean.pages.issue,median.pages.issue,n.issue
4to,NA,NA,11,NA,NA,NA,NA,NA,NA
6to,NA,NA,1,NA,NA,NA,NA,NA,NA
8vo,NA,NA,24,NA,NA,NA,NA,NA,NA
12mo,NA,NA,4,NA,NA,NA,NA,NA,NA
NA,2,2,37,NA,NA,NA,NA,NA,NA
