original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
17x12 cm	NA	 12.0	 17.0	FALSE	NA	 12.0	 17.0	NA	  204.00	    10
38 cm	NA	NA	 38.0	FALSE	NA	 35.0	 38.0	NA	 1330.00	    10
fol	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     9
Fol.	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     9
ill.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     9
60 cm	NA	NA	 60.0	FALSE	NA	 36.0	 60.0	NA	 2160.00	     8
12:o(8/4)	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     8
20x14 cm	NA	 14.0	 20.0	FALSE	NA	 14.0	 20.0	NA	  280.00	     8
18x13 cm	NA	 13.0	 18.0	FALSE	NA	 13.0	 18.0	NA	  234.00	     8
37 cm	NA	NA	 37.0	FALSE	NA	 25.0	 37.0	NA	  925.00	     8
21 x 28 cm	NA	 21.0	 28.0	FALSE	NA	 21.0	 28.0	NA	  588.00	     8
11 cm	NA	NA	 11.0	FALSE	NA	  8.0	 11.0	NA	   88.00	     8
24 cm +	NA	NA	 24.0	FALSE	NA	 19.0	 24.0	NA	  456.00	     8
st. 8:o	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     7
32:o.	32mo	NA	NA	FALSE	32mo	  7.0	 12.0	 0	   84.00	     7
24:o(12)	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	     7
8:o(8 o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     7
40 cm	NA	NA	 40.0	FALSE	NA	 26.0	 40.0	NA	 1040.00	     7
19 cm.	NA	NA	 19.0	FALSE	NA	 13.0	 19.0	NA	  247.00	     7
16 x 24 cm	NA	 16.0	 24.0	FALSE	NA	 16.0	 24.0	NA	  384.00	     7
12 cm	NA	NA	 12.0	FALSE	NA	  9.0	 12.0	NA	  108.00	     7
8:0	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     6
42 cm	NA	NA	 42.0	FALSE	NA	 27.0	 42.0	NA	 1134.00	     6
Tv.-8:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     6
Tv.-4:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     6
8.o	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     6
17x11 cm	NA	 11.0	 17.0	FALSE	NA	 11.0	 17.0	NA	  187.00	     6
4:o (ins.: 1:o)	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     6
18:o(12/6 avl.).	18mo	NA	NA	FALSE	18mo	 10.0	 16.0	 0	  160.00	     6
12:o(4/2).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     6
8:o(4 tv.).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     6
39 cm	NA	NA	 39.0	FALSE	NA	 26.0	 39.0	NA	 1014.00	     6
18 cm.	NA	NA	 18.0	FALSE	NA	 12.0	 18.0	NA	  216.00	     6
53 cm	NA	NA	 53.0	FALSE	NA	 33.0	 53.0	NA	 1749.00	     5
45 cm	NA	NA	 45.0	FALSE	NA	 29.0	 45.0	NA	 1305.00	     5
50 cm	NA	NA	 50.0	FALSE	NA	 32.0	 50.0	NA	 1600.00	     5
