original	polished	Count
Total count: 	26988	
[Stockholm]	Stockholm	3599
Göteborg	Gothenburg	1927
Jönköping	Jönnköping	 747
Åbo	Turku	 698
Stockholm, Tryckt i Kongl. Tryckeriet.	Stockholm	 482
Tryckt uti Kongl. Tryckeriet.	Kongl tryckeriet	 377
Upsaliæ	Uppsala	 297
Upsala	Uppsala	 264
Tryckt uti Kongl. tryckeriet.	Kongl tryckeriet	 208
Aboæ	Turku	 204
Götheborg	Gothenburg	 203
Stockholm, Tryckt uti Kongl. Tryckeriet, Hos Directeuren Pet. Momma.	Stockholm	 195
Holmiæ	Stockholm	 175
Strengnäs	Strängnäs	 169
U. o. tr.	U o tr	 168
Stockholm, tryckt uti Kongl. tryckeriet, hos directeuren Pet. Momma.	Stockholm	 151
Stockholm, tryckt i Kongl. tryckeriet.	Stockholm	 133
Stockholm, tryckt i Kongl. Tryckeriet, 1824.	Stockholm	 115
Stockholm, tryckt i Kongl. Tryckeriet, 1828.	Stockholm	 114
Stockholm, Tryckt i Kongl. Tryckeriet, 1808.	Stockholm	 111
Stockholm, Tryckt i Kongl. Tryckeriet, 1812.	Stockholm	 110
Stockholm, Tryckt i Kongl. Tryckeriet, 1815.	Stockholm	 103
Stockholm, Tryckt hos Lars Salvius.	Stockholm	 102
Stockholm, tryckt i Kongl. Tryckeriet, 1820.	Stockholm	  93
Stockholm, tryckt i Kongl. Tryckeriet, 1827.	Stockholm	  92
Stockholm, Tryckt i Kongl. Tryckeriet, 1810.	Stockholm	  90
Stockholm, tryckt i Kongl. Tryckeriet, 1821.	Stockholm	  88
Stockholm, tryckt i Kongl. Tryckeriet, 1819.	Stockholm	  85
Ubsaliæ	Uppsala	  83
Stockholm, Trykt i Kongl. Tryckeriet.	Stockholm	  82
Upsaliae	Uppsala	  82
Stockholm, tryckt i Kongl. Tryckeriet, 1822.	Stockholm	  80
Stockholm, tryckt i Kongl. Tryckeriet, 1823.	Stockholm	  79
Stockholm, tryckt i Kongl. Tryckeriet, 1818.	Stockholm	  77
Stockholm, Tryckt i Kongl. Tryckeriet, 1809.	Stockholm	  76
København	Copenhagen	  76
Stockholm, Tryckt i Kongl. Tryckeriet, 1811.	Stockholm	  75
Stockholm, Tryckt i Kongl. Tryckeriet, 1800.	Stockholm	  75
Stockholm, Tryckt i Kongl. Tryckeriet, 1807.	Stockholm	  73
Upsaliæ, literis Wernerianis.	Uppsala	  72
Stockholm, Tryckt i Kongl. Tryckeriet, 1802.	Stockholm	  71
Stockholm, Tryckt i Kongl. Tryckeriet, 1806.	Stockholm	  69
Stockholm, Tryckt i Kongl. Tryckeriet, 1814.	Stockholm	  68
Stockholm, tryckt uti Kongl. tryckeriet.	Stockholm	  66
Stockholm ;;Strängnäs	Stockholm strängnäs	  66
Stockholm, Tryckt i Kongl. Tryckeriet, 1801.	Stockholm	  65
[Uppsala]	Uppsala	  64
Vasa	Vaasa	  64
<S.l.>	<s l >	  63
Vpsala	Uppsala	  63
Stockholm, Tryckt i Kongl. Tryckeriet, 1813.	Stockholm	  62
Stockholm, tryckt uti det Kongl. boktryckeriet.	Stockholm	  62
Upsaliæ, typis Edmannianis.	Uppsala	  62
Stockholm ;;Uppsala	Stockholm uppsala	  62
Stockholm, Tryckt i Kongl. Tryckeriet, 1803.	Stockholm	  60
Stockholm, Tryckt hoos Niclas Wankijff, Kongl. Booktr.	Stockholm	  57
Stockholm, tryckt i Kongl. tryckeriet, 1826.	Stockholm	  55
Stockholm, tryckt i Kongl. Tryckeriet, 1817.	Stockholm	  55
U. o. tr. å.	U o tr å	  55
Stockholm, Trykt i Kongl. Tryckeriet, 1779.	Stockholm	  54
Stockholm, Tryckt uti det Kongl. Boktryckeriet.	Stockholm	  54
Aboæ, typis Frenckellianis.	Turku	  54
Londini Gothorum	Lund	  51
Stockholm, tryckt i Kongl. Tryckeriet, 1825.	Stockholm	  50
Stockholm, Tryckt i Kongl. Tryckeriet, 1816.	Stockholm	  49
Upsaliæ. [s.n.]	Uppsala	  49
Kjöbenhavn	Copenhagen	  48
Stockholm, tryckt i Kongl. tryckeriet, 1805.	Stockholm	  46
Stockholm, Tryckt uti det Kongl. Tryckeriet.	Stockholm	  46
Arosiæ	Västerås	  45
Dorpati	Tartu	  44
Stockholm, Trykt i Kongl. Tryckeriet, 1781.	Stockholm	  42
Stockholm, Tryckt i Kongl. Tryckeriet, 1799.	Stockholm	  41
Stockholm, Tryckt uti Kongl. Tryckeriet Hos Directeuren Pet. Momma.	Stockholm	  41
Kiöbenhavn	Copenhagen	  41
Lincopiæ	Linköping	  41
