original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
41 cm	NA	NA	 41.0	FALSE	NA	 27.0	 41.0	NA	 1107.00	    20
42 cm	NA	NA	 42.0	FALSE	2fo	 27.0	 42.0	 0	 1134.00	    18
18x12 cm	NA	 12.0	 18.0	FALSE	NA	 12.0	 18.0	NA	  216.00	    18
4:o(tv.).	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	    17
23 cm.	NA	NA	 23.0	FALSE	4to	 18.0	 23.0	 0	  414.00	    17
45 cm	NA	NA	 45.0	FALSE	2fo	 29.0	 45.0	 0	 1305.00	    17
12:o(avl.)	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	    16
60 cm	NA	NA	 60.0	FALSE	NA	 36.0	 60.0	NA	 2160.00	    14
21 cm.	NA	NA	 21.0	FALSE	NA	 14.0	 21.0	NA	  294.00	    14
44 cm	NA	NA	 44.0	FALSE	NA	 29.0	 44.0	NA	 1276.00	    13
8:o +	8long	NA	NA	FALSE	8long	 13.0	 22.0	 0	  286.00	    12
Hög 12:o	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	    11
12:o(8/4).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	    11
24 cm.	NA	NA	 24.0	FALSE	4to	 19.0	 24.0	 0	  456.00	    11
18x11 cm	NA	 11.0	 18.0	FALSE	18mo	 11.0	 18.0	 0	  198.00	    11
48 cm	NA	NA	 48.0	FALSE	NA	 31.0	 48.0	NA	 1488.00	    10
8:o(tv.) [40] s., s.	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	    10
32:o(8).	32mo	NA	NA	FALSE	32mo	  7.0	 12.0	 0	   84.00	    10
43 cm	NA	NA	 43.0	FALSE	2fo	 28.0	 43.0	 0	 1204.00	    10
17x12 cm	NA	 12.0	 17.0	FALSE	NA	 12.0	 17.0	NA	  204.00	    10
50 cm	NA	NA	 50.0	FALSE	NA	 32.0	 50.0	NA	 1600.00	     9
4:o(2)	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     9
Fol.	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     9
ill.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     9
24 cm +	NA	NA	 24.0	FALSE	4to	 19.0	 24.0	 0	  456.00	     9
53 cm	NA	NA	 53.0	FALSE	NA	 33.0	 53.0	NA	 1749.00	     8
4:o(8).	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     8
12:o(8/4)	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     8
4:o(4 o.2).	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     8
49 cm	NA	NA	 49.0	FALSE	NA	 31.0	 49.0	NA	 1519.00	     8
20x14 cm	NA	 14.0	 20.0	FALSE	12long	 14.0	 20.0	 0	  280.00	     8
18x13 cm	NA	 13.0	 18.0	FALSE	NA	 13.0	 18.0	NA	  234.00	     8
21 x 28 cm	NA	 21.0	 28.0	FALSE	4to	 21.0	 28.0	 0	  588.00	     8
11 cm	NA	NA	 11.0	FALSE	NA	  8.0	 11.0	NA	   88.00	     8
st. 8:o	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     7
51 cm	NA	NA	 51.0	FALSE	NA	 32.0	 51.0	NA	 1632.00	     7
32:o.	32mo	NA	NA	FALSE	32mo	  7.0	 12.0	 0	   84.00	     7
24:o(12)	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	     7
8:o(8 o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     7
47 cm	NA	NA	 47.0	FALSE	NA	 30.0	 47.0	NA	 1410.00	     7
19 cm.	NA	NA	 19.0	FALSE	NA	 13.0	 19.0	NA	  247.00	     7
16 x 24 cm	NA	 16.0	 24.0	FALSE	NA	 16.0	 24.0	NA	  384.00	     7
58 cm	NA	NA	 58.0	FALSE	NA	 36.0	 58.0	NA	 2088.00	     6
8:0	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     6
63 cm	NA	NA	 63.0	FALSE	NA	 38.0	 63.0	NA	 2394.00	     6
fol	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     6
8.o	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     6
17x11 cm	NA	 11.0	 17.0	FALSE	NA	 11.0	 17.0	NA	  187.00	     6
4:o (ins.: 1:o)	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     6
18:o(12/6 avl.).	18mo	NA	NA	FALSE	18mo	 10.0	 16.0	 0	  160.00	     6
4:o(8)	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     6
12:o(4/2).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     6
8:o(4 tv.).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     6
18 cm.	NA	NA	 18.0	FALSE	NA	 12.0	 18.0	NA	  216.00	     6
56 cm	NA	NA	 56.0	FALSE	NA	 35.0	 56.0	NA	 1960.00	     5
54 cm	NA	NA	 54.0	FALSE	NA	 34.0	 54.0	NA	 1836.00	     5
55 cm	NA	NA	 55.0	FALSE	NA	 34.0	 55.0	NA	 1870.00	     5
Tv.-8:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     5
23cm	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     5
22-30 cm	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     5
2:o(tv.)	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     5
16:o(8 avl.).	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	     5
8:o(8 o. 4)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     5
