author_name	author_birth	author_death	Count
Arosiandrinus, Andreas Johannis	1600	NA	 4
Schaeffer, Abraham Ottman Hermann	NA	1835	 4
Seipell, Johan Reinhold	NA	NA	 4
Stenborg, Pehr	NA	NA	 4
Bock, Johan Hindric	1742	NA	 4
Apuleius	 125	NA	 4
Carelberg, Carl Georg	NA	NA	 4
De Britaine, William	NA	NA	 4
Hagen, Lorentz	NA	NA	 4
Jacobi, Catharina	NA	NA	 4
Bergbo, Skogekär	NA	NA	 4
Greggelund, Jonas	NA	NA	 4
Båld, Eric	NA	NA	 4
Augustinus, Aurelius	NA	NA	 4
Raffn, Albert	NA	NA	 4
Lejonhartin, Maria Elisabet	NA	NA	 4
Wolimhaus, Johannes Simonis	1600	NA	 4
Barenius, Georgius	1600	NA	 4
Ziegler, Th	NA	NA	 4
Roland, Armande	NA	NA	 4
Pihlström, Carl	NA	NA	 4
Forslund, Samuel	NA	NA	 4
Lebh, Jehuda	NA	NA	 4
Seneca, Lucius Annaeus	NA	NA	 4
Hesiodos	 700	NA	 4
Pihlgren, Gustaf	NA	NA	 4
Lehzen, Joachim Friedrich	NA	1800	 4
Frediani, Carl Gustaf	NA	NA	 4
Malmström, Johan	NA	NA	 4
Kutscher, Franz Jacob	1821	NA	 4
Salamnius, Matthias	NA	1691	 4
Rathe, Petrus	NA	1754	 4
Schwab, Konrad Ludwig	NA	NA	 4
Molin, B	NA	NA	 4
örn, Adam	NA	NA	 4
Wessing, Johan Magnus	NA	NA	 4
Ersson, Hindrich	NA	NA	 4
Reftelius, Carl	1758	NA	 4
Löwe, Christian Petter	1700	NA	 4
Gercken, Hartwig	NA	NA	 4
Schneider, Benjamin Gottlieb	NA	1738	 4
Gans, H	NA	NA	 4
Werner, Johan Heinrich	NA	1735	 4
Justander, D	NA	NA	 4
Radziejowski, Michael	NA	1706	 4
Wellingk, Eric Adolph	NA	NA	 4
Trägård, Elias	NA	NA	 3
Sperling, Otto	NA	NA	 3
Skorawiec, Wojciech	NA	NA	 3
Silfversparre, G Ustaf U Lric	NA	NA	 3
Schlegel, J Ohan F Rederik W Ilhelm	NA	NA	 3
Reichard, Heinrich August Otto	NA	NA	 3
Philippart, John	NA	NA	 3
Palmquist, Fredric	NA	NA	 3
Nordell, Anders	NA	NA	 3
Murray, Johan Anders	NA	NA	 3
Michaelson	NA	NA	 3
Marshall, Joseph	NA	NA	 3
Manderfelt, Carl Johan	NA	NA	 3
Lövenörn, Paul De	NA	NA	 3
Artaud De Montor, Alexis François	NA	NA	 3
Lindbergsson, August	NA	NA	 3
Leufgrén, Per	NA	NA	 3
Kosegarten, Ludwig Theobul	NA	NA	 3
Junbeck, Petter Jonas	NA	NA	 3
Vardi, Ibn	NA	NA	 3
Holmqvist, D E	NA	NA	 3
Heurlin, Elias	NA	NA	 3
Hambæus, Johan	NA	NA	 3
Godwin, Mary Wollstonecraft	NA	NA	 3
Gerdes, Fredrik	NA	NA	 3
Geist, Anders	NA	NA	 3
Gartz, Clas	NA	NA	 3
Fryxell, Fredrik	NA	NA	 3
Frigelius, Anders	NA	NA	 3
Forster, Johan Reinhold	NA	NA	 3
Ehrenmalm, Arvid	NA	NA	 3
Eck, Johann Georg	NA	NA	 3
Drevon, Johan Frederik Hendrik De	NA	NA	 3
Brunckman, Carl	NA	NA	 3
Blefken, Dithmar	NA	NA	 3
Wallin, Joseph Petter	1695	NA	 3
Valeriani, Carolus	1600	NA	 3
Tragen, Matthaeus	NA	NA	 3
Terentius	NA	NA	 3
Sveno-wivallius, Johannes Svenonis	1600	NA	 3
Storch, Ambernus Andreae	1600	NA	 3
Reuter, Samuel	1679	NA	 3
Petrides, Martinus	1600	NA	 3
Petri, Jacobus	1588	NA	 3
Niurenius, Nicolaus Petri	1625	NA	 3
Månsson Magni, Arvid	NA	NA	 3
Müller, Laurentius	1500	NA	 3
Lagus, Gabriel Josephi	1709	NA	 3
Kuuth, Johannes Petri	1600	NA	 3
Kexlerus, Andreas Simonis	1600	NA	 3
Humerus, Zacharias Laurentii	1650	NA	 3
Hermann, Martin Friedrich	1698	NA	 3
Henckell, Balthasar	1643	NA	 3
Heinl, Johannes	1600	NA	 3
Gutermuth, Coelestin Friedrich	1702	NA	 3
Grimsten, Jonas Simonis	1717	NA	 3
Fischer, Dionysius	1642	NA	 3
Felgenhauer, Paul	1600	NA	 3
Eschilli, Petrus	1651	NA	 3
Chronander, Jacobus Petri	1694	NA	 3
Carolstadius, Laurentius Johannis	1600	NA	 3
Carolstadius, Johannes Jonae	1671	NA	 3
Bergius, Olaus Nicolai	1670	NA	 3
Benedicti, Ericus	1600	NA	 3
Arctander, Niels Lauridssen	1616	NA	 3
Andreæ, Petrus	1600	NA	 3
Am Wald, Georg	1500	NA	 3
Consett, Matthew	NA	NA	 3
Horner, Brigitta Catharina	NA	NA	 3
Strangh, Eric Robert	NA	NA	 3
Kebes	 400	NA	 3
Carstenius, Petrus	NA	1710	 3
Brayer De Saint-léon, Louise Marguerite Jeanne Madelaine	1765	NA	 3
Biörsson, Carl	NA	NA	 3
Biörckman, Carl	NA	NA	 3
Barton, C W	NA	NA	 3
Alleman, Adam Gabriel	NA	1743	 3
Bergman, J P	NA	NA	 3
Blomborg, Thyris Måns	NA	NA	 3
Borger, Carl Fredrik	NA	NA	 3
Lindeman, Philip Casper Von	NA	NA	 3
Darnay, François Alexandre Rouïlle	NA	NA	 3
Roos, Olof Gustaf	NA	NA	 3
Hagelberg, Herman	NA	NA	 3
