original	pagecount	volnumber	volcount	Count
108 s.	 108	NA	NA	  12
219 s.	 219	NA	NA	  12
69 s.	  69	NA	NA	  12
83 s.	  83	NA	NA	  12
263 s.	 263	NA	NA	  12
151 s.	 151	NA	NA	  12
29s	  29	NA	NA	  12
287 s.	 287	NA	NA	  12
[8] s. (s. 7/8 blank)	NA	NA	NA	  12
110 s.	 110	NA	NA	  12
18s	  18	NA	NA	  12
165 s.	 165	NA	NA	  12
222 s.	 222	NA	NA	  12
109 s.	 109	NA	NA	  12
42 s.	  42	NA	NA	  12
167 s.	 167	NA	NA	  12
102 s.	 102	NA	NA	  12
264 s.	 264	NA	NA	  12
128s	 128	NA	NA	  12
[14] s.	  14	NA	NA	  11
269 s.	 269	NA	NA	  11
23,(1)s	  23	NA	NA	  11
22s	  22	NA	NA	  11
[40] s.	  40	NA	NA	  11
[06] s.	   6	NA	NA	  11
132 s.	 132	NA	NA	  11
154 s.	 154	NA	NA	  11
182 s.	 182	NA	NA	  11
82 s.	  82	NA	NA	  11
150 s.	 150	NA	NA	  11
54 s.	  54	NA	NA	  11
320 s.	 320	NA	NA	  11
99 s.	  99	NA	NA	  11
149 s.	 149	NA	NA	  11
198 s.	 198	NA	NA	  11
[3] s.	   3	NA	NA	  11
23s	  23	NA	NA	  11
74 s.	  74	NA	NA	  11
04 s.	   4	NA	NA	  11
352 s.	 352	NA	NA	  11
142 s.	 142	NA	NA	  11
13s	  13	NA	NA	  10
70 s.	  70	NA	NA	  10
197 s.	 197	NA	NA	  10
135 s.	 135	NA	NA	  10
73 s.	  73	NA	NA	  10
280 s.	 280	NA	NA	  10
123 s.	 123	NA	NA	  10
230 s.	 230	NA	NA	  10
131 s.	 131	NA	NA	  10
117 s.	 117	NA	NA	  10
141 s.	 141	NA	NA	  10
248 s.	 248	NA	NA	  10
243 s.	 243	NA	NA	  10
207 s.	 207	NA	NA	  10
10s	  10	NA	NA	  10
238 s.	 238	NA	NA	  10
185 s.	 185	NA	NA	  10
284 s.	 284	NA	NA	  10
21s	  21	NA	NA	  10
38s	  38	NA	NA	  10
85 s.	  85	NA	NA	  10
27s	  27	NA	NA	  10
242 s.	 242	NA	NA	  10
77 s.	  77	NA	NA	  10
134 s.	 134	NA	NA	  10
312 s.	 312	NA	NA	  10
[36] s.	  36	NA	NA	  10
199 s.	 199	NA	NA	  10
137 s.	 137	NA	NA	  10
187 s.	 187	NA	NA	  10
344 s.	 344	NA	NA	   9
210 s.	 210	NA	NA	   9
138 s.	 138	NA	NA	   9
129 s.	 129	NA	NA	   9
241 s.	 241	NA	NA	   9
170 s.	 170	NA	NA	   9
195 s.	 195	NA	NA	   9
98 s.	  98	NA	NA	   9
244 s.	 244	NA	NA	   9
[26] s.	  26	NA	NA	   9
9 s.	   9	NA	NA	   9
236 s.	 236	NA	NA	   9
86 s.	  86	NA	NA	   9
239 s.	 239	NA	NA	   9
146 s.	 146	NA	NA	   9
33 s.	  33	NA	NA	   9
183 s.	 183	NA	NA	   9
63s	  63	NA	NA	   9
300 s.	 300	NA	NA	   9
31,(1)s	  31	NA	NA	   9
130 s.	 130	NA	NA	   9
211 s.	 211	NA	NA	   8
262 s.	 262	NA	NA	   8
54s	  54	NA	NA	   8
259 s.	 259	NA	NA	   8
116 s.	 116	NA	NA	   8
217 s.	 217	NA	NA	   8
124 s.	 124	NA	NA	   8
24 s. =(s. 23/24 blank)=.	NA	NA	NA	   8
63,(1)s	  63	NA	NA	   8
178 s.	 178	NA	NA	   8
114 s.	 114	NA	NA	   8
125 s.	 125	NA	NA	   8
360 s.	 360	NA	NA	   8
26s	  26	NA	NA	   8
270 s.	 270	NA	NA	   8
(16) bl. + B4.	  32	NA	NA	   8
221 s.	 221	NA	NA	   8
306 s.	 306	NA	NA	   8
224s	 224	NA	NA	   8
15, [1] s.	  16	NA	NA	   8
63, [1] s.	  64	NA	NA	   8
205 s.	 205	NA	NA	   8
253 s.	 253	NA	NA	   8
103 s.	 103	NA	NA	   8
79s	  79	NA	NA	   7
89 s.	  89	NA	NA	   7
101 s.	 101	NA	NA	   7
327 s.	 327	NA	NA	   7
250 s.	 250	NA	NA	   7
49 s.	  49	NA	NA	   7
267 s.	 267	NA	NA	   7
112s	 112	NA	NA	   7
258 s.	 258	NA	NA	   7
328 s.	 328	NA	NA	   7
52s	  52	NA	NA	   7
