original	pagecount	volnumber	volcount	Count
[4], 251 s.	 255	NA	NA	   2
474 s.	 474	NA	NA	   2
21,(3)s	  21	NA	NA	   2
[2], 58 s.	  60	NA	NA	   2
367 s.	 367	NA	NA	   2
[2], 8 s.	  10	NA	NA	   2
[4], 68 s.	  72	NA	NA	   2
417 s.	 417	NA	NA	   2
(6), 206 s.	 206	NA	NA	   2
424 s.	 424	NA	NA	   2
14,(2)s	  14	NA	NA	   2
[4], 195 s.	 199	NA	NA	   2
199, [1] s.	 200	NA	NA	   2
(40)s	  40	NA	NA	   2
652 s.	 652	NA	NA	   2
480 s.	 480	NA	NA	   2
2 bl.	   4	NA	NA	   2
31[1] s.	NA	NA	NA	   2
186s	 186	NA	NA	   2
A8-C8.	NA	NA	NA	   2
179, [1] s.	 180	NA	NA	   2
[4], 186 s.	 190	NA	NA	   2
125s	 125	NA	NA	   2
248, [2] s.	 250	NA	NA	   2
247s	 247	NA	NA	   2
[02] , 24 s.	  26	NA	NA	   2
[104] s.	 104	NA	NA	   2
138, [1] s.	 139	NA	NA	   2
319, [1] s.	 320	NA	NA	   2
101, [2] s.	 103	NA	NA	   2
[4], 75 s.	  79	NA	NA	   2
[04], 76 s.	  80	NA	NA	   2
159s	 159	NA	NA	   2
268s	 268	NA	NA	   2
599 s.	 599	NA	NA	   2
8 pl. & omsl.	NA	NA	NA	   2
1 part. ([2] s.)	NA	NA	NA	   2
140s	 140	NA	NA	   2
[4] s., (s. 3/4 blank)	   4	NA	NA	   2
215s	 215	NA	NA	   2
101, [1] s.	 102	NA	NA	   2
44,(1)s	  44	NA	NA	   2
75,(1)s	  75	NA	NA	   2
200, [2] s.	 202	NA	NA	   2
362 s.	 362	NA	NA	   2
251s	 251	NA	NA	   2
197, [1] s.	 198	NA	NA	   2
[04] , 176 s.	 180	NA	NA	   2
338 s.	 338	NA	NA	   2
68s	  68	NA	NA	   2
[4] s. (s. 3-4 blankt blad)	NA	NA	NA	   2
158, [1] s.	 159	NA	NA	   2
66, [1] s.	  67	NA	NA	   2
169, [1] s.	 170	NA	NA	   2
(4), 80 s.	  80	NA	NA	   2
253s	 253	NA	NA	   2
91,(1)s	  91	NA	NA	   2
146, [1] s.	 147	NA	NA	   2
39,(1)s	  39	NA	NA	   2
612 s.	 612	NA	NA	   2
78, [2] s.	  80	NA	NA	   2
307 s.	 307	NA	NA	   2
188 p.	 188	NA	NA	   2
[02] , 34 s.	  36	NA	NA	   2
19, [1] s.	  20	NA	NA	   2
131, [1] s.	 132	NA	NA	   2
232, [2] s.	 234	NA	NA	   2
261, [2] s.	 263	NA	NA	   2
30, [2] s.	  32	NA	NA	   2
148,[1] s.	 149	NA	NA	   2
Ca 50 s.	  50	NA	NA	   2
91s	  91	NA	NA	   2
65,(2)s	  65	NA	NA	   2
395 s.	 395	NA	NA	   2
6, [1] s.	   7	NA	NA	   2
253,(1)s	 253	NA	NA	   2
86,(1)s	  86	NA	NA	   2
45s	  45	NA	NA	   2
137, [1] s.	 138	NA	NA	   2
102,(1)s	 102	NA	NA	   2
190,(1)s	 190	NA	NA	   2
206, [1] s.	 207	NA	NA	   2
[04] , 92 s.	  96	NA	NA	   2
216, [1] s.	 217	NA	NA	   2
350 s.	 350	NA	NA	   2
188s	 188	NA	NA	   2
94,(1)s	  94	NA	NA	   2
8 vol.	NA	NA	 8	   2
[08], 184 s.	 192	NA	NA	   2
238, [2] s.	 240	NA	NA	   2
89, [2] s.	  91	NA	NA	   2
[16] s. (s. 15/16 blank)	NA	NA	NA	   2
441, [1] s.	 442	NA	NA	   2
82, [1] s.	  83	NA	NA	   2
48 s., 1 pl.	  50	NA	NA	   2
160, [1] s.	 161	NA	NA	   2
183s	 183	NA	NA	   2
[2], 29 s.	  31	NA	NA	   2
532 s.	 532	NA	NA	   2
115, [1] s.	 116	NA	NA	   2
336, [1] s.	 337	NA	NA	   2
340 s.	 340	NA	NA	   2
329 s.	 329	NA	NA	   2
379 s.	 379	NA	NA	   2
558 s.	 558	NA	NA	   2
85s	  85	NA	NA	   2
27, [1] s.	  28	NA	NA	   2
75, [1] s.	  76	NA	NA	   2
560 s.	 560	NA	NA	   2
[9] s.	   9	NA	NA	   2
184s	 184	NA	NA	   2
198, [1] s.	 199	NA	NA	   2
51,(1)s	  51	NA	NA	   2
100, [1] s.	 101	NA	NA	   2
(2), 483 s.	 483	NA	NA	   2
[04], 166 s.	 170	NA	NA	   2
9 vol.	NA	NA	 9	   2
333 s.	 333	NA	NA	   2
146s	 146	NA	NA	   2
359 s.	 359	NA	NA	   2
99, [1] s.	 100	NA	NA	   2
9s	   9	NA	NA	   2
512 s.	 512	NA	NA	   2
230,(1)s	 230	NA	NA	   2
271s	 271	NA	NA	   2
159 s., 1 portr.	 161	NA	NA	   2
187s	 187	NA	NA	   2
269, [1] s.	 270	NA	NA	   2
174, [2] s.	 176	NA	NA	   2
296s	 296	NA	NA	   2
A4B2.	NA	NA	NA	   2
204s	 204	NA	NA	   2
171, [1] s.	 172	NA	NA	   2
71, [1] s.	  72	NA	NA	   2
40s.,4 pl.-bl.	  40	NA	NA	   2
244s	 244	NA	NA	   2
36, [1] s.	  37	NA	NA	   2
10,(1)s	  10	NA	NA	   2
40 s. =(s. 39/40 blank)=.	NA	NA	NA	   2
125, [1] s.	 126	NA	NA	   2
193 s.	 193	NA	NA	   2
405 s.	 405	NA	NA	   2
704 s.	 704	NA	NA	   2
108,(1)s	 108	NA	NA	   2
63, (1) s.	  63	NA	NA	   2
80, [2] s.	  82	NA	NA	   2
[02] , 20 s.	  22	NA	NA	   2
(12)s	  12	NA	NA	   2
164s	 164	NA	NA	   2
356, [1] s.	 357	NA	NA	   2
[06] , 66 s.	  72	NA	NA	   2
[4], 219 s.	 223	NA	NA	   2
106, [1] s.	 107	NA	NA	   2
275, [1] s.	 276	NA	NA	   2
290, [1] s.	 291	NA	NA	   2
171s	 171	NA	NA	   2
32, 16 s.	  32	NA	NA	   2
346 s.	 346	NA	NA	   2
522 s.	 522	NA	NA	   2
227s	 227	NA	NA	   2
293, [1] s.	 294	NA	NA	   2
151, [1] s.	 152	NA	NA	   2
153s	 153	NA	NA	   2
79,(1)s	  79	NA	NA	   2
92, [2] s.	  94	NA	NA	   2
62, [1] s.	  63	NA	NA	   2
381 s.	 381	NA	NA	   2
212, [2] s.	 214	NA	NA	   2
372 s.	 372	NA	NA	   2
[2], 18 s.	  20	NA	NA	   2
180 s	 180	NA	NA	   1
255s	 255	NA	NA	   1
xvi, 346, [1] s.	 363	NA	NA	   1
89, [1] s.	  90	NA	NA	   1
xxiv, 269 s.	 293	NA	NA	   1
[4], 179, [1] s.	 184	NA	NA	   1
xi, 214 s.	 225	NA	NA	   1
275,(3)s.,3 pl.-bl.	 275	NA	NA	   1
181 s.;(181, [1] s.)	 363	NA	NA	   1
124,(2)s	 124	NA	NA	   1
[5], 100 s., 11 pl.	 127	NA	NA	   1
[3] s., s. 4-10	  10	NA	NA	   1
175 s., 2 pl.-bl.	 175	NA	NA	   1
436 s.	 436	NA	NA	   1
[12], 1-15, [17], 9-73, [25] s.	 127	NA	NA	   1
vii, 413 s.	 420	NA	NA	   1
26 s., 5 pl. och 1 karta.	  28	NA	NA	   1
237, [2] s.	 239	NA	NA	   1
S. [128]-139	  12	NA	NA	   1
375s	 375	NA	NA	   1
[8], 300 s.	 308	NA	NA	   1
133 s., 1 bl.	 135	NA	NA	   1
2 vol. (S. 1-96 ; 97-223)	 223	NA	NA	   1
964 s.	 964	NA	NA	   1
[4], 164 s.	 168	NA	NA	   1
77, [1] s., 1 pl.-bl.	  78	NA	NA	   1
316, [3] s.	 319	NA	NA	   1
iv, [1], 201 s.	 206	NA	NA	   1
182,[1] s., 8 pl.-bl.	 183	NA	NA	   1
80 s., 1 kart.-bl.	  80	NA	NA	   1
193s	 193	NA	NA	   1
308 s.; 130 pl.-s., (10) s. reg.	 308	NA	NA	   1
264 s. =(s. 257-64 opag.)=.	NA	NA	NA	   1
[02], 78 s.	  80	NA	NA	   1
120 s. =(s. 119/20 blank)=.	NA	NA	NA	   1
177 s., [25] pl.-bl.	 177	NA	NA	   1
[02] , ii60 s. =(s. 1/2 blank).=	   2	NA	NA	   1
[04] , 236 s. =(s. 229-36 opag. annons).=	   4	NA	NA	   1
116,(2)s	 116	NA	NA	   1
[4], 87 s.	  91	NA	NA	   1
[4], 196, [1] s.	 201	NA	NA	   1
147, vi s.	 153	NA	NA	   1
53, [1] s.	  54	NA	NA	   1
[30]	  30	NA	NA	   1
[4], 48 s.	  52	NA	NA	   1
2 vol. i 5	NA	NA	NA	   1
216, [8] s.	 224	NA	NA	   1
106,(1)s.,1 karta	 108	NA	NA	   1
(2), 208 s., 1 pl.	 210	NA	NA	   1
[06] , 186 s.	 192	NA	NA	   1
173,(1)s	 173	NA	NA	   1
2 vol. (2304 s.)	2304	NA	NA	   1
[6], 94, [2] s.	 102	NA	NA	   1
xvii, 280 s.	 297	NA	NA	   1
49, (3)s.	  49	NA	NA	   1
S. [67]-94	  28	NA	NA	   1
11 bl.	  22	NA	NA	   1
152 s., 1 karta	 154	NA	NA	   1
[08] , 28 s.	  36	NA	NA	   1
286s.,1 pl.-bl.	 286	NA	NA	   1
[08] , 152 s. =(s. 151-52 opag.)=; [1] ins.	   8	NA	NA	   1
120s +	 120	NA	NA	   1
33,(6)s	  33	NA	NA	   1
viii, 188 s., 2 kartbl.	 200	NA	NA	   1
[120] s. (A12-E12.)	 120	NA	NA	   1
542 s.	 542	NA	NA	   1
352 s., 1 karta	 354	NA	NA	   1
[02] , 18 s. (=Novell-bibliotek. Smärre walda romaner och berättelser, samlade eller öfwersatte=. 17.)	   2	NA	NA	   1
52, 11 s.	  52	NA	NA	   1
232 s.,8 pl.-bl.	 232	NA	NA	   1
249 s., 1 portr.	 251	NA	NA	   1
276 s., 1 pl.-bl.	 276	NA	NA	   1
[4], 211 s.	 215	NA	NA	   1
101s	 101	NA	NA	   1
xxi, 773 s., [12] pl.-bl.	 794	NA	NA	   1
484 s.	 484	NA	NA	   1
vii, 630 s., 25 pl.-bl.	 637	NA	NA	   1
Illustr.	NA	NA	NA	   1
219 s., 10 pl.-bl.	 219	NA	NA	   1
S. 286-290	   5	NA	NA	   1
3 vol. (2305 s.)	2305	NA	NA	   1
112 s. =(s. 111/12 blank)=.	NA	NA	NA	   1
S. [43]-70	  28	NA	NA	   1
37, [2] s.	  39	NA	NA	   1
96 s.; [1] pl.	  98	NA	NA	   1
376 s.; pl.titelbl.	 378	NA	NA	   1
18,(2)s	  18	NA	NA	   1
[4], 162 s.	 166	NA	NA	   1
[16] , 144 s. =(s. 143-44 opag. annons)=; [1] pl.	  18	NA	NA	   1
37 s., 100 pl.-s.	  37	NA	NA	   1
ix,185 s.	 194	NA	NA	   1
(1), 15 s.	  15	NA	NA	   1
110, [1] s.	 111	NA	NA	   1
10[2] s.	NA	NA	NA	   1
14s.,31 pl.-bl.,(2)s	  14	NA	NA	   1
xvi, 387	 403	NA	NA	   1
255,(1)s	 255	NA	NA	   1
xvi, 1216 s.	1232	NA	NA	   1
[8], 40 s., 1 vikt pl.-bl.	  48	NA	NA	   1
[02], xvi, 1278 s.	1296	NA	NA	   1
xvj, 405 s., 7 släkttaflor (3 vikta), 14 pl.-bl., 1 vikt faks.	 405	NA	NA	   1
141, [1] s.	 142	NA	NA	   1
[2], 242 s., 1 pl.	 246	NA	NA	   1
371, [1] s.. 1 pl.bl.	 375	NA	NA	   1
30 s., 3 pl.	  36	NA	NA	   1
[2], 17 s.	  19	NA	NA	   1
[1], 80, [7] s. (interfol.)	  81	NA	NA	   1
[2], 23 s.	  25	NA	NA	   1
lxxv och 161 s.	 236	NA	NA	   1
686, xxiv s.	 710	NA	NA	   1
194 s.,14 pl.-bl.,12 portr.-bl.,1 karta,1 tab.,2 diagram	 198	NA	NA	   1
58 s., 1 pl.	  60	NA	NA	   1
163s	 163	NA	NA	   1
48 s. (s. 48 blank)	NA	NA	NA	   1
12:o. [12] , 162 s. =(s. 161-62 opag.)=.	NA	NA	NA	   1
286 p.	 286	NA	NA	   1
562, [1] s.	 563	NA	NA	   1
(1),26 bl.	  53	NA	NA	   1
89, [5] s.	  94	NA	NA	   1
(23) s.	  23	NA	NA	   1
415, [1] s.	 416	NA	NA	   1
153,(2)s	 153	NA	NA	   1
136 s., [1] vikt pl.-bl.	 136	NA	NA	   1
236 s.,16 pl.-bl.	 236	NA	NA	   1
52, [2] s.	  54	NA	NA	   1
84 s.; 7 ins.	  84	NA	NA	   1
95s.,96 pl.-s	  95	NA	NA	   1
[32], 384 s.; 4 pl.	 424	NA	NA	   1
[02] , 52 s.	  54	NA	NA	   1
28,(1)s	  28	NA	NA	   1
[02] , 98 s.	 100	NA	NA	   1
xii, xxviii, 272 s., s. 269-316	 344	NA	NA	   1
181, [2] s.	 183	NA	NA	   1
xij, 249 s.	 261	NA	NA	   1
398,(1)s.,4 pl.-bl.	 398	NA	NA	   1
189,(1);171,(1)s	 360	NA	NA	   1
[02] , 90 s.	  92	NA	NA	   1
S. 34-66	  33	NA	NA	   1
[30] , 114 s. =(s. 94-114 opag.)=.	  30	NA	NA	   1
[06] , 78 s.; pl.förtitelbl., [1] rättelsebl.	  86	NA	NA	   1
[1], vi, 618, [3] s.	 628	NA	NA	   1
(3) 4-152 s.	 152	NA	NA	   1
viij, 70 s.	  78	NA	NA	   1
323s.,12 pl.-bl.	 323	NA	NA	   1
[02] s., s. 141-284, vi s.	 152	NA	NA	   1
236, [1] s.	 237	NA	NA	   1
63 p.	  63	NA	NA	   1
104 s., 8 pl.bl.	 108	NA	NA	   1
60 s., 1 tab.	  62	NA	NA	   1
[18] s., [30] pl.-bl.	  18	NA	NA	   1
8 s., 8 pl.-bl.	   8	NA	NA	   1
1 klav.;(19 s.)	  19	NA	NA	   1
[28] , 236 s. =(s. 223-36 opag.)=; [10] pl.	  48	NA	NA	   1
[2], 79 s.	  81	NA	NA	   1
[4], 399 s.	 403	NA	NA	   1
457 s., 7 pl.bl.	 461	NA	NA	   1
160, 32 s. =(s. 159-60 opag.)=.	 160	NA	NA	   1
57, 61 s.	  61	NA	NA	   1
142 s., 2 pl.bl.	 146	NA	NA	   1
35,19s.,8 pl.-bl.	  35	NA	NA	   1
[04], ii208 s., s. iii3-208.	 212	NA	NA	   1
84 s., 8 pl.	 100	NA	NA	   1
17, [1] s.	  18	NA	NA	   1
xxxvii, 770 s.	 807	NA	NA	   1
100,(1)s	 100	NA	NA	   1
72s.,2 pl.	  76	NA	NA	   1
)(2A2-F2G.	NA	NA	NA	   1
[4], 88 s.	  92	NA	NA	   1
2 bl. med text (12 s.)	   4	NA	NA	   1
141, [3] s.	 144	NA	NA	   1
90, [3] s.	  93	NA	NA	   1
408 s. =(s. 407-08 opag.)=.	NA	NA	NA	   1
[6], 228, [1] s.	 235	NA	NA	   1
128 sp.	 128	NA	NA	   1
99, (1) s.	  99	NA	NA	   1
733 s.	 733	NA	NA	   1
(2),348,(4)s.,2 kartor	 352	NA	NA	   1
(1),100s.,13 pl.	 126	NA	NA	   1
(2),85s	  85	NA	NA	   1
(8), 212 s.	 212	NA	NA	   1
22, 31, 37 s.	  37	NA	NA	   1
350, [1] s.	 351	NA	NA	   1
XLVI, 220 s.	 266	NA	NA	   1
[64] pl.-s.	NA	NA	NA	   1
(4), 220 s.	 220	NA	NA	   1
25s.,2 pl.-bl.	  25	NA	NA	   1
viii, 509, [1] s., [9] pl.-bl.	 518	NA	NA	   1
[2], 132 s.	 134	NA	NA	   1
568 s.	 568	NA	NA	   1
140 s., 16 pl.-bl.	 140	NA	NA	   1
[02] , 160 s.; [02] s. =(prisuppgift)=.	 162	NA	NA	   1
(1),138s	 138	NA	NA	   1
[02] , 144 s.; iv ins. & omsl.	 146	NA	NA	   1
83s	  83	NA	NA	   1
(25) 2-103 (1) s., 5 pl.	  10	NA	NA	   1
142 sp.,21 pl.-bl.	NA	NA	NA	   1
56 s., 6 pl.-bl.	  56	NA	NA	   1
159, [3] s.	 162	NA	NA	   1
(8),208s	 208	NA	NA	   1
[4], 159 s.	 163	NA	NA	   1
34, [3], 15 s.	  37	NA	NA	   1
180, [1] s.	 181	NA	NA	   1
174s	 174	NA	NA	   1
123, [4] s.	 127	NA	NA	   1
(3),229s.,3 tab.-bl.	 229	NA	NA	   1
s.219-232,ii pl.-s	  14	NA	NA	   1
222 s., 16 pl.-bl.	 222	NA	NA	   1
[02] , 410 s. =(s. 365-410 opag.)=; [1] ins.	   2	NA	NA	   1
390 s.	 390	NA	NA	   1
[4], 134 s., 1 musikbilaga	 140	NA	NA	   1
[14] , 184 s., (s. 173-84 opag.)	 198	NA	NA	   1
180 s. =(s. 177-80 opag.)=	NA	NA	NA	   1
328 s. och 7 pl.	NA	NA	NA	   1
[14] , ii800, [iii06] , iv238, [v02] , vi684 s.; [1] pl.	  16	NA	NA	   1
24 s. =(s. 23-24 opag.)=.	NA	NA	NA	   1
216 s., [3] pl.-bl.	 216	NA	NA	   1
127s.,5 pl.-bl.	 127	NA	NA	   1
48 s., 1 karta	  50	NA	NA	   1
xvi, 54 s.; [6] pl.	  82	NA	NA	   1
[2], 145 s. och 1 pl.	   2	NA	NA	   1
38,(13)s	  38	NA	NA	   1
2 vol.;(580 ; 680 s.)	1260	NA	NA	   1
96, (2) s.	  96	NA	NA	   1
326, [1] s.	 327	NA	NA	   1
[02] , 70 s.	  72	NA	NA	   1
860 s.	 860	NA	NA	   1
(2),24 bl.	  50	NA	NA	   1
7 s. text och 36 pl.	NA	NA	NA	   1
156,(1)s	 156	NA	NA	   1
204s.;(4)s.,s.205-398;(4)s.,s.399-585;(4)s.,s.587-774	1961	NA	NA	   1
715 s.	 715	NA	NA	   1
368 s.	 368	NA	NA	   1
414 s.	 414	NA	NA	   1
202 s., 1 portr.	 204	NA	NA	   1
221,(1)s	 221	NA	NA	   1
253,[1]s.,8 pl.-bl.	 254	NA	NA	   1
127 s., [8] pl.-s.	 127	NA	NA	   1
S. 103-182 =(s. 181/82 blank)=	 182	NA	NA	   1
2 d.	NA	NA	NA	   1
233s	 233	NA	NA	   1
[02] , 118 s. =(s. 114-18 opag.)=.	   2	NA	NA	   1
Ca 121 s	 121	NA	NA	   1
(2),77s	  77	NA	NA	   1
22[2] s. (s. 23/24 blank)	NA	NA	NA	   1
301, [3 ] s	 304	NA	NA	   1
[12], 304, [5] s., 8 pl.	 337	NA	NA	   1
2 vol.;(203, 162 s.)	 203	NA	NA	   1
[72] s. =(s. 69/70, 71/72 blanka)=.	NA	NA	NA	   1
167, (1)s	 167	NA	NA	   1
12 st.	NA	NA	NA	   1
112, [12] s.	 124	NA	NA	   1
274,(1)s	 274	NA	NA	   1
[08] , 322 s.; [2] ins., [1] pl.	 332	NA	NA	   1
208, [1] s.	 209	NA	NA	   1
S. 99-120	  22	NA	NA	   1
(3) 1-21 s.	  21	NA	NA	   1
863 s.	 863	NA	NA	   1
[128] s. (A8-H8)	 128	NA	NA	   1
(3),89,(1)s	  89	NA	NA	   1
12s.,1 portr.	  14	NA	NA	   1
(16) bl. +)(8.	  40	NA	NA	   1
[3] s., s. 124-154, [2] s., [1] vikt pl.-bl.	  36	NA	NA	   1
[08] , 176 s. =(s. 172-76 opag.)=.	   8	NA	NA	   1
2 vol.;(325 ; 288 s.)	 613	NA	NA	   1
149,(1)s.;171,(1)s	 320	NA	NA	   1
493 s., 8 pl.	 509	NA	NA	   1
xvi, 342 s.	 358	NA	NA	   1
[02] , 184 s. =(s. 183-84 opag.)=; [1] pl.	   4	NA	NA	   1
lV,134 s.	 189	NA	NA	   1
34 s.; viii pl.	  50	NA	NA	   1
152, (1) s.	 152	NA	NA	   1
(5) 2-934 (10) s.	NA	NA	NA	   1
124, [4] s.	 128	NA	NA	   1
3 d. i 1 vol. ([4], 236 ; 234 ; 292 s.)	 766	NA	NA	   1
500 s.	 500	NA	NA	   1
93, [2] s.	  95	NA	NA	   1
80,(1)s	  80	NA	NA	   1
170 s., 1 karta	 172	NA	NA	   1
105 s., [4] pl.bl.	 109	NA	NA	   1
[2], 11, [3] s.	  16	NA	NA	   1
[02] 892 s.	 894	NA	NA	   1
291, [1] s.	 292	NA	NA	   1
08, 12 s.	  12	NA	NA	   1
36 s. =(s. 16-36 opag.)=	NA	NA	NA	   1
2 vol.;(80s.;76s)	 156	NA	NA	   1
415 s.	 415	NA	NA	   1
xii, 321 s.	 333	NA	NA	   1
44,(1)s.,4 pl.-bl.	  44	NA	NA	   1
(4)s.,6 lösa pl.-bl. i portf.	   4	NA	NA	   1
S.55-68	  14	NA	NA	   1
(4),67 s	  67	NA	NA	   1
[6] 114 [56] s.	 176	NA	NA	   1
703 s.	 703	NA	NA	   1
227, [1] s., 12 pl.-bl.	 228	NA	NA	   1
[02] , 46 s.; [1] pl.	  50	NA	NA	   1
[3], 2-12 s.	  14	NA	NA	   1
172 s., 5 pl.bl.	 176	NA	NA	   1
[3] s. (var. a) ; [4] s. (var. b)	NA	NA	NA	   1
[1] s., s. 79-96	  19	NA	NA	   1
iv, 140 s., 8 pl.	 160	NA	NA	   1
[60] s.; [1] ins., [1] pl.	  62	NA	NA	   1
[365] s.	 365	NA	NA	   1
118, [1] s.	 119	NA	NA	   1
s. 147-322	 176	NA	NA	   1
(3) 2-70.	  70	NA	NA	   1
66 s. ; 69 s.	 135	NA	NA	   1
199s	 199	NA	NA	   1
xvi, 328 s.	 344	NA	NA	   1
217, [2] s.	 219	NA	NA	   1
xxvii, 736 s.	 763	NA	NA	   1
[20] , 262 s.	 282	NA	NA	   1
12 s. typer.	NA	NA	NA	   1
[9], 271, [1] s., [bil.:] s. 1-85, 22 pl.-bl.	 281	NA	NA	   1
38,(1)s	  38	NA	NA	   1
15 s. samt 10 pl. o. +	NA	NA	NA	   1
23 s., 2 kartbl.	  27	NA	NA	   1
iv, 386 s., 1 pl.-bl.	 390	NA	NA	   1
iv, 96 s., 4 kartor	 108	NA	NA	   1
viij, 75 s.	  83	NA	NA	   1
319s.,1 portr.,5 pl.-bl.	 319	NA	NA	   1
320 s., [7] pl.-bl.	 320	NA	NA	   1
xxiii, 105 s.	 128	NA	NA	   1
s. 483-550	  68	NA	NA	   1
122s	 122	NA	NA	   1
40 s. =(s. 38-40 opag.).=	NA	NA	NA	   1
301, [3] s.	 304	NA	NA	   1
a 8 vol.;(2317 s.)	2317	NA	NA	   1
[2], ii440 s. ; pl.titelbl.	   4	NA	NA	   1
xiii, 444 s., [4] pl.-bl.	 457	NA	NA	   1
85 s., 8 pl.	 101	NA	NA	   1
71,(1) s.	  71	NA	NA	   1
321, [1] s.	 322	NA	NA	   1
186, [2] s.	 188	NA	NA	   1
[4], 406, [14] s.	 424	NA	NA	   1
[6], 24 s.	  30	NA	NA	   1
94s.,2 pl.	  98	NA	NA	   1
[4], 140 s., 6 pl.	 156	NA	NA	   1
288s	 288	NA	NA	   1
1070, [2] s.	1072	NA	NA	   1
s. 60-83	  24	NA	NA	   1
15 pl.-bl., [5] pl.-bl.	NA	NA	NA	   1
251 s., 1 pl.-bl., 1 portr., 1 kartbl.	 253	NA	NA	   1
2 vol.;(411 s. (text); ca 160 s. (atlas))	NA	NA	NA	   1
[02] s., s. 71-104; [1] pl.	  38	NA	NA	   1
251, [2] s.	 253	NA	NA	   1
[06] , 34, 24 s. =(s. 27-34 opag.)=; [1] ins. & omsl.	  40	NA	NA	   1
[02] , vi, 206 s. =(s. v-vi, 201-06 opag.).=	 409	NA	NA	   1
835 s.	 835	NA	NA	   1
111 s., [1] pl.-bl.	 111	NA	NA	   1
(2), 66 s.	  66	NA	NA	   1
18, [1] s.	  19	NA	NA	   1
[08] , 80 s.	  88	NA	NA	   1
[12] , 80 s.	  92	NA	NA	   1
127, [3] s.	 130	NA	NA	   1
53, [2] s.	  55	NA	NA	   1
124, [2] s.	 126	NA	NA	   1
16 s. =(s. 15/16 blank)=; pl.titelbl., 1 inklistr. vinj.	   2	NA	NA	   1
110 s., viii pl.-bl.	 110	NA	NA	   1
[4], 213 s.	 217	NA	NA	   1
185s	 185	NA	NA	   1
(4), 276, (1) s., 1 portr. bl., 1 karta (v.), 1 facs. (v.)	 278	NA	NA	   1
15s.(inkl. ann.)	  15	NA	NA	   1
[2], 100 s.	 102	NA	NA	   1
264,(1)s	 264	NA	NA	   1
301,[2] s.	 303	NA	NA	   1
xiv, 380 s.	 394	NA	NA	   1
[2], 31-53, [1] s.	  26	NA	NA	   1
(3) 2-299 (1) s.	NA	NA	NA	   1
176 s. och 12 pl.	NA	NA	NA	   1
36 s., [2] ins.	  36	NA	NA	   1
24s.,2 pl.-bl.	  24	NA	NA	   1
156 s., [8] pl.-bl.	 156	NA	NA	   1
viii, 400 s., 5 pl.	 418	NA	NA	   1
[04] , ii966, [iii02] s., s. 967-1146, [iv02] , v316 s.	 184	NA	NA	   1
276,(1)s	 276	NA	NA	   1
[02] , 38 s., s. 41- 60; [1] pl.	  64	NA	NA	   1
[1], 32, [1] s.	  34	NA	NA	   1
43,(9)s	  43	NA	NA	   1
xix, 471 s.	 490	NA	NA	   1
410 s.	 410	NA	NA	   1
[08] , 152 s.	 160	NA	NA	   1
[04] , 172 s.	 176	NA	NA	   1
s. 89-96	   8	NA	NA	   1
[02], 162 s.	 164	NA	NA	   1
467, [2] s.	 469	NA	NA	   1
=Serietitelbl.:= [02] s.; pl. serieförtitelbl., tr. ryggetikett. [02], 464 s.	 464	NA	NA	   1
80,(7)s	  80	NA	NA	   1
96 s., 12 pl.	 120	NA	NA	   1
xx, 50 s., 32 pl.-s.	  70	NA	NA	   1
xvi, 261, [1] s., 1 pl.	 280	NA	NA	   1
74,(1)s	  74	NA	NA	   1
2 vol. (304, 306 S.)	 306	NA	NA	   1
[2], 534 s.	 536	NA	NA	   1
[02] , 120 s.	 122	NA	NA	   1
948 s.	 948	NA	NA	   1
viii, 270 s., 8 pl.-bl., 1 karta	 280	NA	NA	   1
[24], 512 s., [1] pl.	 538	NA	NA	   1
s. 117	 117	NA	NA	   1
250, [3] s.	 253	NA	NA	   1
[16] s., s. 803-1251, 1254-1612, [176] s.	1804	NA	NA	   1
[02] , ii436, [iii02] , iv352 s. =(s. 427-36 opag.)=.	   2	NA	NA	   1
81s	  81	NA	NA	   1
[10], 326 s. (s. 321-26 opag.) ; ix pl.	  28	NA	NA	   1
266, xxxvi s.	 302	NA	NA	   1
172 s., 7 pl.-bl.	 172	NA	NA	   1
353, [1] s.	 354	NA	NA	   1
594 p.	 594	NA	NA	   1
68,(6) s.	  68	NA	NA	   1
(1),38s	  38	NA	NA	   1
34s.,1 pl.-bl.	  34	NA	NA	   1
[4], 151 s.	 155	NA	NA	   1
35, [1] s., 2 pl.-s.	  36	NA	NA	   1
393 s.	 393	NA	NA	   1
146,(1)s	 146	NA	NA	   1
336 s. =(s. 329-36 opag.)=	NA	NA	NA	   1
325, [3] s., 1 portr.	 330	NA	NA	   1
xv, 437 p.	 452	NA	NA	   1
[2], 20 s.	  22	NA	NA	   1
304, [1] s.	 305	NA	NA	   1
46,(2)s.,2 kartor på omsl.	  50	NA	NA	   1
[04], xxviii, 2xvi, 310, 06 s. =(s. xxvii opag. rättelser)=	 342	NA	NA	   1
[16], 84, [2] s.	 102	NA	NA	   1
206, [4] s.	 210	NA	NA	   1
[4] , 76 s. & omsl.	  80	NA	NA	   1
314,(3)s	 314	NA	NA	   1
1 bl. vikt i 13 delar	   2	NA	NA	   1
[20], 424 s. =(s. 409-24 opag.)=	  20	NA	NA	   1
64, [32] s.	  96	NA	NA	   1
355 s.	 355	NA	NA	   1
80 s. =(s. 79/80 blank)=.	NA	NA	NA	   1
xxvij, 127 s., 1 portr., 1 karta	 156	NA	NA	   1
