original	polished	Count
Sveriges kyrkl. studie-förl.	Sveriges kyrkl. studie-	  51
Bonnier ;;Schildt	Bonnier	  51
H. Carlsons bokh.	H. Carlsons bokhandel	  51
Svenska kyrkans diakonistyrelses bokförl.	Svenska kyrkans diakonistyrelse	  51
J. A. Lindblad	J.A. Lindblad	  50
Förl. Filadelfia	Filadelfia	  50
Södermanlands hembygdsförbund	Södermanlands hembygds	  50
Fost.-stift.	Fosterl.-stift	  49
N. P. Pehrsson	N.P. Pehrsson	  49
Åhlén & Åkerlund (Bonnier)	Åhlen & Åkerlund	  49
Nordiska bokh.	Nordiska bokhandel	  48
Svenska freds- och skiljedomsfören.	Svenska freds- & skiljedomsfören	  46
ICA-förl.	ICA-	  46
Sonora musikförl.	Sonora musik	  45
Kooperativa förbundets bokförl.	Kooperativa s bok	  45
Lantbruksförb:s tidskr.-ab.	Lantbruksförb:s tidskr.-ab	  45
Sv. landsbygdens studieförb.	Svenska landsbygdens studieförb	  45
Gleerup.	Gleerup	  44
[fören.]	fören	  44
Ph. Lindstedts univ.-bokh.	Ph. Lindstedts universitetsbokhandel	  44
[Museet]	Museet	  44
Baltiska förl.	Baltiska	  44
C. E. Fritzes bokh.	C.E. Fritzes hofbokhandel	  43
Abr. Lundquist	Abr. Lundqvist	  43
Rabén & Sjögren/Vi	Raben & Sjögren	  42
Boktr.-a.-b.	Boktr.-a.-b	  42
Åhlén & Åkerlund :;[Bonnier]	Åhlen & Åkerlund	  42
Skånska centraltr.	Skånska centraltr	  42
[Allm. valmansförb.]	Allm. valmansförb	  42
Wahledow	Wahledov	  42
[Gleerupska univ.-bokh.]	Gleerupska universitetsbokhandel	  42
Augustana Book Concerns förl.	Augustana Book Concern	  42
Arwidsson	Arvidsson	  41
Ev. fosterl.-stift.	Evangeliska fosterl.-stift	  41
[s. n.]	s. n	  41
Svenska andelsförlaget	Svenska andels	  41
[Förb.]	Förb	  41
B. M:s bokf.	B. M:s bokf	  41
F. C. Askerberg	F.C. Askerberg	  40
Fritze i distr.	Fritze i distr	  40
Schlager-förl.	Schlager-	  40
Julbudskapets förl.	Julbudskapet	  40
Norstedt i distr.	Norstedt i distr	  40
Gleerupska univ:s bokh.	Gleerupska universitetsbokhandel	  39
[utg.]	utg	  39
[Förbundet]		  39
K. L. Svenssons eftr.	K.L. Svenssons eftr	  39
Sällsk. Bokvännerna	sällskapet Boqvännerna	  39
[Institutet]	Institutet	  38
Förlagsfören. Esperanto	sförening Esperanto	  38
Svenska missionsförbundet	Svenska missions	  38
Schmidts	Schmidt	  37
[Nationalmuseum]	Nationalmuseum	  37
O. L. Lamm	O.L. Lamm	  36
Gleerupska univ:s-bokh.	Gleerupska universitetsbokhandel	  36
Almqvist & Wiksell [distributör]	Almqvist & Wiksell	  36
Norblads bokh. i distr.	Norblads bokhandel i distr	  36
Beckmans	Beckman	  36
Sv. turistfören.	Svenska turistfören	  36
Envalls bokh.	Envalls bokhandel	  36
Bokförlaget	Bok	  36
E. G. Johansson	E.G. Johansson	  36
Sv. journalen	Svenska journalen	  36
Huldbergs bokh.	Huldbergs bokhandel	  35
Lundquist	Lundeqvist	  35
Sv. pressbyrån	Svenska pressbyrån	  35
Nordiska bokh. i distr.	Nordiska bokhandel i distr	  35
K. L. Svensson	K.L. Svensson	  35
Kristianstads läns tidn.	Kristianstads läns tidn	  35
Fost.-stift:s f.-exp.	Fost.-stift:s f.-exp	  34
Z. Hæggströms förlagsexp.	Z. Häggströmsexp	  34
Förl.-a.-b. Västra Sverige	-a.-b. Västra Sverige	  34
Wahlström & Widstrand i distr.	Wahlström & Widstrand i distr	  34
Götatr.	Götatr	  34
Littorin Rydén	Littorin Ryden	  34
SKS	Suomalaisen kirjallisuuden seura	  33
Fahlcrantz & K.	Fahlcrantz & Co	  33
Hökerberg i distr.	Hökerberg i distr	  33
[inst.]	inst	  33
Svenska bokförlaget	Svenska bok	  33
H. Halls boktr.-a.-b.	H. Halls boktr.-a.-b	  33
Appelbergs	Appelberg	  33
Vingförl.	Ving	  33
Z. Hæggström	I. Häggström	  32
Ev. fost.-stift.	Evangeliska fost.-stift	  32
Exportfören.	Exportfören	  32
Teaterförl.	Teater	  32
Folket i bild [Seelig]	Folket i bild	  31
Sv. litteratur	Svenska litteratur	  31
Åhlén	Åhlen	  31
Handelstr.	Handelstr	  31
Akademiska bokhandeln	Akademiska bokhandel	  31
M. W. Wallberg	M.W. Wallberg	  30
A. V. Carlsons Bokf.-aktb.	A.V. Carlsons Bokf.-aktb	  30
Sv. läraretidning	Svensk läraretidning	  30
H. W. Tullberg	H.W. Tullberg	  30
Litteraturförlaget	Litteratur	  30
[Lundequistska bokh.]	Lundeqvistska bokhandel	  30
K. F. U. M.	K. F. U. M	  30
Antroposofiska bokförl.	Antroposofiska bok	  30
Klemmings antiqv.	Klemmings antiqv	  29
Sv. nykterhetsförl.	Svenska nykterhets	  29
fören.	fören	  29
Allas bokförl.	Allas bok	  29
