"","catalog","author","title","town","from","till","publisher"
"58","fennica","Runeberg, Johan Ludvig","Lyyrillisiä runoelmia","Stockholm",1885,1885,""
"59","kungliga","Runeberg, Johan Ludvig","Lyyrillisiä runoelmia","Princeton newyork",1885,1885,"Lindqvist"
"60","fennica",NA,"Bhagavad-Gita","Helsinki",1910,1910,""
"61","fennica",NA,"Bhagavad-Gita","Helsinki",1910,1910,"Suomalaisen Kirjallisuuden Seura"
"62","kungliga",NA,"Bhagavad-Gita","Holmiæ anni mdccxx",1910,1910,""
"63","fennica","Meurman, Agathon","Finland förr och nu","Helsinki",1890,1890,""
"64","fennica","Meurman, Agathon","Finland förr och nu","Helsinki",1890,1890,"Suomalaisen Kirjallisuuden Seura"
"65","kungliga","Meurman, Agathon","Finland förr och nu","Helsingsissä",1890,1890,""
"66","fennica","Sederholm, C R","Andens eller det rena förnuftets religion","Suomussalmi",1887,1887,"s.n"
"67","fennica","Sederholm, C R","Andens eller det rena förnuftets religion","Suomussalmi",1887,1887,"Primula"
"68","kungliga","Sederholm, Carl Robert","Andens eller det rena förnuftets religion","Stockholm falun uppsala",1887,1887,""
"69","fennica","Leinberg, K G","Finlands territoriala församlingars ... och utgrening intill 1885 års utgång","Helsinki",1886,1886,"s.n"
"70","fennica","Leinberg, K G","Finlands territoriala församlingars ... och utgrening intill 1885 års utgång","Helsinki",1886,1886,""
"71","kungliga","Leinberg, Karl Gabriel","Finlands territoriala församlingars ... och utgrening intill 1885 års utgång","Helsingsissä",1886,1886,""
"72","fennica","Weikkolin, Ida","'Resan från Finland till Afrika'","Helsinki",1888,1888,"Tytty Lagerstedt"
"73","fennica","Weikkolin, Ida","'Resan från Finland till Afrika'","Helsinki",1888,1888,"Helios"
"74","kungliga","Weikkolin, Ida","'Resan från Finland till Afrika'","Helsingsissä",1888,1888,""
"75","fennica","Allardt, Anders","En framtidsman","Laihia",1888,1888,"Bertrand"
"76","fennica","Allardt, Anders","En framtidsman","Laihia",1888,1888,"J. Cedervaller & Son"
"77","kungliga","Allardt, Anders","En framtidsman","Kräklinge",1888,1888,"Min melodi"
"78","fennica",NA,"Finland","Otava",1891,1891,""
"79","fennica",NA,"Finland","Otava",1891,1891,"s.n"
"80","fennica","Wieselgren, H","Finland","Suomussalmi",1891,1891,"Työmiehen kustannusyhtiö"
"81","kungliga","Wieselgren, Harald","Finland","Stockholm falun uppsala",1891,1891,"Norstedt"
"82","fennica","A-i¨-a","Bland fattiga och rika","Helsinki",1887,1887,"Suomalaisen Kirjallisuuden Seura"
"83","fennica","A-i¨-a","Bland fattiga och rika","Helsinki",1887,1887,"C.G. Clouberg"
"84","kungliga","Ehrnrooth, Adelaide","Bland fattiga och rika","Helsingsissä",1887,1887,"Thule"
"85","fennica","Aarne","I tätnande led","Helsinki",1886,1886,"Suomalaisen Kirjallisuuden Seura"
"86","fennica","Aarne","I tätnande led","Helsinki",1886,1886,""
"87","kungliga","Gripenberg, Alexandra","I tätnande led","Helsingsissä",1886,1886,"Thule"
"88","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsinki",1861,1861,"Yrjö Weilin & Coumpp"
"89","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner",NA,1861,1861,"Työväen sanomalehti-o.y"
"90","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsinki",1861,1861,"Suomalaisen Kirjallisuuden Seura"
"91","kungliga","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsingsissä",1861,1861,"Fritzes hofbokhandel"
